period,start_date,end_date,days,years,bucket,bucket_label,num_coins,total_in_bucket,mcap_min,mcap_max,mcap_median,mean_return,median_return,annualized_return,return_std,sharpe_ratio,annualized_sharpe,win_rate,min_return,max_return,top_3,bottom_3
2020-2021,2020-01-05,2021-01-03,364,0.9965776865160849,1,Large,3,5,511603794.99737895,639703565.8896879,570853943.073063,2.548928569442964,0.7599285875339213,2.56439912586936,2.835010529979,0.8990896303520414,0.9006320738094513,1.0,0.3360926667122217,6.550764454082749,"LINK (+655.1%), NEO (+76.0%), ETC (+33.6%)","ETC (+33.6%), NEO (+76.0%), LINK (+655.1%)"
2020-2021,2020-01-05,2021-01-03,364,0.9965776865160849,2,Mid-1,4,4,708925310.9892446,877159746.8913403,831761648.3881788,0.5771306420941513,0.6231824429471263,0.5796001283679955,0.12438872086846924,4.639734519855857,4.647694269265344,1.0,0.3738342581943545,0.6883234242879982,"XTZ (+68.8%), HT (+66.8%), LEO (+57.9%)","ATOM (+37.4%), LEO (+57.9%), HT (+66.8%)"
2020-2021,2020-01-05,2021-01-03,364,0.9965776865160849,3,Mid-2,4,4,900224705.7813873,940587960.2005504,909029891.0313842,2.407223787574962,1.7799108376812973,2.4215978005255097,1.4720415470945007,1.6352960908788976,1.6381015417162257,1.0,1.1650707008571601,4.904002774080092,"ADA (+490.4%), XLM (+200.8%), XMR (+155.2%)","TRX (+116.5%), XMR (+155.2%), XLM (+200.8%)"
2020-2021,2020-01-05,2021-01-03,364,0.9965776865160849,4,Mid-3,4,4,2003156469.135372,2778396524.60548,2377212680.4500523,1.2936625843489356,1.2310138028992916,1.3002106628754722,1.0545503635995694,1.2267432917411245,1.2288478451698264,1.0,0.03457927629092143,2.6780434553062378,"LTC (+267.8%), BNB (+191.6%), BSV (+54.6%)","EOS (+3.5%), BSV (+54.6%), BNB (+191.6%)"
2020-2021,2020-01-05,2021-01-03,364,0.9965776865160849,5,Small,4,4,4080035773.476062,134469548249.076,11674870834.59769,2.6546786141991876,2.152708987177286,2.6709802935300893,2.358813356574422,1.125429702523999,1.1273604462705966,1.0,0.15501393085305512,6.158282551589123,"ETH (+615.8%), BTC (+342.3%), BCH (+88.2%)","XRP (+15.5%), BCH (+88.2%), BTC (+342.3%)"
2021-2022,2021-01-03,2022-01-02,364,0.9965776865160849,1,Large,9,9,506613483.19005257,676648940.7365582,617734418.9586091,2.160730955948199,1.7937823574055367,2.173246671901229,1.2935307205450057,1.6704133281332616,1.6732790247470026,1.0,0.4408032891311009,4.803452088589932,"FTT (+480.3%), KSM (+307.6%), ALGO (+296.0%)","COMP (+44.1%), DCR (+53.6%), ZEC (+158.9%)"
2021-2022,2021-01-03,2022-01-02,364,0.9965776865160849,2,Mid-1,9,9,710506937.003549,1047398232.6692034,882036803.6691314,1.159408591078017,0.6500254966849868,1.1651248902345532,1.5410653984949687,0.7523422381751713,0.7536329274722462,0.7777777777777778,-0.3414792509783458,4.39792482245832,"ETC (+439.8%), MIOTA (+345.3%), HT (+91.9%)","SNX (-34.1%), REV (-4.0%), ZIL (+13.0%)"
2021-2022,2021-01-03,2022-01-02,364,0.9965776865160849,3,Mid-2,9,9,1097389994.1441915,1611874059.9112284,1344967496.373228,4.269938806855576,1.920263070847166,4.300102886186558,5.149560727576466,0.8291850572786883,0.8306075751494381,0.8888888888888888,-0.34540373207037517,16.849922010292186,"DOGE (+1685.0%), CRO (+883.4%), ATOM (+512.4%)","CEL (-34.5%), NEO (+69.3%), XTZ (+118.8%)"
2021-2022,2021-01-03,2022-01-02,364,0.9965776865160849,4,Mid-3,9,9,1667128428.6948662,3819401682.95548,2458046204.503933,0.7906964225040028,0.7337681678388688,0.7942826598543156,0.8558724295443917,0.9238484559257457,0.9254333746684109,0.7777777777777778,-0.37944614831451795,2.3605611188118387,"VET (+236.1%), TRX (+163.7%), THETA (+130.3%)","XEM (-37.9%), BSV (-27.5%), EOS (+16.4%)"
2021-2022,2021-01-03,2022-01-02,364,0.9965776865160849,5,Small,9,9,5453374284.889682,609409213147.0334,8995148461.427736,2.9307294289692303,1.9632541115766369,2.949249849444713,3.6239819421467776,0.8087042032094459,0.8100915849176877,0.8888888888888888,-0.05577784827975705,11.91396871642242,"BNB (+1191.4%), ADA (+572.0%), ETH (+292.6%)","LTC (-5.6%), BCH (+6.2%), BTC (+44.4%)"
