period,start_date,end_date,bucket,bucket_label,position,num_coins,mean_return,annualized_return,std,sharpe,win_rate
2020-2021,2020-01-05,2021-01-03,1,Largest,LONG,3,2.548928569442964,2.56439912586936,2.835010529979,0.8990896303520414,1.0
2020-2021,2020-01-05,2021-01-03,1,Largest,SHORT,3,-2.548928569442964,-1.0,2.835010529979,-0.8990896303520414,0.0
2020-2021,2020-01-05,2021-01-03,2,Mid-1,LONG,4,0.5771306420941513,0.5796001283679955,0.12438872086846924,4.639734519855857,1.0
2020-2021,2020-01-05,2021-01-03,2,Mid-1,SHORT,4,-0.5771306420941513,-0.5783786603863645,0.12438872086846924,-4.639734519855857,0.0
2020-2021,2020-01-05,2021-01-03,3,Mid-2,LONG,4,2.407223787574962,2.4215978005255097,1.4720415470945007,1.6352960908788976,1.0
2020-2021,2020-01-05,2021-01-03,3,Mid-2,SHORT,4,-2.407223787574962,-1.0,1.4720415470945007,-1.6352960908788976,0.0
2020-2021,2020-01-05,2021-01-03,4,Mid-3,LONG,4,1.2936625843489356,1.3002106628754722,1.0545503635995694,1.2267432917411245,1.0
2020-2021,2020-01-05,2021-01-03,4,Mid-3,SHORT,4,-1.2936625843489356,-1.0,1.0545503635995694,-1.2267432917411245,0.0
2020-2021,2020-01-05,2021-01-03,5,Smallest,LONG,4,2.6546786141991876,2.6709802935300893,2.358813356574422,1.125429702523999,1.0
2020-2021,2020-01-05,2021-01-03,5,Smallest,SHORT,4,-2.6546786141991876,-1.0,2.358813356574422,-1.125429702523999,0.0
2021-2022,2021-01-03,2022-01-02,1,Largest,LONG,9,2.160730955948199,2.173246671901229,1.2935307205450057,1.6704133281332616,1.0
2021-2022,2021-01-03,2022-01-02,1,Largest,SHORT,9,-2.160730955948199,-1.0,1.2935307205450057,-1.6704133281332616,0.0
2021-2022,2021-01-03,2022-01-02,2,Mid-1,LONG,9,1.159408591078017,1.1651248902345532,1.5410653984949687,0.7523422381751713,0.7777777777777778
2021-2022,2021-01-03,2022-01-02,2,Mid-1,SHORT,9,-1.159408591078017,-1.0,1.5410653984949687,-0.7523422381751713,0.2222222222222222
2021-2022,2021-01-03,2022-01-02,3,Mid-2,LONG,9,4.269938806855576,4.300102886186558,5.149560727576466,0.8291850572786883,0.8888888888888888
2021-2022,2021-01-03,2022-01-02,3,Mid-2,SHORT,9,-4.269938806855576,-1.0,5.149560727576466,-0.8291850572786883,0.1111111111111111
2021-2022,2021-01-03,2022-01-02,4,Mid-3,LONG,9,0.7906964225040028,0.7942826598543156,0.8558724295443917,0.9238484559257457,0.7777777777777778
2021-2022,2021-01-03,2022-01-02,4,Mid-3,SHORT,9,-0.7906964225040028,-0.7918175315302116,0.8558724295443917,-0.9238484559257457,0.2222222222222222
2021-2022,2021-01-03,2022-01-02,5,Smallest,LONG,9,2.9307294289692303,2.949249849444713,3.6239819421467776,0.8087042032094459,0.8888888888888888
2021-2022,2021-01-03,2022-01-02,5,Smallest,SHORT,9,-2.9307294289692303,-1.0,3.6239819421467776,-0.8087042032094459,0.1111111111111111
2022-2023,2022-01-02,2023-01-01,3,Mid-2,LONG,7,-0.5376785242177246,-0.5389017609737876,0.22617293644535966,-2.37728939928947,0.0
2022-2023,2022-01-02,2023-01-01,3,Mid-2,SHORT,7,0.5376785242177246,0.5399522600273636,0.22617293644535966,2.37728939928947,1.0
2022-2023,2022-01-02,2023-01-01,4,Mid-3,LONG,15,-0.7506317408725444,-0.7518182250394745,0.2372201861149471,-3.1642827415573276,0.0
2022-2023,2022-01-02,2023-01-01,4,Mid-3,SHORT,15,0.7506317408725444,0.7540014393268566,0.2372201861149471,3.1642827415573276,1.0
2022-2023,2022-01-02,2023-01-01,5,Smallest,LONG,27,-0.7566855246018069,-0.7578636412255173,0.1522999823720606,-4.968388786502057,0.0
2022-2023,2022-01-02,2023-01-01,5,Smallest,SHORT,27,0.7566855246018069,0.7600877408689135,0.1522999823720606,4.968388786502057,1.0
2023-2024,2023-01-01,2024-01-07,1,Largest,LONG,9,0.6019789546084959,0.5903213952379953,0.695238544763388,0.8658595803450004,0.8888888888888888
2023-2024,2023-01-01,2024-01-07,1,Largest,SHORT,9,-0.6019789546084959,-0.5962551894472155,0.695238544763388,-0.8658595803450004,0.1111111111111111
2023-2024,2023-01-01,2024-01-07,2,Mid-1,LONG,9,0.34538972785595123,0.33921756080360765,0.47280143388438944,0.7305175134904662,0.6666666666666666
2023-2024,2023-01-01,2024-01-07,2,Mid-1,SHORT,9,-0.34538972785595123,-0.34107674621179473,0.47280143388438944,-0.7305175134904662,0.3333333333333333
2023-2024,2023-01-01,2024-01-07,3,Mid-2,LONG,10,0.7218005660333746,0.7073612879547666,0.7193731689465379,1.0033743225235818,0.9
2023-2024,2023-01-01,2024-01-07,3,Mid-2,SHORT,10,-0.7218005660333746,-0.7162290256133765,0.7193731689465379,-1.0033743225235818,0.1
2023-2024,2023-01-01,2024-01-07,4,Mid-3,LONG,10,1.239863084248414,1.2120427264398113,2.3310997670096425,0.5318790305740206,0.7
2023-2024,2023-01-01,2024-01-07,4,Mid-3,SHORT,10,-1.239863084248414,-1.0,2.3310997670096425,-0.5318790305740206,0.3
2023-2024,2023-01-01,2024-01-07,5,Smallest,LONG,11,0.543859693136564,0.5335031121740341,0.49733250605056184,1.0935534808602918,0.9090909090909091
2023-2024,2023-01-01,2024-01-07,5,Smallest,SHORT,11,-0.543859693136564,-0.5382765149945721,0.49733250605056184,-1.0935534808602918,0.09090909090909091
2024-2025,2024-01-07,2025-01-05,1,Largest,LONG,16,0.523922714624466,0.5261290147401716,0.7149674564853801,0.7327923947754948,0.8125
2024-2025,2024-01-07,2025-01-05,1,Largest,SHORT,16,-0.523922714624466,-0.5251345374643894,0.7149674564853801,-0.7327923947754948,0.1875
2024-2025,2024-01-07,2025-01-05,2,Mid-1,LONG,15,1.2100366408873628,1.2160633155982512,2.4251790801237516,0.49894733580895695,0.8
2024-2025,2024-01-07,2025-01-05,2,Mid-1,SHORT,15,-1.2100366408873628,-1.0,2.4251790801237516,-0.49894733580895695,0.2
2024-2025,2024-01-07,2025-01-05,3,Mid-2,LONG,18,0.29316163536404843,0.29430382580177117,0.7926741970858939,0.3698387514590456,0.5555555555555556
2024-2025,2024-01-07,2025-01-05,3,Mid-2,SHORT,18,-0.29316163536404843,-0.29400330375892236,0.7926741970858939,-0.3698387514590456,0.4444444444444444
2024-2025,2024-01-07,2025-01-05,4,Mid-3,LONG,20,0.43023251770702053,0.43199111914753385,0.9628074625593004,0.4468520804392104,0.6
2024-2025,2024-01-07,2025-01-05,4,Mid-3,SHORT,20,-0.43023251770702053,-0.43133210622821416,0.9628074625593004,-0.4468520804392104,0.4
2024-2025,2024-01-07,2025-01-05,5,Smallest,LONG,20,1.158023140188853,1.163731003047487,1.021424140808777,1.1337338661997112,0.9
2024-2025,2024-01-07,2025-01-05,5,Smallest,SHORT,20,-1.158023140188853,-1.0,1.021424140808777,-1.1337338661997112,0.1
