date,portfolio_value,returns,cummax,drawdown,strategy
2020-09-16,100383.62164508854,,100383.62164508854,0.0,Long Low Volume / Short High Volume
2020-09-17,98726.35085155739,-0.016509374401638133,100383.62164508854,-0.01650937440163809,Long Low Volume / Short High Volume
2020-09-18,98637.72257020527,-0.0008977165730088554,100383.62164508854,-0.017392270235636536,Long Low Volume / Short High Volume
2020-09-19,98511.82362729358,-0.0012763772280132146,100383.62164508854,-0.0186464483659775,Long Low Volume / Short High Volume
2020-09-20,98744.54311524106,0.0023623508263124204,100383.62164508854,-0.016328146992370198,Long Low Volume / Short High Volume
2020-09-21,98926.049181053,0.001838137684227359,100383.62164508854,-0.014520022690443167,Long Low Volume / Short High Volume
2020-09-22,99086.7634702888,0.0016245901920299843,100383.62164508854,-0.012919021584864177,Long Low Volume / Short High Volume
2020-09-23,96606.81708855752,-0.025028028920077605,100383.62164508854,-0.037623712859096714,Long Low Volume / Short High Volume
2020-09-24,92951.41972517913,-0.03783788218617701,100383.62164508854,-0.07403799343070465,Long Low Volume / Short High Volume
2020-09-25,94505.54351899767,0.016719742403219495,100383.62164508854,-0.05855614720569773,Long Low Volume / Short High Volume
2020-09-26,94593.58677998529,0.0009316200691436016,100383.62164508854,-0.057679079218462756,Long Low Volume / Short High Volume
2020-09-27,94705.42441875445,0.0011822962060767939,100383.62164508854,-0.056564976768916,Long Low Volume / Short High Volume
2020-09-28,96732.79649894968,0.021407137897728967,100383.62164508854,-0.036368733129061005,Long Low Volume / Short High Volume
2020-09-29,96191.11955254976,-0.005599723837259263,100383.62164508854,-0.0417648021044866,Long Low Volume / Short High Volume
2020-09-30,96788.45428821146,0.00620987403452955,100383.62164508854,-0.03581428223010301,Long Low Volume / Short High Volume
2020-10-01,97527.24155010015,0.007633010231662185,100383.62164508854,-0.02845464278114279,Long Low Volume / Short High Volume
2020-10-02,97278.56892955488,-0.002549776007122362,100383.62164508854,-0.03093186582281056,Long Low Volume / Short High Volume
