date,n_long,n_short,long_positions,short_positions,long_threshold,short_threshold,strategy
2020-09-16,2,2,"ETC/USD,XLM/USD...","BTC/USD,ETH/USD...",4142951.5943476,39929934.84955349,Long Low Volume / Short High Volume
2020-09-23,3,3,"BCH/USD,ETC/USD,XLM/USD...","BTC/USD,ETH/USD,UNI/USD...",3490873.552050377,56746012.33559351,Long Low Volume / Short High Volume
2020-09-30,3,3,"BCH/USD,ETC/USD,XLM/USD...","BTC/USD,ETH/USD,LINK/USD...",2897254.5123933195,17069493.194000002,Long Low Volume / Short High Volume
2020-10-07,3,3,"BCH/USD,ETC/USD,XLM/USD...","BTC/USD,ETH/USD,YFI/USD...",2780423.023560928,31714334.286472112,Long Low Volume / Short High Volume
2020-10-14,3,3,"ETC/USD,LTC/USD,XLM/USD...","BTC/USD,ETH/USD,LINK/USD...",3817337.800007816,22677251.7491854,Long Low Volume / Short High Volume
2020-10-21,3,3,"ALGO/USD,ETC/USD,XLM/USD...","BTC/USD,ETH/USD,LINK/USD...",5456923.957256,32784220.7828,Long Low Volume / Short High Volume
2021-01-02,3,3,"AAVE/USD,ETC/USD,FIL/USD...","BTC/USD,ETH/USD,LTC/USD...",8176600.595089003,119991109.95099986,Long Low Volume / Short High Volume
2021-01-09,3,3,"AAVE/USD,ETC/USD,FIL/USD...","BCH/USD,BTC/USD,ETH/USD...",12044701.718725216,159389968.09478962,Long Low Volume / Short High Volume
2021-01-16,3,3,"ALGO/USD,ETC/USD,FIL/USD...","BTC/USD,ETH/USD,LINK/USD...",28123227.253734365,198046443.9323645,Long Low Volume / Short High Volume
2021-01-23,3,3,"ALGO/USD,ETC/USD,FIL/USD...","BTC/USD,ETH/USD,LINK/USD...",20764982.1708,182924902.6537314,Long Low Volume / Short High Volume
2021-01-30,3,3,"BCH/USD,ETC/USD,FIL/USD...","BTC/USD,ETH/USD,XLM/USD...",25085374.87287784,208694528.700106,Long Low Volume / Short High Volume
2021-02-06,3,3,"ALGO/USD,ETC/USD,FIL/USD...","BTC/USD,ETH/USD,XLM/USD...",50497583.7855,150289947.727194,Long Low Volume / Short High Volume
2021-02-13,3,3,"AAVE/USD,ETC/USD,FIL/USD...","BTC/USD,ETH/USD,XLM/USD...",125596478.32707743,324941469.723329,Long Low Volume / Short High Volume
2021-02-20,3,3,"AAVE/USD,ETC/USD,FIL/USD...","BTC/USD,ETH/USD,GRT/USD...",85993978.176246,238715515.485264,Long Low Volume / Short High Volume
2021-02-27,3,3,"AAVE/USD,ETC/USD,FIL/USD...","BTC/USD,ETH/USD,XLM/USD...",16736241.639216002,142855663.60345,Long Low Volume / Short High Volume
2021-03-06,3,3,"AAVE/USD,ETC/USD,FIL/USD...","BTC/USD,ETH/USD,LTC/USD...",12317027.604516,49472276.2779631,Long Low Volume / Short High Volume
2021-03-13,3,3,"AAVE/USD,ETC/USD,FIL/USD...","BTC/USD,ETH/USD,LTC/USD...",37056067.50070201,91181875.65407059,Long Low Volume / Short High Volume
2021-03-20,3,3,"AAVE/USD,ETC/USD,SUSHI/USD...","ADA/USD,BTC/USD,ETH/USD...",13974160.953872401,111845215.30207202,Long Low Volume / Short High Volume
2021-03-27,4,4,"AAVE/USD,BCH/USD,ETC/USD,SUSHI/USD...","ANKR/USD,BTC/USD,ETH/USD,STORJ/USD...",16020612.597753799,185105557.12475327,Long Low Volume / Short High Volume
2021-04-03,4,4,"AAVE/USD,CRV/USD,ETC/USD,SUSHI/USD...","BTC/USD,ETH/USD,FIL/USD,LTC/USD...",15033497.4317896,61695239.61532167,Long Low Volume / Short High Volume
2021-04-10,4,4,"AAVE/USD,CRV/USD,SKL/USD,SUSHI/USD...","BTC/USD,ETH/USD,LTC/USD,XLM/USD...",16283136.449909018,112961026.5350449,Long Low Volume / Short High Volume
2021-04-17,4,4,"AAVE/USD,CRV/USD,STORJ/USD,SUSHI/USD...","BTC/USD,ETC/USD,ETH/USD,LTC/USD...",26224089.758536004,218674150.3931882,Long Low Volume / Short High Volume
2021-04-24,4,4,"CRV/USD,MANA/USD,SKL/USD,SUSHI/USD...","ADA/USD,BTC/USD,ETH/USD,LTC/USD...",10041545.340692,67347439.3578812,Long Low Volume / Short High Volume
2021-05-01,4,4,"CRV/USD,FIL/USD,MANA/USD,SUSHI/USD...","BTC/USD,ETC/USD,ETH/USD,LINK/USD...",20298374.7521364,83892040.44858253,Long Low Volume / Short High Volume
2021-05-08,5,5,"CRV/USD,MANA/USD,NKN/USD,RLC/USD,SKL/USD...","BTC/USD,CTSI/USD,ETC/USD,ETH/USD,LTC/USD...",17776078.232108798,155449048.97771865,Long Low Volume / Short High Volume
2021-05-15,5,5,"CRV/USD,CTSI/USD,MANA/USD,SKL/USD,STORJ/USD...","ADA/USD,BTC/USD,ETC/USD,ETH/USD,XLM/USD...",22707451.587659,190448650.54068738,Long Low Volume / Short High Volume
2021-05-22,5,5,"CTSI/USD,MANA/USD,NKN/USD,SKL/USD,STORJ/USD...","ADA/USD,BTC/USD,ETH/USD,LINK/USD,LTC/USD...",10199448.955806,110822845.95464729,Long Low Volume / Short High Volume
2021-05-29,5,5,"CRV/USD,CTSI/USD,MANA/USD,RLC/USD,STORJ/USD...","ADA/USD,BTC/USD,ETH/USD,LINK/USD,LTC/USD...",15232352.348666802,106491053.77334471,Long Low Volume / Short High Volume
2021-06-05,5,5,"CTSI/USD,MANA/USD,RLC/USD,SKL/USD,STORJ/USD...","ADA/USD,BTC/USD,DOGE/USD,ETH/USD,LINK/USD...",7027290.645169999,57282317.781484395,Long Low Volume / Short High Volume
2021-06-12,5,5,"CTSI/USD,MANA/USD,NKN/USD,RLC/USD,STORJ/USD...","ADA/USD,BTC/USD,ETH/USD,ICP/USD,LINK/USD...",8281760.590086001,43913908.841365345,Long Low Volume / Short High Volume
2021-06-19,6,6,"CRV/USD,CTSI/USD,MANA/USD,NKN/USD,STORJ/USD...","ADA/USD,AMP/USD,BTC/USD,ETH/USD,ICP/USD...",3484086.625848,32089154.259191662,Long Low Volume / Short High Volume
2021-06-26,6,6,"CRV/USD,MANA/USD,NKN/USD,RLC/USD,SKL/USD...","ADA/USD,BTC/USD,DOGE/USD,ETH/USD,ICP/USD...",4807304.223456001,30016228.214685794,Long Low Volume / Short High Volume
2021-07-03,6,6,"CRV/USD,CTSI/USD,MANA/USD,RLC/USD,SKL/USD...","ADA/USD,BTC/USD,ETH/USD,GRT/USD,ICP/USD...",2497061.114912,24200980.92802042,Long Low Volume / Short High Volume
2021-07-10,6,6,"ANKR/USD,CRV/USD,NKN/USD,QNT/USD,RLC/USD...","ADA/USD,BTC/USD,ETH/USD,ICP/USD,LINK/USD...",2972754.12617928,21707106.949250042,Long Low Volume / Short High Volume
2021-07-17,6,6,"CRV/USD,CTSI/USD,QNT/USD,RLC/USD,SKL/USD...","ADA/USD,BTC/USD,DOGE/USD,ETH/USD,ICP/USD...",2363696.98912152,20161400.776037283,Long Low Volume / Short High Volume
2021-07-24,6,6,"CRV/USD,CTSI/USD,NKN/USD,QNT/USD,RLC/USD...","ADA/USD,BTC/USD,DOGE/USD,ETH/USD,ICP/USD...",3388207.961568,30059314.87557961,Long Low Volume / Short High Volume
2021-07-31,6,6,"ANKR/USD,CRV/USD,CTSI/USD,MANA/USD,QNT/USD...","ADA/USD,BTC/USD,ETH/USD,LINK/USD,SOL/USD...",5141283.341128001,27939712.999114707,Long Low Volume / Short High Volume
2021-08-07,6,6,"CRV/USD,CTSI/USD,FET/USD,MANA/USD,NKN/USD...","ADA/USD,BTC/USD,DOGE/USD,ETH/USD,ICP/USD...",6302791.795856001,61251041.85526562,Long Low Volume / Short High Volume
2021-08-14,7,7,"CRV/USD,CTSI/USD,FET/USD,MANA/USD,NKN/USD...","ADA/USD,BTC/USD,DOGE/USD,ETH/USD,ICP/USD...",6311191.738698,43866224.41204801,Long Low Volume / Short High Volume
2021-08-21,7,7,"CRV/USD,CTSI/USD,IOTX/USD,NKN/USD,RLC/USD...","ADA/USD,BTC/USD,DOGE/USD,DOT/USD,ETH/USD...",6148026.388088,43554025.63005201,Long Low Volume / Short High Volume
2021-08-28,7,7,"CRV/USD,CTSI/USD,FET/USD,MANA/USD,QNT/USD...","ADA/USD,BTC/USD,DOGE/USD,ETH/USD,ICP/USD...",5810557.546998001,38006090.50133562,Long Low Volume / Short High Volume
2021-09-04,7,7,"AAVE/USD,CRV/USD,CTSI/USD,FET/USD,MANA/USD...","ADA/USD,BTC/USD,DOGE/USD,ETH/USD,ICP/USD...",12897639.122052003,80050624.37226301,Long Low Volume / Short High Volume
2021-09-11,7,7,"COTI/USD,CTSI/USD,MANA/USD,NKN/USD,REQ/USD...","ADA/USD,ALGO/USD,BTC/USD,ETH/USD,QNT/USD...",4245783.792760001,87634589.99654803,Long Low Volume / Short High Volume
2021-09-18,7,7,"AXS/USD,CTSI/USD,IOTX/USD,MANA/USD,NKN/USD...","ADA/USD,ALGO/USD,BTC/USD,DOT/USD,ETH/USD...",3333456.3068540003,69639041.83491004,Long Low Volume / Short High Volume
2021-09-25,7,7,"ANKR/USD,AXS/USD,MANA/USD,NKN/USD,REQ/USD...","ADA/USD,BTC/USD,COTI/USD,DOT/USD,ETH/USD...",3828469.1486160005,55838244.153597325,Long Low Volume / Short High Volume
2021-10-02,8,8,"ANKR/USD,CTSI/USD,IOTX/USD,MANA/USD,NKN/USD...","ADA/USD,ALGO/USD,AXS/USD,BTC/USD,DOT/USD...",7343429.004535,59023840.092438,Long Low Volume / Short High Volume
2021-10-09,8,8,"ANKR/USD,CTSI/USD,MANA/USD,NKN/USD,REQ/USD...","ADA/USD,BTC/USD,DOT/USD,ETH/USD,LINK/USD...",6611966.758688,69144287.19412799,Long Low Volume / Short High Volume
2021-10-16,8,8,"ANKR/USD,COTI/USD,CRV/USD,CTSI/USD,IOTX/USD...","ADA/USD,BTC/USD,DOT/USD,ETH/USD,NKN/USD...",8111335.152337999,99306899.19203293,Long Low Volume / Short High Volume
2021-10-23,8,8,"ANKR/USD,COTI/USD,CTSI/USD,IOTX/USD,MANA/USD...","ADA/USD,BTC/USD,DOGE/USD,DOT/USD,ETH/USD...",5713855.16465,58432850.683948,Long Low Volume / Short High Volume
2021-10-30,3,3,"AAVE/USD,BCH/USD,ETC/USD...","BTC/USD,ETH/USD,XLM/USD...",11579105.836310912,64748235.476298,Long Low Volume / Short High Volume
2021-11-06,3,3,"AAVE/USD,BCH/USD,ETC/USD...","BTC/USD,ETH/USD,LINK/USD...",11362046.059,61937261.013971,Long Low Volume / Short High Volume
2021-11-13,3,3,"BCH/USD,ETC/USD,FIL/USD...","BTC/USD,ETH/USD,LTC/USD...",11549979.394806257,114230026.94241346,Long Low Volume / Short High Volume
2021-11-20,3,3,"AAVE/USD,ETC/USD,GRT/USD...","BTC/USD,ETH/USD,LTC/USD...",9674134.737688,79506218.64684667,Long Low Volume / Short High Volume
2021-11-27,3,3,"AAVE/USD,BCH/USD,ETC/USD...","BTC/USD,ETH/USD,GRT/USD...",9763472.28431,91145904.38712,Long Low Volume / Short High Volume
2021-12-04,3,3,"AAVE/USD,ETC/USD,GRT/USD...","BTC/USD,ETH/USD,LINK/USD...",27709260.32258865,174288917.0195952,Long Low Volume / Short High Volume
2021-12-11,3,3,"AAVE/USD,ETC/USD,GRT/USD...","BTC/USD,ETH/USD,LINK/USD...",9271970.2625,62431159.5468,Long Low Volume / Short High Volume
2021-12-18,3,3,"BCH/USD,ETC/USD,GRT/USD...","BTC/USD,ETH/USD,LINK/USD...",10291103.923782,76985128.59200001,Long Low Volume / Short High Volume
2021-12-25,3,3,"BCH/USD,ETC/USD,GRT/USD...","BTC/USD,ETH/USD,LINK/USD...",6506540.932229999,34341057.5648,Long Low Volume / Short High Volume
2022-01-01,3,3,"BCH/USD,ETC/USD,GRT/USD...","BTC/USD,ETH/USD,LINK/USD...",9036418.380341,43297562.54,Long Low Volume / Short High Volume
2022-01-08,3,3,"BCH/USD,ETC/USD,FIL/USD...","BTC/USD,ETH/USD,LINK/USD...",15555971.0511,142977743.0216,Long Low Volume / Short High Volume
2022-01-15,3,3,"BCH/USD,ETC/USD,GRT/USD...","BTC/USD,ETH/USD,LINK/USD...",4653012.092868,45457476.2499,Long Low Volume / Short High Volume
2022-01-22,3,3,"BCH/USD,ETC/USD,GRT/USD...","BTC/USD,ETH/USD,LINK/USD...",19378380.581273656,136035240.8272,Long Low Volume / Short High Volume
2022-01-29,3,3,"AAVE/USD,BCH/USD,ETC/USD...","BTC/USD,ETH/USD,LINK/USD...",4727446.93344,41281046.81119999,Long Low Volume / Short High Volume
2022-02-05,3,3,"AAVE/USD,ETC/USD,GRT/USD...","BTC/USD,ETH/USD,LINK/USD...",8668777.533403,60586026.18969999,Long Low Volume / Short High Volume
