date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,daily_return,log_return
2024-07-11,10000.0,5,0,0.5,0.0,0.5,0.5,,
2024-07-12,10110.804306146374,5,0,0.5,0.0,0.5,0.5,0.011080430614637482,0.01101949237805554
2024-07-13,10313.755257079136,5,0,0.5,0.0,0.5,0.5,0.020072681142625504,0.019873880779771824
2024-07-14,10413.200763425202,5,0,0.5,0.0,0.5,0.5,0.00964202696954719,0.009595839285433531
2024-07-15,10743.079171194602,5,0,0.5,0.0,0.5,0.5,0.03167886755127669,0.031187443781016223
2024-07-16,10826.624256679053,5,0,0.5,0.0,0.5,0.5,0.007776642446093218,0.00774656022071376
2024-07-17,10830.270380653543,5,0,0.5,0.0,0.5,0.5,0.00033677385379293767,0.0003367171582073418
2024-07-18,10765.778465545596,5,0,0.5,0.0,0.5,0.5,-0.005954783476426417,-0.005972583899841545
2024-07-19,10953.416662893598,5,0,0.5,0.0,0.5,0.5,0.017429134172555427,0.01727898890428821
2024-07-20,11086.039887833645,5,0,0.5,0.0,0.5,0.5,0.012107932074685746,0.012035217426040365
2024-07-21,11210.104798714076,5,0,0.5,0.0,0.5,0.5,0.011191093675982922,0.011128936693644882
2024-07-22,11131.20237942948,5,0,0.5,0.0,0.5,0.5,-0.007038508622474793,-0.007063395771987508
2024-07-23,11018.909223344843,5,0,0.5,0.0,0.5,0.5,-0.010088142525569,-0.010139372671271362
2024-07-24,10982.063822158512,5,0,0.5,0.0,0.5,0.5,-0.003343833807820995,-0.0033494369141458167
2024-07-25,10851.395431323966,5,0,0.5,0.0,0.5,0.5,-0.011898345607033955,-0.011969697465279185
2024-07-26,11059.320223094388,5,0,0.5,0.0,0.5,0.5,0.01916111094525408,0.018979848656897103
2024-07-27,11019.793302720152,5,0,0.5,0.0,0.5,0.5,-0.0035740822742156286,-0.0035804845656969213
2024-07-28,11042.545948356,5,0,0.5,0.0,0.5,0.5,0.0020647071148087726,0.0020625785364974253
2024-07-29,11007.01839597043,5,0,0.5,0.0,0.5,0.5,-0.0032173334439110635,-0.003222520189136166
2024-07-30,10978.292494570938,5,0,0.5,0.0,0.5,0.5,-0.0026097804479011666,-0.0026131918615473447
2024-07-31,10857.269031701231,5,0,0.5,0.0,0.5,0.5,-0.01102388763366946,-0.01108510097131264
2024-08-01,10783.69330384263,5,0,0.5,0.0,0.5,0.5,-0.006776633022887557,-0.006799698664436643
2024-08-02,10423.701395117245,5,0,0.5,0.0,0.5,0.5,-0.03338298842355869,-0.03395292032974395
2024-08-03,10277.626547794285,5,0,0.5,0.0,0.5,0.5,-0.014013721401438528,-0.014112840704972724
2024-08-04,10014.440296095241,5,0,0.5,0.0,0.5,0.5,-0.025607687774520937,-0.02594127180980539
2024-08-05,9605.766309452078,5,0,0.5,0.0,0.5,0.5,-0.04080847002528043,-0.04166450560940501
2024-08-06,9801.846278693585,5,0,0.5,0.0,0.5,0.5,0.02041273573859126,0.020207188331299124
2024-08-07,9849.7425632072,5,0,0.5,0.0,0.5,0.5,0.004886455383179111,0.004874555410120221
2024-08-08,10380.465361855566,5,0,0.5,0.0,0.5,0.5,0.05388189541428523,0.052480390154050816
2024-08-09,10203.317652557236,5,0,0.5,0.0,0.5,0.5,-0.01706548821493914,-0.017212781822227487
2024-08-10,10214.815388082845,5,0,0.5,0.0,0.5,0.5,0.0011268624497569046,0.001126228016834264
2024-08-11,9979.381544410362,5,0,0.5,0.0,0.5,0.5,-0.02304827201744175,-0.023318036570882324
2024-08-12,10181.343516771487,5,0,0.5,0.0,0.5,0.5,0.020237924711301147,0.02003585961629096
2024-08-13,10198.753566108056,5,0,0.5,0.0,0.5,0.5,0.0017099952779209282,0.001708534900584218
2024-08-14,10077.37298963021,5,0,0.5,0.0,0.5,0.5,-0.011901510874937848,-0.011972900853270303
2024-08-15,9973.710106630837,5,0,0.5,0.0,0.5,0.5,-0.01028669704952312,-0.010339970772961801
2024-08-16,9995.866183257163,5,0,0.5,0.0,0.5,0.5,0.002221447825277778,0.0022189840581363406
2024-08-17,10062.860601102391,5,0,0.5,0.0,0.5,0.5,0.006702212356288095,0.006679852382978451
2024-08-18,10011.150249338814,5,0,0.5,0.0,0.5,0.5,-0.005138732793129597,-0.005151981487646212
2024-08-19,10120.68807318591,5,0,0.5,0.0,0.5,0.5,0.010941582247687265,0.010882156220204416
2024-08-20,10080.809544553238,5,0,0.5,0.0,0.5,0.5,-0.003940298163948586,-0.003948081591503625
2024-08-21,10194.342471321219,5,0,0.5,0.0,0.5,0.5,0.011262282683370817,0.011199335357217977
2024-08-22,10166.547713191781,5,0,0.5,0.0,0.5,0.5,-0.0027264885604568745,-0.002730212200239589
2024-08-23,10449.674936286183,5,0,0.5,0.0,0.5,0.5,0.02784890516246974,0.02746817681650085
2024-08-24,10498.499221684757,5,0,0.5,0.0,0.5,0.5,0.0046723257609702085,0.004661444328196653
2024-08-25,10434.859621818347,5,0,0.5,0.0,0.5,0.5,-0.006061780690992613,-0.006080227869847463
2024-08-26,10305.445035180192,5,0,0.5,0.0,0.5,0.5,-0.012402139686437219,-0.012479688065137617
2024-08-27,9994.202195323554,5,0,0.5,0.0,0.5,0.5,-0.03020178544392138,-0.030667255356012932
2024-08-28,10004.71338152722,5,0,0.5,0.0,0.5,0.5,0.001051728391945339,0.0010511757131181924
2024-08-29,9982.725748116205,5,0,0.5,0.0,0.5,0.5,-0.0021977274682962733,-0.0022001460154968755
2024-08-30,9986.045195151066,5,0,0.5,0.0,0.5,0.5,0.00033251910536424845,0.0003324638331389068
2024-08-31,9956.280684374944,5,0,0.5,0.0,0.5,0.5,-0.002980610461344013,-0.0029850613271034374
2024-09-01,9747.944962821855,5,0,0.5,0.0,0.5,0.5,-0.02092505506399034,-0.021147086842287065
2024-09-02,9945.5013251868,5,0,0.5,0.0,0.5,0.5,0.020266462635808224,0.02006383105775014
2024-09-03,9778.483484913237,5,0,0.5,0.0,0.5,0.5,-0.016793305315901397,-0.01693591167690841
2024-09-04,9853.007560026816,5,0,0.5,0.0,0.5,0.5,0.007621230350141506,0.007592335490840317
2024-09-05,9736.144629303115,5,0,0.5,0.0,0.5,0.5,-0.0118606354467653,-0.011931533941790192
2024-09-06,9504.008911575444,5,0,0.5,0.0,0.5,0.5,-0.023842673518736257,-0.024131510394359977
2024-09-07,9583.03645079744,5,0,0.5,0.0,0.5,0.5,0.008315179410842477,0.008280798762549543
2024-09-08,9637.129264488844,5,0,0.5,0.0,0.5,0.5,0.005644642381267717,0.005628771084647536
2024-09-09,9833.335502998654,5,0,0.5,0.0,0.5,0.5,0.020359407155904563,0.020154925188758187
2024-09-10,9853.119183898929,5,0,0.5,0.0,0.5,0.5,0.0020118993086568615,0.0020098781497009588
2024-09-11,9781.076149477733,5,0,0.5,0.0,0.5,0.5,-0.0073116982629137794,-0.007338559744113922
2024-09-12,9903.321582034569,5,0,0.5,0.0,0.5,0.5,0.012498157737312221,0.012420700478197847
2024-09-13,10051.722604401682,5,0,0.5,0.0,0.5,0.5,0.014984974600473988,0.014873809034893288
2024-09-14,10058.413023929099,5,0,0.5,0.0,0.5,0.5,0.0006655992998141347,0.000665377886842943
2024-09-15,9891.740129538508,5,0,0.5,0.0,0.5,0.5,-0.01657049616018691,-0.016709322583475652
2024-09-16,9873.174667067566,5,0,0.5,0.0,0.5,0.5,-0.0018768651650584722,-0.0018786286834186314
2024-09-17,9939.238913232422,5,0,0.5,0.0,0.5,0.5,0.006691287087750686,0.006668999791529701
2024-09-18,10022.907879244975,5,0,0.5,0.0,0.5,0.5,0.008418045560929288,0.008382811412415475
2024-09-19,10144.654134149321,5,0,0.5,0.0,0.5,0.5,0.012146799748250059,0.012073619385001417
2024-09-20,10208.593428376542,5,0,0.5,0.0,0.5,0.5,0.006302757430830974,0.006282978121170229
2024-09-21,10309.338656617156,5,0,0.5,0.0,0.5,0.5,0.009868668876612752,0.009820291583193802
2024-09-22,10220.729737509386,5,0,0.5,0.0,0.5,0.5,-0.008595014875265039,-0.008632165039599907
2024-09-23,10250.999603910843,5,0,0.5,0.0,0.5,0.5,0.002961614990206529,0.002957238048279838
2024-09-24,10345.96346264467,5,0,0.5,0.0,0.5,0.5,0.009263863272182427,0.009221216868791644
2024-09-25,10243.030109104393,5,0,0.5,0.0,0.5,0.5,-0.009949131747075013,-0.009998955099853369
2024-09-26,10430.537938917814,5,0,0.5,0.0,0.5,0.5,0.01830589462455623,0.01814035887023003
2024-09-27,10510.674224082632,5,0,0.5,0.0,0.5,0.5,0.007682852565620513,0.007653489751401389
2024-09-28,10583.585170087916,5,0,0.5,0.0,0.5,0.5,0.006936847670364177,0.0069128984335798975
2024-09-29,10611.617467675076,5,0,0.5,0.0,0.5,0.5,0.0026486580054543296,0.0026451564923504413
2024-09-30,10382.694391868867,5,0,0.5,0.0,0.5,0.5,-0.02157287298600341,-0.02180896910023824
2024-10-01,10143.929840139252,5,0,0.5,0.0,0.5,0.5,-0.02299639599491643,-0.023264938097556694
2024-10-02,9937.552124573103,5,0,0.5,0.0,0.5,0.5,-0.02034494705883294,-0.020554756074139043
2024-10-03,9883.504992166063,5,0,0.5,0.0,0.5,0.5,-0.005438676620713845,-0.00545352006600184
2024-10-04,10034.178533931941,5,0,0.5,0.0,0.5,0.5,0.015244950236308563,0.015129913660359736
2024-10-05,10024.58190283329,5,0,0.5,0.0,0.5,0.5,-0.0009563942943808801,-0.000956851931214814
2024-10-06,10098.594401203278,5,0,0.5,0.0,0.5,0.5,0.007383100770424145,0.007355979094828489
2024-10-07,10031.197909311228,5,0,0.5,0.0,0.5,0.5,-0.00667384877681787,-0.006696218489168198
2024-10-08,10029.50291637231,5,0,0.5,0.0,0.5,0.5,-0.0001689721361537444,-0.00016898641355348704
2024-10-09,9931.146835985024,5,0,0.5,0.0,0.5,0.5,-0.009806675486053074,-0.009855077630813917
2024-10-10,9925.794913814298,5,0,0.5,0.0,0.5,0.5,-0.0005389027328982499,-0.0005390479931657936
2024-10-11,10086.539461261062,5,0,0.5,0.0,0.5,0.5,0.016194627114755944,0.016064892931432716
