Strategy,Regularized MVO,Risk Parity,Max Diversification,HRP,Ensemble,Expected_Return,Sharpe_Ratio
Breakout Signal,0.12545322984445095,0.14664156831301797,0.16916590984476448,0.058199809870278174,0.14708690266679209,0.32147750922249757,0.3869010727740146
Mean Reversion,0.05,0.05,0.05,0.036069015104152446,0.04999999999978957,1.3451943478189055,-0.161001842354836
Size Factor,0.05,0.05,0.05,0.036069015104152446,0.04999999999978957,-0.5186370983521001,-0.4131904742832302
Carry Factor,0.05,0.05,0.05,0.036069015104152446,0.04999999999978957,2.536415872584106e-05,-0.0295314696407655
Days from High,0.05,0.05,0.05,0.036069015104152446,0.04999999999978957,0.1339870204974431,-0.5048500120995021
Volatility Factor,0.2017747162389733,0.28157773731146174,0.2659010582205454,0.036069015104152446,0.24975117058927565,0.5538734147021006,1.0804866855640245
Kurtosis Factor,0.05,0.05,0.05,0.6171790541923496,0.04999999999978957,0.0,0.6172607975012078
Beta Factor (BAB),0.12484359687627598,0.1717806943755203,0.110318431639943,0.036069015104152446,0.13564757429667548,1.1142092387446232,0.1653745172911682
ADF (Blended),0.05,0.05,0.05,0.036069015104152446,0.04999999999978957,-0.24671892233525003,-0.0337356475164904
Leverage Inverted,0.1979284570529262,0.05,0.10461460029376149,0.036069015104152446,0.11751435244840129,0.00662311218730219,0.7948159800416938
Dilution Factor,0.05,0.05,0.0500000000009856,0.036069015104152446,0.050000000000118096,8.539089421121732,1.034394448565923
