Strategy,Regime,Days,Pct_of_Total,Total_Return,Avg_Daily_Return,Ann_Return,Ann_Volatility,Sharpe,Max_DD,Win_Rate,Avg_BTC_5d_Change
Trend Following (EW),Strong Up (>10%),118,6.9493521790341575,104.84203015074569,0.17249343532505063,87.58439265817313,25.060303734401952,3.494945376018735,-7.049138073211229,23.728813559322035,14.146181494198988
Trend Following (EW),Up (0-10%),775,45.641931684334516,20.77590364544324,-0.08402001834356736,-26.420370565275242,26.389943313176893,-1.0011529866410571,-52.647814331791174,19.509043927648577,3.5900591501700716
Trend Following (EW),Down (0 to -10%),718,42.285041224970556,20.60330053965145,0.12409383204874834,57.249209478614894,26.34262607197357,2.173253696203183,-14.464443771446808,21.58774373259053,-3.3459706096814728
Trend Following (EW),Strong Down (<-10%),87,5.123674911660777,27.110769298976845,-0.08107618818193323,-25.624835871208408,52.45798324190901,-0.488483054200539,-17.149526338031016,20.689655172413794,-14.444571798087813
Mean Reversion (EW),Strong Up (>10%),118,6.9493521790341575,-64.96291684675211,-0.17249343532504965,-46.74852458262399,25.060303734401945,-1.8654412603327384,-19.38615505941934,15.254237288135593,14.146181494198988
Mean Reversion (EW),Up (0-10%),775,45.641931684334516,-42.928232885873506,0.08402001834356704,35.87216652431573,26.389943313176882,1.3593119961877385,-27.33972635926066,25.1937984496124,3.5900591501700716
Mean Reversion (EW),Down (0 to -10%),718,42.285041224970556,-42.83514231469868,-0.12409383204874853,-36.44240965496609,26.34262607197357,-1.383400787582749,-67.65721334039269,21.72701949860724,-3.3459706096814728
Mean Reversion (EW),Strong Down (<-10%),87,5.123674911660777,-45.64431138084814,0.08107618818193336,34.42122961337113,52.45798324190897,0.6561676123658491,-18.132789306308457,19.54022988505747,-14.444571798087813
Trend Following (RP),Strong Up (>10%),118,6.9493521790341575,92.32019978293262,0.20782288943754385,113.35055241205785,27.191089321142865,4.168665369501042,-7.067389650553596,23.728813559322035,14.146181494198988
Trend Following (RP),Up (0-10%),775,45.641931684334516,10.544788292578989,-0.0837228484921411,-26.340450586137987,25.598261921168618,-1.028993713215959,-52.332333827190695,20.155038759689923,3.5900591501700716
Trend Following (RP),Down (0 to -10%),718,42.285041224970556,10.359592909776172,0.10690737041855582,47.6985915953166,24.927934252907093,1.9134594592311231,-15.531000660847708,22.14484679665738,-3.3459706096814728
Trend Following (RP),Strong Down (<-10%),87,5.123674911660777,15.140357655205449,-0.1046780282967557,-31.769255058752698,50.99256365015435,-0.6230174124351273,-16.99548630717015,19.54022988505747,-14.444571798087813
