,value
initial_capital,10000.0
leverage,1.0
final_value,2271.705492089919
total_return,-0.7728294507910081
annualized_return,-0.2728195066757064
annualized_volatility,0.36847474507525296
sharpe_ratio,-0.740402185826844
sortino_ratio,-0.5667942786796286
max_drawdown,-0.8421968732980876
calmar_ratio,-0.3239379239290343
win_rate,0.2149587750294464
trading_days,1698.0
avg_long_exposure,919.5373189543817
avg_short_exposure,0.0
avg_net_exposure,919.5373189543817
avg_gross_exposure,919.5373189543817
avg_long_positions,0.6749116607773852
avg_short_positions,0.0
avg_adf_long,-1.233345102585663
avg_adf_short,0.0
