date,symbol,signal,adf_stat,adf_pvalue,is_stationary,adf_rank,percentile,weight,volatility,market_cap,volume_30d_avg
2021-05-18,XLM/USD,LONG,-2.7160026317417953,0.2294983630836479,False,1.0,20.0,0.5,1.562456384605411,2989656210.8862576,276533805.1666667
2021-05-25,EOS/USD,LONG,-3.8206154312634935,0.015545718691469727,True,1.0,16.666666666666664,0.5,3.5413386263296167,2625024378.6311483,11782971.17
2021-06-01,ADA/USD,LONG,-2.960690126493936,0.1434047954369111,False,1.0,16.666666666666664,0.5,2.230576874187296,6377915101.911628,221567070.564
2021-06-08,GRT/USD,LONG,-2.7832138988187274,0.2031781140660353,False,1.0,16.666666666666664,0.5,2.664314494225331,369564933.9037584,41567597.00333334
2021-06-15,ZRX/USD,LONG,-4.133835359709789,0.0056227456743171336,True,1.0,20.0,0.5,2.4151063925409644,294490417.9531757,10971535.823555
2021-07-06,ALGO/USD,LONG,-4.630014565354379,0.0009179653790981587,True,1.0,20.0,0.5,1.2077152956584118,506613483.19005257,23550632.933333334
2021-07-13,ALGO/USD,LONG,-3.9424362661984347,0.010597550571935972,True,1.0,20.0,0.5,1.1069957024672754,506613483.19005257,18388613.5
2021-07-20,USDT/USD,LONG,-4.316492731731796,0.0029657268245374797,True,1.0,20.0,0.5,0.0026034753703729104,21340101768.041767,19928754.887000002
2021-07-27,ALGO/USD,LONG,-3.385843421991028,0.05330826997863747,False,1.0,20.0,0.5,0.7899962199544621,506613483.19005257,13346683.8
2021-08-03,GRT/USD,LONG,-3.88172574507353,0.012853039525907863,True,1.0,16.666666666666664,0.5,0.9016134427606626,369564933.9037584,22527428.736666664
2021-08-10,USDT/USD,LONG,-5.637033833891518,1.227853395250475e-05,True,1.0,16.666666666666664,0.5,0.004551275905673121,21340101768.041767,18374013.204666667
2021-08-17,USDT/USD,LONG,-2.239462634600074,0.4676797215318905,False,1.0,16.666666666666664,0.5,0.0051994547007136035,21340101768.041767,23014164.138666667
2021-08-24,USDT/USD,LONG,-3.134141451361436,0.09834114757913193,False,1.0,16.666666666666664,0.5,0.0059283921149693546,21340101768.041767,26079896.516333334
2021-08-31,DOGE/USD,LONG,-2.780656660987594,0.20413974766969833,False,1.0,16.666666666666664,0.5,1.3408273674537354,1248577459.1098516,451892645.62
2021-09-07,DOGE/USD,LONG,-2.5132176791774854,0.32138575038363826,False,1.0,16.666666666666664,0.5,1.21349150705398,1248577459.1098516,475538814.56333333
2021-09-14,USDT/USD,LONG,-2.0083792327498062,0.5968618585502794,False,1.0,16.666666666666664,0.5,0.0046802005106893856,21340101768.041767,33486522.139000002
2021-09-21,ALGO/USD,LONG,-2.185340243374412,0.4981045687542368,False,1.0,14.285714285714285,0.5,2.1670898068137703,506613483.19005257,72683541.06666666
2021-09-28,USDT/USD,LONG,-4.566523612256329,0.0011725828415967306,True,1.0,14.285714285714285,0.5,0.004035827366081652,21340101768.041767,36452963.64733334
2021-10-05,DOGE/USD,LONG,-3.9155510378742306,0.011548560810592764,True,1.0,14.285714285714285,0.5,1.097124991807787,1248577459.1098516,309746120.2266666
2021-10-12,USDT/USD,LONG,-5.107859872968387,0.00013029549451663098,True,1.0,14.285714285714285,0.5,0.004372995047095061,21340101768.041767,40444527.471
2021-10-19,USDT/USD,LONG,-3.8383028851355894,0.014719181334067065,True,1.0,16.666666666666664,0.5,0.004771753841036595,21340101768.041767,41383559.386
2021-10-26,ALGO/USD,LONG,-7.686449692139686,3.789282957856341e-10,True,1.0,16.666666666666664,0.5,0.9352608427015838,506613483.19005257,32976248.7
2022-03-08,ALGO/USD,LONG,-5.001373237885993,0.00020456564276694232,True,1.0,20.0,0.5,0.8638122627271602,10669967912.89091,23772878.923333332
2022-03-15,ALGO/USD,LONG,-3.9649438591734563,0.009856044852018204,True,1.0,20.0,0.5,0.8465058909604167,10669967912.89091,22142718.013333336
2022-03-22,CRO/USD,LONG,-2.971941722421046,0.14009514559838643,False,1.0,20.0,0.5,0.7758332553371905,14847022636.659174,25373429.339999996
2022-04-05,ALGO/USD,LONG,-2.1990753471572275,0.49037095779198797,False,1.0,20.0,0.5,0.7110861111902127,10669967912.89091,25013499.05
2022-04-12,OXT/USD,LONG,-2.2998464338343987,0.43403482957022327,False,1.0,20.0,0.5,0.9919564159108536,263691628.991675,10922196.166666666
2022-05-10,GRT/USD,LONG,-2.5094582667175627,0.3232497519238453,False,1.0,20.0,0.5,1.2513174915972602,3190739450.3534613,23843067.55166667
2022-05-17,ALGO/USD,LONG,-2.9179825941186643,0.15647207340084363,False,1.0,20.0,0.5,1.6564954758186248,10669967912.89091,34083632.43666667
2022-05-24,XLM/USD,LONG,-3.7784378631750037,0.01768435830887071,True,1.0,20.0,0.5,1.1666960155550161,7216429668.542691,97673553.2
2022-05-31,ALGO/USD,LONG,-3.135410640709968,0.09805677007910713,False,1.0,20.0,0.5,1.691175779739866,10669967912.89091,44908082.71
2022-06-07,ALGO/USD,LONG,-2.870517956273182,0.1722497605729052,False,1.0,20.0,0.5,1.5450427392473993,10669967912.89091,41608850.9
2022-06-28,ALGO/USD,LONG,-3.7105196063124932,0.021673785166330208,True,1.0,20.0,0.5,1.068234139136021,10669967912.89091,37937384.166666664
2022-07-05,ALGO/USD,LONG,-7.563370066873291,7.283770630940229e-10,True,1.0,20.0,0.5,0.9929879064059947,10669967912.89091,36688921.93333332
2022-07-12,ROSE/USD,LONG,-3.3579696356416777,0.05726195193214279,False,1.0,20.0,0.5,1.0419012685170057,1452500495.9648013,24132937.09
