,value
initial_capital,10000.0
leverage,1.0
final_value,3386.7005118699285
total_return,-0.6613299488130071
annualized_return,-0.20764209413482393
annualized_volatility,0.3566563151304195
sharpe_ratio,-0.5821909926336083
sortino_ratio,-0.518027887695144
max_drawdown,-0.6701991639646532
calmar_ratio,-0.30982147591245746
win_rate,0.21554770318021202
trading_days,1698.0
avg_long_exposure,1366.8726884368953
avg_short_exposure,0.0
avg_net_exposure,1366.8726884368953
avg_gross_exposure,1366.8726884368953
avg_long_positions,1.1101295641931683
avg_short_positions,0.0
avg_adf_long,-0.7814360627771941
avg_adf_short,0.0
