,value
initial_capital,10000.0
leverage,1.0
final_value,5707.176711412649
total_return,-0.42928232885873513
annualized_return,-0.1135777977998822
annualized_volatility,0.28247210468106493
sharpe_ratio,-0.40208500562602884
sortino_ratio,-0.3440945885305444
max_drawdown,-0.725396059332746
calmar_ratio,-0.15657349711047022
win_rate,0.22732626619552415
trading_days,1698.0
avg_long_exposure,1301.0817063589736
avg_short_exposure,-1301.0817063589736
avg_net_exposure,0.0
avg_gross_exposure,2602.1634127179473
avg_long_positions,0.6749116607773852
avg_short_positions,1.1101295641931683
avg_adf_long,-1.233345102585663
avg_adf_short,-0.7814360627771941
