date,portfolio_value,daily_return,regime,active_strategy,tf_weight,mr_weight,btc_5d_pct_change
2021-03-02,10000.0,,Moderate Up,Mean Reversion,0.0,1.0,3.0879025416885364
2021-03-03,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,8.707383726703256
2021-03-04,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,4.737406819941192
2021-03-05,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,7.821320200965043
2021-03-06,10000.0,0.0,Down,Trend Following,1.0,0.0,-1.469719617884191
2021-03-07,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,5.085402254306182
2021-03-08,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,4.081076250992854
2021-03-09,10000.0,0.0,Strong Up,Trend Following,1.0,0.0,13.537441294461772
2021-03-10,10000.0,0.0,Strong Up,Trend Following,1.0,0.0,14.601799035339113
2021-03-11,10000.0,0.0,Strong Up,Trend Following,1.0,0.0,18.20825829730788
2021-03-12,10000.0,0.0,Strong Up,Trend Following,1.0,0.0,12.254747628466145
2021-03-13,10000.0,0.0,Strong Up,Trend Following,1.0,0.0,16.718938369630344
2021-03-14,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,7.386357221652262
2021-03-15,10000.0,0.0,Down,Trend Following,1.0,0.0,-0.4554246870095868
2021-03-16,10000.0,0.0,Down,Trend Following,1.0,0.0,-1.5365437658813486
2021-03-17,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,2.970035775752633
2021-03-18,10000.0,0.0,Down,Trend Following,1.0,0.0,-5.775803591130879
2021-03-19,10000.0,0.0,Down,Trend Following,1.0,0.0,-1.5821558110786782
2021-03-20,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,4.458522022102529
2021-03-21,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,0.7662605742676964
2021-03-22,10000.0,0.0,Down,Trend Following,1.0,0.0,-8.17212706069389
2021-03-23,10000.0,0.0,Down,Trend Following,1.0,0.0,-5.723675707932774
2021-03-24,10000.0,0.0,Down,Trend Following,1.0,0.0,-9.930278709420415
2021-03-25,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-11.686296709895771
2021-03-26,10000.0,0.0,Down,Trend Following,1.0,0.0,-3.993632167733663
2021-03-27,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,3.2276062477834433
2021-03-28,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,2.6373461373279117
2021-03-29,10000.0,0.0,Strong Up,Trend Following,1.0,0.0,10.209854740669556
2021-03-30,10000.0,0.0,Strong Up,Trend Following,1.0,0.0,14.537649383799423
2021-03-31,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,6.768467131654221
2021-04-01,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,5.138074277080951
2021-04-02,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,5.740924601847075
2021-04-03,10000.0,0.0,Down,Trend Following,1.0,0.0,-0.901073845912459
2021-04-04,10000.0,0.0,Down,Trend Following,1.0,0.0,-0.9704955869089482
2021-04-05,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,0.5493537414965832
2021-04-06,10000.0,0.0,Down,Trend Following,1.0,0.0,-1.2030348149591141
2021-04-07,10000.0,0.0,Down,Trend Following,1.0,0.0,-5.1292584871341695
2021-04-08,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,1.7318003851169772
2021-04-09,10000.0,0.0,Down,Trend Following,1.0,0.0,-0.21172895258584346
2021-04-10,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,1.1088405159276338
2021-04-11,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,3.387246944931732
2021-04-12,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,6.94132417133182
2021-04-13,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,9.478006511360459
2021-04-14,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,8.39885507089706
2021-04-15,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,5.772032131900051
2021-04-16,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,2.4039405680662096
2021-04-17,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,0.3660438818164913
2021-04-18,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-11.501831628562641
2021-04-19,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-11.552742656236603
2021-04-20,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-10.643448010597666
2021-04-21,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-12.415349078674664
2021-04-22,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-13.915132588264257
2021-04-23,10000.0,0.0,Down,Trend Following,1.0,0.0,-9.039881537629634
2021-04-24,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-10.06822111779072
2021-04-25,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-13.059084459291437
2021-04-26,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,0.46976944234720097
2021-04-27,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,6.514364451847632
2021-04-28,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,7.241566115950326
2021-04-29,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,6.969273784841623
2021-04-30,10000.0,0.0,Strong Up,Trend Following,1.0,0.0,17.666110217625853
2021-05-01,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,7.040567140763976
2021-05-02,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,2.8247516507286408
2021-05-03,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,4.223956594187017
2021-05-04,10000.0,0.0,Down,Trend Following,1.0,0.0,-0.6309817095931369
2021-05-05,10000.0,0.0,Down,Trend Following,1.0,0.0,-0.48976820787015596
2021-05-06,10000.0,0.0,Down,Trend Following,1.0,0.0,-2.4518452355438813
2021-05-07,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,1.3336641636585878
2021-05-08,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,3.0505798272517426
2021-05-09,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,9.523792530397102
2021-05-10,10000.0,0.0,Down,Trend Following,1.0,0.0,-2.8675305816551977
2021-05-11,10000.0,0.0,Moderate Up,Mean Reversion,0.0,1.0,0.553732008094876
2021-05-12,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-13.735737941132854
2021-05-13,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-15.719549747659567
2021-05-14,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-14.437864769122676
2021-05-15,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-16.272568794021314
2021-05-16,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-18.15298840470465
2021-05-17,10000.0,0.0,Strong Down,Mean Reversion,0.0,1.0,-11.95639810847825
2021-05-18,10202.14518048933,0.02021451804893304,Strong Down,Mean Reversion,0.0,1.0,-13.751146857996488
2021-05-19,9738.656384258149,-0.04543052348613508,Strong Down,Mean Reversion,0.0,1.0,-26.379659226015107
2021-05-20,9557.484083258654,-0.018603418567303298,Strong Down,Mean Reversion,0.0,1.0,-13.1525663750112
2021-05-21,9531.976790377674,-0.0026688292294057003,Strong Down,Mean Reversion,0.0,1.0,-19.612196046611917
2021-05-22,9903.761931272878,0.03900399141451061,Strong Down,Mean Reversion,0.0,1.0,-14.005507050171516
2021-05-23,9907.621713342389,0.00038972888244837023,Strong Down,Mean Reversion,0.0,1.0,-18.896450183924973
2021-05-24,9806.79132438257,-0.010177052765754313,Moderate Up,Mean Reversion,0.0,1.0,5.844562265614894
2021-05-25,9406.86148055132,-0.04078090688407998,Down,Trend Following,1.0,0.0,-5.567047310006357
2021-05-26,10048.956754038867,0.06825818311613041,Moderate Up,Mean Reversion,0.0,1.0,5.228762020708211
2021-05-27,9692.830326442889,-0.0354391442129397,Moderate Up,Mean Reversion,0.0,1.0,2.881913971912775
2021-05-28,10011.739364295423,0.03290153929369044,Moderate Up,Mean Reversion,0.0,1.0,2.652000205991789
2021-05-29,9916.931189842415,-0.009469700618767507,Strong Down,Mean Reversion,0.0,1.0,-10.933378190961795
2021-05-30,9867.58636913687,-0.0049758155785215585,Down,Trend Following,1.0,0.0,-7.018360186862916
2021-05-31,10094.398980112992,0.02298562206514143,Down,Trend Following,1.0,0.0,-5.125361289972863
2021-06-01,10389.208242880517,0.02920523186653612,Down,Trend Following,1.0,0.0,-4.854853401001325
2021-06-02,10362.796304847687,-0.0025422474374724446,Moderate Up,Mean Reversion,0.0,1.0,5.317867169350632
2021-06-03,10346.34517969382,-0.0015875179507456316,Strong Up,Trend Following,1.0,0.0,13.343981804225624
2021-06-04,10424.430162398327,0.007547107828739241,Moderate Up,Mean Reversion,0.0,1.0,3.328002906689864
2021-06-05,10515.784692512712,0.0087635034904745,Down,Trend Following,1.0,0.0,-4.666985520922995
2021-06-06,10405.27414517432,-0.010509015786247078,Down,Trend Following,1.0,0.0,-2.4111217118713335
2021-06-07,10597.624115962377,0.018485814799724665,Strong Down,Mean Reversion,0.0,1.0,-10.649873822147104
2021-06-08,10310.901817177408,-0.027055337653757783,Strong Down,Mean Reversion,0.0,1.0,-14.895887873564773
2021-06-09,9939.181981520082,-0.03605114685876076,Moderate Up,Mean Reversion,0.0,1.0,1.4850561040488985
