,value
initial_capital,10000.0
leverage,1.0
final_value,16931.520658795052
total_return,0.6931520658795053
annualized_return,0.11985090280797439
annualized_volatility,0.3907637704475815
sharpe_ratio,0.30670935197164506
sortino_ratio,0.37235977514025304
max_drawdown,-0.503824688440103
calmar_ratio,0.23788215535655083
win_rate,0.4287396937573616
trading_days,1698.0
avg_long_exposure,8285.349042057192
avg_short_exposure,-8285.349042057192
avg_net_exposure,0.0
avg_gross_exposure,16570.698084114385
avg_long_positions,2.056537102473498
avg_short_positions,1.2173144876325088
avg_adf_long,-1.5018971533017278
avg_adf_short,-2.426223282871006
