,value
initial_capital,10000.0
leverage,1.0
final_value,22628.965503331678
total_return,1.2628965503331677
annualized_return,0.19189580034996667
annualized_volatility,0.38959142128689234
sharpe_ratio,0.49255653452557924
sortino_ratio,0.605121155043835
max_drawdown,-0.5060251500375214
calmar_ratio,0.37922186345033987
win_rate,0.43462897526501765
trading_days,1698.0
avg_long_exposure,10401.356586052976
avg_short_exposure,-10401.356586052976
avg_net_exposure,-9.75892377830804e-14
avg_gross_exposure,20802.713172105952
avg_long_positions,2.056537102473498
avg_short_positions,1.2173144876325088
avg_adf_long,-1.5018971533017278
avg_adf_short,-2.426223282871006
