date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_adf_long,avg_adf_short,daily_return
2021-03-02,10068.324473089973,0,5034.162236544987,-5034.162236544987,0.0,10068.324473089973,2,1,-1.5368953597365285,-3.333324767975006,
2021-03-03,9892.869884912405,0,4946.434942456202,-4946.434942456202,0.0,9892.869884912405,2,1,-1.5228446624071423,-2.892887759089048,-0.017426393899651615
2021-03-04,10001.076710305151,0,5000.538355152576,-5000.538355152576,0.0,10001.076710305151,2,1,-1.6329410386453838,-2.811338325379059,0.010937859958895402
2021-03-05,10093.604914089883,0,5046.802457044942,-5046.802457044942,0.0,10093.604914089883,2,1,-1.4822202656270296,-2.6178208867557617,0.009251824225024796
2021-03-06,10252.604050698608,0,5126.302025349304,-5126.302025349304,0.0,10252.604050698608,2,1,-1.4723860846928611,-2.6158294394644717,0.015752462867530515
2021-03-07,10320.489308629927,0,5160.244654314964,-5160.244654314964,0.0,10320.489308629927,2,1,-1.5084142738569453,-2.5940914468674148,0.006621269835022314
2021-03-08,10094.199223975093,0,5047.099611987546,-5047.099611987546,0.0,10094.199223975093,2,1,-1.5652315031982886,-2.514392675325414,-0.02192629417925096
2021-03-09,10039.132802560274,0,5019.566401280137,-5019.566401280137,0.0,10039.132802560274,2,1,-1.0734726366184217,-2.7039466254973124,-0.0054552540714698505
2021-03-10,9922.363557429746,0,4961.181778714873,-4961.181778714873,0.0,9922.363557429746,2,1,-1.3117186751279446,-2.673335102372092,-0.01163140755551606
2021-03-11,9973.946923346597,0,4986.9734616732985,-4986.9734616732985,0.0,9973.946923346597,2,1,-1.8524693881369405,-2.656994271362047,0.00519869742912471
2021-03-12,10200.940475448784,0,5100.470237724392,-5100.470237724392,0.0,10200.940475448784,2,1,-2.1312080235634054,-2.5049261882507317,0.022758648491586708
2021-03-13,9944.64857244385,0,4972.324286221925,-4972.324286221925,0.0,9944.64857244385,2,1,-2.232216385416006,0.0,-0.025124340605826245
2021-03-14,9922.517016174017,0,4961.2585080870085,-4961.2585080870085,0.0,9922.517016174017,2,1,-2.1462077708340157,0.0,-0.0022254739429564685
2021-03-15,10114.223769473836,0,5057.111884736918,-5057.111884736918,0.0,10114.223769473836,2,1,-2.19497234555346,0.0,0.019320375363159448
2021-03-16,9951.584162101832,0,4975.792081050916,-4975.792081050916,0.0,9951.584162101832,2,1,-1.0941662882756455,-3.406558368106612,-0.016080285653049642
2021-03-17,10146.263299948692,0,5073.131649974346,-5073.131649974346,0.0,10146.263299948692,2,1,-1.1603392525497453,-3.3915889065292033,0.019562627886748674
2021-03-18,9940.452729538012,0,4970.226364769006,-4970.226364769006,0.0,9940.452729538012,2,1,-1.1609636088843411,-3.6478794405422676,-0.020284371135107504
2021-03-19,9875.337353765453,0,4937.668676882727,-4937.668676882727,0.0,9875.337353765453,2,1,-1.183822440587778,-3.703643851148757,-0.006550544280449988
2021-03-20,9770.681795803339,0,4885.340897901669,-4885.340897901669,0.0,9770.681795803339,2,1,-1.2262920727798032,0.0,-0.010597669144154276
2021-03-21,9486.647120672746,0,4743.323560336373,-4743.323560336373,0.0,9486.647120672746,2,1,-1.2520991146436136,0.0,-0.029070097774813508
2021-03-22,9571.714810870757,0,4785.8574054353785,-4785.8574054353785,0.0,9571.714810870757,2,1,-1.3503884068420207,0.0,0.00896709755469205
2021-03-23,9546.78309825663,0,4773.391549128315,-4773.391549128315,0.0,9546.78309825663,2,1,-1.2609767186400864,-1.9194355212946643,-0.002604727899520265
2021-03-24,9399.365410158262,0,4699.682705079131,-4699.682705079131,0.0,9399.365410158262,2,1,-1.2962624537847103,-2.006543312989319,-0.015441608611102664
2021-03-25,9534.362716039743,0,4767.181358019871,-4767.181358019871,0.0,9534.362716039743,2,1,-1.2415552067604054,-1.9601838732696584,0.014362385117572263
2021-03-26,9229.246772834647,0,4614.623386417324,-4614.623386417324,0.0,9229.246772834647,2,1,-1.3970379739026313,-2.0048439356784535,-0.03200171341203495
2021-03-27,9456.938037245485,0,4728.469018622743,-4728.469018622743,0.0,9456.938037245485,2,1,-1.752097922712673,-2.3446550591637814,0.024670622642903428
2021-03-28,8854.293545619143,0,4427.146772809571,-4427.146772809571,0.0,8854.293545619143,2,1,-2.0946556523382207,-2.429150842407155,-0.06372511792430802
2021-03-29,9071.588228776121,0,4535.794114388061,-4535.794114388061,0.0,9071.588228776121,2,1,-2.0309564307558428,-2.4156282835945575,0.02454116548513241
2021-03-30,8893.89692875879,0,4446.948464379395,-4446.948464379395,0.0,8893.89692875879,2,1,-2.3038319422233284,-4.375866276742935,-0.019587672581265814
2021-03-31,8785.251348784002,0,4392.625674392001,-4392.625674392001,0.0,8785.251348784002,2,1,-2.4061732584969917,-5.083018607458095,-0.012215745341446094
2021-04-01,8844.000754438832,0,4422.000377219416,-4422.000377219416,0.0,8844.000754438832,2,1,-2.583072974379842,-5.473265313076157,0.006687276586908375
2021-04-02,8733.784308838513,0,4366.892154419256,-4366.892154419256,0.0,8733.784308838513,2,1,-2.2931986581123867,-2.569433584273974,-0.012462283604510294
2021-04-03,9023.608272603102,0,4511.804136301551,-4511.804136301551,0.0,9023.608272603102,2,1,-2.4539140865880302,-2.4569709124550148,0.03318423646795243
2021-04-04,8112.061959235198,0,4056.030979617599,-4056.030979617599,0.0,8112.061959235198,2,1,-2.5403451140606483,-2.659043480630069,-0.10101793936860959
2021-04-05,7988.038069458187,0,3994.0190347290936,-3994.0190347290936,0.0,7988.038069458187,2,1,-2.6183677452641945,-3.1416500902584836,-0.015288824271838197
2021-04-06,7905.287506871111,0,3952.643753435555,-3952.6437534355555,-4.388316103204954e-13,7905.287506871111,2,1,-1.889838330400984,-2.9973382785243032,-0.01035930999170731
2021-04-07,7873.962186815847,0,3936.9810934079233,-3936.9810934079237,-4.370927057415401e-13,7873.962186815847,2,1,-1.5392458732531213,-3.238850474058058,-0.003962578214648849
2021-04-08,8019.742971835164,0,4009.8714859175816,-4009.871485917582,-4.4518516494535887e-13,8019.742971835164,2,1,-2.1158928411092015,-2.648901114500507,0.01851428563670421
2021-04-09,8324.29410659223,0,4162.147053296114,-4162.147053296115,-4.620911490445095e-13,8324.29410659223,2,1,-1.9170481552259406,-2.5939045698969534,0.03797517399580386
2021-04-10,8395.179558062195,0,4197.589779031096,-4197.589779031097,-4.660260820611547e-13,8395.179558062195,2,1,-1.2155435861273005,-2.5185660287748473,0.00851549099086113
2021-04-11,8566.456023651297,0,4283.228011825648,-4283.2280118256485,-4.755338358448267e-13,8566.456023651297,2,1,-1.3138105461347964,-2.545969019942388,0.02040176322668641
2021-04-12,9006.275953679415,0,4503.137976839706,-4503.137976839707,-4.999487464951388e-13,9006.275953679415,2,1,-0.8091378989912664,-2.46872254662831,0.051342110297865284
2021-04-13,8947.473288621874,0,4473.736644310937,-4473.736644310937,0.0,8947.473288621874,2,1,-0.942527391750784,-3.2361413777903105,-0.006529076541732848
2021-04-14,8694.918306072097,0,4347.4591530360485,-4347.4591530360485,0.0,8694.918306072097,2,1,-0.9862983701149233,-2.1787208260266584,-0.028226402516444482
2021-04-15,8647.670712082281,0,4323.835356041141,-4323.835356041141,0.0,8647.670712082281,2,1,-1.1818982024133295,-2.856185263925629,-0.005433931904434419
2021-04-16,8007.4469713950975,0,4003.7234856975488,-4003.7234856975488,0.0,8007.4469713950975,2,1,-0.9827881606112938,-2.277788845307351,-0.07403424135850611
2021-04-17,8175.043730964693,0,4087.5218654823466,-4087.5218654823466,0.0,8175.043730964693,2,1,-1.842604783340396,-3.4625559894441174,0.02093011170330561
2021-04-18,8281.855839418604,0,4140.927919709302,-4140.927919709302,0.0,8281.855839418604,2,1,-2.070845772955228,-3.222557676163532,0.013065631447246817
2021-04-19,8547.057512856241,0,4273.528756428121,-4273.528756428121,0.0,8547.057512856241,2,1,-2.096148871072562,-3.882621927737065,0.03202201035369079
2021-04-20,8563.195626436947,0,4281.597813218473,-4281.597813218474,-4.75352847441987e-13,8563.195626436947,2,1,-2.2908738661050414,-3.912679756549348,0.0018881484717321317
2021-04-21,8366.507143117356,0,4183.253571558677,-4183.253571558678,-4.644344432989864e-13,8366.507143117356,2,1,-2.344226850839691,-3.904221640162056,-0.022969051730216128
2021-04-22,8314.556924911223,0,4157.278462455611,-4157.278462455612,-4.615506268796489e-13,8314.556924911223,2,1,-2.587916085571737,-2.8631410865503613,-0.006209307817165888
2021-04-23,8277.604323290041,0,4138.80216164502,-4138.8021616450205,-4.594993454226671e-13,8277.604323290041,2,1,-1.9605413375641287,-2.6055809345837275,-0.004444326012185695
2021-04-24,8230.56772580283,0,4115.283862901414,-4115.283862901415,-4.568882897461507e-13,8230.56772580283,2,1,-1.6393332276592676,-2.3179818025768917,-0.005682392592125662
2021-04-25,8313.979695940878,0,4156.989847970438,-4156.989847970439,-4.61518584234981e-13,8313.979695940878,2,1,-1.2638238992655308,-1.8380076497848274,0.010134412706009455
2021-04-26,8537.676061261593,0,4268.838030630795,-4268.838030630796,-4.739362270001819e-13,8537.676061261593,2,1,-1.1037091278671396,-1.787822709007689,0.026906051434059997
2021-04-27,8399.516708149666,0,4199.758354074833,-4199.758354074833,0.0,8399.516708149666,2,1,-1.4858718540255906,-2.383025485998541,-0.016182313795999326
2021-04-28,8435.627241049015,0,4217.813620524507,-4217.813620524507,0.0,8435.627241049015,2,1,-1.8439510819095637,-2.522713736307102,0.004299120312995175
2021-04-29,8573.518747982731,0,4286.7593739913655,-4286.7593739913655,0.0,8573.518747982731,2,1,-1.8275376686291773,-2.661163134541887,0.016346325293122854
2021-04-30,8395.772414683606,0,4197.886207341803,-4197.886207341803,0.0,8395.772414683606,2,1,-1.7339669073157613,-2.2893070182575177,-0.020732016634470773
2021-05-01,8540.980226414313,0,4270.490113207156,-4270.490113207156,0.0,8540.980226414313,2,1,-1.927746429433782,-2.2951990339070236,0.01729534872535954
2021-05-02,8620.227086638259,0,4310.113543319129,-4310.113543319129,0.0,8620.227086638259,2,1,-1.9338834333441235,-2.3016626063406505,0.00927842684600333
2021-05-03,8591.921277989492,0,4295.960638994746,-4295.960638994746,0.0,8591.921277989492,2,1,-2.017882596553558,-2.28838312308902,-0.0032836499971842237
2021-05-04,9022.546185317764,0,4511.273092658882,-4511.273092658882,0.0,9022.546185317764,2,1,-1.8563163543814005,-2.4147676345558073,0.05011974544406428
2021-05-05,9565.785239538338,0,4782.892619769169,-4782.892619769169,0.0,9565.785239538338,2,1,-1.766995073271573,-2.4009714152756128,0.06020906328022768
2021-05-06,9157.574044166824,0,4578.787022083412,-4578.787022083412,0.0,9157.574044166824,2,1,-1.9771995437853955,-2.5655588810938537,-0.04267409158259705
2021-05-07,9264.019401505355,0,4632.009700752677,-4632.009700752677,0.0,9264.019401505355,2,1,-1.6975744430718913,-2.4688072125803058,0.011623750659852439
2021-05-08,9316.705257990927,0,4658.352628995463,-4658.352628995463,0.0,9316.705257990927,2,1,-1.873454804302344,-2.410795053430481,0.005687148763636074
2021-05-09,9216.041937963168,0,4608.020968981584,-4608.020968981584,0.0,9216.041937963168,2,1,-1.9032792292157181,-2.5037194749131713,-0.010804604980008459
2021-05-10,10143.801103501963,0,5071.900551750981,-5071.900551750981,0.0,10143.801103501963,2,1,-1.8898133889606643,-2.5359710183076367,0.10066785413780766
2021-05-11,11235.021514096848,0,5617.510757048424,-5617.510757048424,0.0,11235.021514096848,2,1,-2.1031104456270286,-2.813744650187101,0.10757509926117947
2021-05-12,11091.690771275024,0,5545.845385637512,-5545.845385637512,0.0,11091.690771275024,2,1,-2.187979213004553,-2.3605054336122833,-0.012757496070833874
2021-05-13,11071.62004725183,0,5535.810023625915,-5535.810023625915,0.0,11071.62004725183,2,1,-2.0734814105113957,-3.175115909870323,-0.0018095279103138573
2021-05-14,11203.911405731631,0,5601.9557028658155,-5601.9557028658155,0.0,11203.911405731631,2,1,-2.0957023048395174,-3.274730953900886,0.011948690247244986
2021-05-15,11260.396679731773,0,5630.198339865887,-5630.198339865887,0.0,11260.396679731773,2,1,-2.1606958675065355,-3.5471101500179736,0.005041567355775989
2021-05-16,11398.700019132682,0,5699.350009566341,-5699.350009566341,0.0,11398.700019132682,2,1,-2.0771721212862992,-2.7063755116517014,0.012282279508842642
2021-05-17,11585.974869074496,0,5792.987434537248,-5792.987434537248,0.0,11585.974869074496,2,1,-2.074994504787078,-3.676085862789955,0.016429491926927886
2021-05-18,12209.566626638052,0,6104.783313319026,-6104.783313319026,0.0,12209.566626638052,2,1,-1.9369733900076787,-3.7422675666597303,0.05382298551570819
2021-05-19,12318.580207187253,0,6159.290103593627,-6159.290103593627,0.0,12318.580207187253,2,1,-2.0275683983426704,-3.138449366480175,0.00892853807860483
2021-05-20,12617.694954231134,0,6308.847477115567,-6308.847477115567,0.0,12617.694954231134,2,1,-1.8402198073316178,-3.12175802038579,0.024281592684631148
2021-05-21,12728.817082570215,0,6364.408541285107,-6364.408541285107,0.0,12728.817082570215,2,1,-1.648062455823045,-3.7548182534968357,0.008806848536294432
2021-05-22,12891.266836314926,0,6445.633418157463,-6445.633418157463,0.0,12891.266836314926,2,1,-1.6910312796929303,-3.6777739192409524,0.012762360609860357
2021-05-23,12349.047946833103,0,6174.523973416552,-6174.523973416552,0.0,12349.047946833103,2,1,-2.12957552952689,-3.708122293286677,-0.042060946869424964
2021-05-24,12272.8580071063,0,6136.42900355315,-6136.42900355315,0.0,12272.8580071063,2,1,-2.2401853401661658,-3.5320327952113675,-0.006169701506936076
2021-05-25,12118.59900967987,0,6059.299504839935,-6059.299504839935,0.0,12118.59900967987,3,2,-1.5753102857508516,-3.288139215971901,-0.012569117750495407
2021-05-26,11929.488454972283,0,5964.744227486141,-5964.744227486141,0.0,11929.488454972283,3,2,-1.8949177369266679,-3.4355700447316107,-0.015604984912573894
2021-05-27,11903.388070837302,0,5951.694035418651,-5951.694035418651,0.0,11903.388070837302,3,2,-2.247996660060624,-3.600204784111427,-0.002187887957936896
2021-05-28,11765.2083520493,0,5882.60417602465,-5882.60417602465,0.0,11765.2083520493,3,2,-2.1747323391769764,-3.5433649681915758,-0.011608436015501766
2021-05-29,11523.631583628809,0,5761.815791814404,-5761.815791814404,0.0,11523.631583628809,3,2,-1.6282546355416307,-3.214882717927116,-0.020533148346532526
2021-05-30,11666.668476672212,0,5833.334238336106,-5833.334238336106,0.0,11666.668476672212,3,2,-1.5189415307491494,-2.9455078119369715,0.012412484033818894
2021-05-31,11632.917691211316,0,5816.458845605658,-5816.458845605658,0.0,11632.917691211316,3,2,-1.6197198174134202,-2.1373964018032483,-0.002892924019258891
2021-06-01,11946.046835086818,0,5973.023417543409,-5973.023417543409,0.0,11946.046835086818,3,2,-1.829141713680906,-2.6776110312477677,0.026917507042284905
2021-06-02,11526.789803803833,0,5763.3949019019165,-5763.3949019019165,0.0,11526.789803803833,3,2,-1.8205332139596866,-2.7832131433077634,-0.0350958804256134
2021-06-03,11711.58398223982,0,5855.79199111991,-5855.79199111991,0.0,11711.58398223982,3,2,-1.8503993085185,-2.7229624778671093,0.016031712348480998
2021-06-04,11682.43162160909,0,5841.215810804545,-5841.215810804545,0.0,11682.43162160909,3,2,-2.0065400103827926,-2.6352250928335037,-0.0024891902474454275
