Strategy,Description,Avg Return,Avg Drawdown,Stdev Return,Stdev Downside Return,Sharpe Ratio,Sortino Ratio,Information Coefficient,Max Drawdown,Win Rate,Calmar Ratio,Total Return,Final Value,Num Days
Breakout Signal,"Entry: 50d, Exit: 70d (VECTORIZED)",0.16012807728004352,-0.1211734262054657,0.2838921051969907,0.21270765679986015,0.38690107277401464,0.5163808473342242,0.0064565483961561984,-0.29498498368319603,0.5074183976261127,0.3723516996741489,0.6177794073270608,16177.794073270608,1686
Mean Reversion,"Z-score threshold: 1.0, 2d holding (VECTORIZED)",0.32819680397803963,-0.44005948858269206,0.9138445009020794,0.7467595326601421,-0.161001842354836,-0.19702547049778477,-0.032428430182051,-0.7114064235673195,0.535064935064935,-0.20681658668934913,-0.1548069533476466,8451.930466523534,386
Size Factor,"LONG small caps, SHORT large caps, risk parity weighting, 10d rebal (VECTORIZED)",-0.07010679790194307,-0.382785009727588,0.2643543248044091,0.20988370350970653,-0.4131904742832302,-0.5204248210709955,0.05379559090391777,-0.6153300711390601,0.4908883826879271,-0.17751235307346455,-0.4267352488206685,5732.647511793315,1757
Carry Factor,"Top 10 short, Bottom 10 long (VECTORIZED)",0.006932952226632816,-0.22973927879927053,0.172954904623977,0.13337595709042877,-0.029531469640765574,-0.03829485183496397,0.009663842819441317,-0.39585589501838464,0.5056947608200456,-0.0129027067157539,-0.02433173181291586,9756.682681870841,1757
Days from High,Max 20 days from 200d high (VECTORIZED),-0.23851338712487413,-0.6595355541936732,0.7990195602297191,0.5955912078687312,-0.5048500120995021,-0.6772850729163533,-0.027536353783450332,-0.8211963257026269,0.4905437352245863,-0.4912163170050362,-0.6981134421156454,3018.8655788435462,847
Volatility Factor,Strategy: long_low_short_high (VECTORIZED),0.32923174773818276,-0.10079043097427393,0.26601607260059906,0.17829774949437077,1.0804866855640243,1.6120608667584713,0.006899137105546772,-0.29280469911439294,0.5370799536500579,0.981633236967581,2.3021566654084955,33021.566654084956,1727
Kurtosis Factor,"BEAR ONLY: Long low kurtosis, Short high kurtosis, 14d rebal (REGIME-FILTERED)",0.19081882625336832,-0.10183940856767133,0.23960927251679234,0.18630683429790265,0.6172607975012078,0.7938592870184605,-0.07532530794632043,-0.21281763763509082,0.5181932245922208,0.6949678244995822,0.3516985332718572,13516.985332718572,798
Beta Factor (BAB),"Strategy: BAB, Weighting: equal_weight, Rebal: 5d (VECTORIZED)",0.0876731501716479,-0.19026486191228695,0.27532844369457266,0.18636175385269244,0.16537451729116823,0.24432217196511818,-0.0023697790824465693,-0.39038380845603443,0.4988193624557261,0.11663472584223855,0.22952824538562835,12295.282453856284,1695
ADF (Blended),"Mode: blended, ADF window: 60d, Regime-aware allocation (PARTIALLY VECTORIZED)",0.029857839237878547,-0.17699718012289678,0.23073293819365942,0.17647601633750606,-0.03373564751649043,-0.04410755203392001,0.05256047980678463,-0.42314195410945554,0.5088319088319089,-0.018395540781881374,-0.036892567946440434,9631.074320535596,1757
Leverage Inverted,"LONG low leverage, SHORT high leverage, Risk Parity, 7d rebal",0.07368413380385364,-0.03900320407227191,0.08754607209312842,0.06500749485792949,0.7948159800416938,1.07038453399213,0.045138306839883964,-0.10415352139655637,0.493125,0.6680812723034949,0.34293776077691857,13429.377607769185,1601
Dilution Factor,"Long low dilution, Short high dilution, 7d rebal",2.036020592438167,-0.5226008495172733,0.9246739371148532,0.5775409556032985,1.034394448565923,1.6561207962923847,0.1035159770775968,-0.8924465588512184,0.5093516209476309,1.0717477453399604,18.090338471828545,190903.38471828544,1605
