,value
initial_capital,10000.0
leverage,1.0
final_value,4309.970884121082
total_return,-0.5690029115878917
annualized_return,-0.16820966731876452
annualized_volatility,0.42654540764761195
sharpe_ratio,-0.3943534833640267
sortino_ratio,-0.4927522310506524
max_drawdown,-0.7365379427035137
calmar_ratio,-0.22837882146483757
win_rate,0.4130695443645084
trading_days,1668.0
avg_long_exposure,1942.4660243516616
avg_short_exposure,0.0
avg_net_exposure,1942.4660243516616
avg_gross_exposure,1942.4660243516616
avg_long_positions,1.2218225419664268
avg_short_positions,0.0
avg_portfolio_beta,0.36285364244022467
