,value
initial_capital,10000.0
leverage,1.0
final_value,27766.05711822832
total_return,1.776605711822832
annualized_return,0.25040865475688867
annualized_volatility,0.3941517881450655
sharpe_ratio,0.6353102086263455
sortino_ratio,0.9281840677310133
max_drawdown,-0.4041190988883921
calmar_ratio,0.6196407332533558
win_rate,0.43285371702637887
trading_days,1668.0
avg_long_exposure,5647.836975139979
avg_short_exposure,-5647.836975139979
avg_net_exposure,0.0
avg_gross_exposure,11295.673950279957
avg_long_positions,1.2218225419664268
avg_short_positions,2.0707434052757794
avg_portfolio_beta,-0.33092128303534457
