,value
initial_capital,10000.0
leverage,1.0
final_value,34306.515405009966
total_return,2.4306515405009965
annualized_return,0.2501982575784969
annualized_volatility,0.37373395442233065
sharpe_ratio,0.6694555167330751
sortino_ratio,1.016377596876318
max_drawdown,-0.41136235830928586
calmar_ratio,0.608218648412122
win_rate,0.36873449131513647
trading_days,2015.0
avg_long_exposure,7040.698405779327
avg_short_exposure,-7040.698405779327
avg_net_exposure,0.0
avg_gross_exposure,14081.396811558654
avg_long_positions,1.0372208436724566
avg_short_positions,1.7692307692307692
avg_portfolio_beta,-0.2299168410707875
