date,symbol,signal,beta,beta_rank,percentile,weight,volatility,market_cap,volume_30d_avg
2020-08-17,ZRX/USD,LONG,0.6006536387069099,1.0,16.666666666666664,0.5,1.2670307657504682,113427012.9311141,9911027.218566334
2020-08-17,XRP/USD,SHORT,0.7806238415033814,6.0,100.0,-0.25,0.6605911188064907,8474172239.531365,101255708.75184946
2020-08-17,XTZ/USD,SHORT,0.6688194741912639,5.0,83.33333333333334,-0.25,1.0730012657042387,877159746.8913403,5008433.356000001
2021-01-14,XTZ/USD,LONG,0.5938188663650698,1.0,14.285714285714285,0.5,1.2019712667717772,1611874059.9112284,5212017.691666666
2021-01-14,LINK/USD,SHORT,0.9260209172849787,6.0,85.71428571428571,-0.25,1.5263690615064542,5453374284.889682,5216472.570333334
2021-01-14,XLM/USD,SHORT,1.0750403578481615,7.0,100.0,-0.25,2.7227224028107075,2989656210.8862576,436782619.8333333
2021-02-13,OXT/USD,LONG,0.5380989442320758,1.0,14.285714285714285,0.5,1.602794621409492,84970405.6500807,47442264.7
2021-02-13,ALGO/USD,SHORT,0.8040444684009739,6.0,85.71428571428571,-0.25,1.9022151825891922,506613483.19005257,57810697.96666667
2021-02-13,XLM/USD,SHORT,0.9770873685805724,7.0,100.0,-0.25,1.3980481417830795,2989656210.8862576,324642724.7
2021-03-15,ZRX/USD,LONG,0.5652787203651256,1.0,14.285714285714285,0.5,1.078622327482357,294490417.9531757,17913491.455778334
2021-03-15,BNT/USD,SHORT,0.8576445832526124,6.0,85.71428571428571,-0.25,1.9205547010678692,133939953.40059274,5617267.016861666
2021-03-15,XLM/USD,SHORT,0.8588917853501844,7.0,100.0,-0.25,1.0550338266277013,2989656210.8862576,203012930.16666666
2021-04-14,ZRX/USD,LONG,0.6798037133617394,1.0,20.0,0.5,1.2737687850808534,294490417.9531757,11402092.957863333
2021-04-14,ALGO/USD,SHORT,0.8961075713184606,4.0,80.0,-0.25,0.9890488453149975,506613483.19005257,30829420.366666667
2021-04-14,GRT/USD,SHORT,0.9447294409813786,5.0,100.0,-0.25,1.2997082660993777,369564933.9037584,22058366.738
2021-05-14,ALGO/USD,LONG,1.017812530180227,1.0,16.666666666666664,0.5,1.4976732550336207,506613483.19005257,36628518.733333334
2021-05-14,EOS/USD,SHORT,1.5966605095525142,6.0,100.0,-0.25,2.7766842952565103,2625024378.6311483,9821283.243333334
2021-05-14,OXT/USD,SHORT,1.196863257935617,5.0,83.33333333333334,-0.25,1.1572290534810357,84970405.6500807,19477987.6
2021-06-13,ADA/USD,LONG,1.2211114813075534,2.0,16.666666666666664,0.25,1.9402684344008376,6377915101.911628,187910845.245
2021-06-13,ANKR/USD,LONG,1.2176151556388737,1.0,8.333333333333332,0.25,1.8103965879434014,57309638.364605,252734799.76666668
2021-06-13,CRV/USD,SHORT,1.6378029092425714,10.0,83.33333333333334,-0.16666666666666666,2.913938882772527,104403922.04616404,7721821.316666666
2021-06-13,EOS/USD,SHORT,1.8773163679693543,12.0,100.0,-0.16666666666666666,2.496083866921396,2625024378.6311483,8214828.84
2021-06-13,STORJ/USD,SHORT,1.6396779850535295,11.0,91.66666666666666,-0.16666666666666666,2.3159329300929623,67439688.15345588,8572990.548333334
2021-07-13,OXT/USD,LONG,1.1495104803292868,2.0,20.0,0.25,1.2276102638833244,84970405.6500807,14246308.333333334
2021-07-13,USDT/USD,LONG,-0.0006145430652219545,1.0,10.0,0.25,0.003599299438957951,21340101768.041767,21662439.169000003
2021-07-13,GRT/USD,SHORT,1.6217378011034587,10.0,100.0,-0.16666666666666666,1.5921487722902021,369564933.9037584,26994839.022000004
2021-07-13,MANA/USD,SHORT,1.5246545583692936,8.0,80.0,-0.16666666666666666,1.698696489939559,120814039.59466664,10199567.755333334
2021-07-13,STORJ/USD,SHORT,1.5490231837676138,9.0,90.0,-0.16666666666666666,1.6532588360922629,67439688.15345588,5539236.976999999
2021-08-12,OXT/USD,LONG,1.1057740464197994,2.0,20.0,0.25,1.1988553595446163,84970405.6500807,11503037.633333333
2021-08-12,USDT/USD,LONG,-0.0022255271851352038,1.0,10.0,0.25,0.0045618468719071876,21340101768.041767,20365525.061333332
2021-08-12,GRT/USD,SHORT,1.570635748829984,10.0,100.0,-0.16666666666666666,0.9758628339437516,369564933.9037584,27530457.914333332
2021-08-12,MANA/USD,SHORT,1.5079750786821713,9.0,90.0,-0.16666666666666666,1.0953923265436698,120814039.59466664,10765253.378666667
2021-08-12,ZRX/USD,SHORT,1.4233403345626168,8.0,80.0,-0.16666666666666666,0.889305455585875,294490417.9531757,5201798.486387333
2021-09-11,OXT/USD,LONG,0.9838989243871011,2.0,15.384615384615385,0.25,1.2867420242084413,84970405.6500807,18269673.766666666
2021-09-11,USDT/USD,LONG,0.00033243711218454447,1.0,7.6923076923076925,0.25,0.00468718519210814,21340101768.041767,32592690.119000003
2021-09-11,DOGE/USD,SHORT,1.56309564907792,13.0,100.0,-0.16666666666666666,1.2022181357345532,1248577459.1098516,432236718.3233334
2021-09-11,GRT/USD,SHORT,1.3343087081193472,12.0,92.3076923076923,-0.16666666666666666,1.4177478186752022,369564933.9037584,37966964.108666666
2021-09-11,MANA/USD,SHORT,1.321490118631844,11.0,84.61538461538461,-0.16666666666666666,1.242809023361424,120814039.59466664,9605478.264999999
2021-10-11,ADA/USD,LONG,0.8955459313632594,2.0,15.384615384615385,0.25,0.8107249477975074,6377915101.911628,96556721.15133333
2021-10-11,USDT/USD,LONG,0.0013181427730367037,1.0,7.6923076923076925,0.25,0.0042999791970030924,21340101768.041767,39777839.88566666
2021-10-11,CRV/USD,SHORT,1.4269642080011242,13.0,100.0,-0.16666666666666666,1.6579890841708433,104403922.04616404,6587374.737
2021-10-11,XTZ/USD,SHORT,1.2389328800729296,11.0,84.61538461538461,-0.16666666666666666,1.7450679391916146,1611874059.9112284,11791563.987333333
