date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,long_positions,short_positions,daily_return,log_return
2024-08-30,50000.0,2,3,0.75,0.75,5.551115123125783e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",,
2024-08-31,49790.11884373467,2,3,0.75,0.75,-5.551115123125783e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.004197623125306582,-0.004206457877231301
2024-09-01,49760.916950596766,2,3,0.75,0.75,2.7755575615628914e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.0005864997677461625,-0.0005866718260129904
2024-09-02,49900.96457808161,2,3,0.75,0.75,5.551115123125783e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",0.002814410104698961,0.002810457067821272
2024-09-03,49717.59637911328,2,3,0.75,0.75,5.551115123125783e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.0036746423745258605,-0.0036814104580944716
2024-09-04,50172.42627187058,2,3,0.75,0.7499999999999999,2.7755575615628914e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",0.00914826793493928,0.009106676002154665
2024-09-05,49906.47218677236,2,3,0.75,0.7499999999999999,5.551115123125783e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.005300801752283091,-0.0053149008483050425
2024-09-06,50448.2084421776,2,3,0.7500000000000001,0.75,5.551115123125783e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",0.010855030052571601,0.010796537128113778
2024-09-07,50300.74325050363,2,3,0.75,0.7499999999999999,8.326672684688674e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.002923100665566669,-0.0029273812681071
2024-09-08,50371.15702017029,2,3,0.75,0.75,-5.551115123125783e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",0.0013998554517573591,0.0013988765675389035
2024-09-09,49653.87068550979,2,3,0.75,0.7500000000000001,-2.7755575615628914e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.014240021017847049,-0.014342383037341417
2024-09-10,49558.066736023764,2,3,0.75,0.75,1.1102230246251565e-16,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.0019294356746690777,-0.0019312994334013344
2024-09-11,49422.685465238064,2,3,0.7499999999999999,0.75,-1.1102230246251565e-16,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.0027317706218610294,-0.0027355087165230755
2024-09-12,50495.094836269534,2,3,0.75,0.75,5.551115123125783e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",0.021698727232978055,0.02146666087988347
2024-09-13,49813.2813726897,2,3,0.75,0.75,-8.326672684688674e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.01350256823540219,-0.013594556903902133
2024-09-14,50863.34292478262,2,3,0.75,0.75,-5.551115123125783e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",0.021079951433768063,0.020860843103736662
2024-09-15,50268.812000748345,2,3,0.75,0.75,0.0,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.011688789801202693,-0.011757640753474869
2024-09-16,51521.19870914341,2,3,0.75,0.7499999999999999,8.326672684688674e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",0.02491379164433849,0.02460850334044721
2024-09-17,50547.04741815177,2,3,0.75,0.75,-8.326672684688674e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.01890777612708694,-0.019088813771311556
2024-09-18,50095.322773207015,2,3,0.75,0.75,1.1102230246251565e-16,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.008936716742480533,-0.00897688871164956
2024-09-19,50283.013650661815,2,3,0.75,0.7500000000000001,-1.1102230246251565e-16,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",0.0037466746806786855,0.003739673377385266
2024-09-20,50013.697740702475,2,3,0.75,0.75,5.551115123125783e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.0053560017669266324,-0.005370396566444938
2024-09-21,50059.014393773126,2,3,0.75,0.75,-2.7755575615628914e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",0.0009060848351105655,0.0009056745880400871
2024-09-22,49609.41478711502,2,3,0.75,0.75,-1.1102230246251565e-16,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.008981391505663239,-0.00902196733668133
2024-09-23,49133.09720310397,2,3,0.75,0.75,-5.551115123125783e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.009601354623009262,-0.00964774480618308
2024-09-24,49823.72055376324,2,3,0.75,0.75,-2.7755575615628914e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",0.014056173739758426,0.013958301800011957
2024-09-25,49731.46629279344,2,3,0.75,0.75,5.551115123125783e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.0018516132465509205,-0.001853329601369105
2024-09-26,49136.72809752151,2,3,0.7499999999999999,0.7499999999999999,0.0,1.4999999999999998,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.011958991753237558,-0.012031075772998761
2024-09-27,48410.57324055114,2,3,0.75,0.75,-2.7755575615628914e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",-0.014778250101007417,-0.014888536346276083
2024-09-28,48974.71023197141,2,3,0.7500000000000001,0.75,5.551115123125783e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",0.011653177263923009,0.011585801913193177
2024-09-29,50514.688764490515,2,3,0.75,0.7499999999999999,2.7755575615628914e-17,1.5,"SOL/USDC:USDC, XRP/USDC:USDC","BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC",0.03144436230913694,0.030960113450228824
