date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,expected_funding_daily,daily_return,log_return
2020-02-20,9827.722298700091,1,0,0.5,0.0,0.5,0.5,0.017886,,
2020-02-21,10090.570544403141,0,1,0.0,0.5,-0.5,0.5,0.1036155,0.026745591472178365,0.02639418017321993
2020-02-22,9771.682119814986,0,1,0.0,0.5,-0.5,0.5,0.04314900000000001,-0.03160261584663615,-0.03211275512658671
2020-02-23,10287.492810851068,0,1,0.0,0.5,-0.5,0.5,0.035418000000000005,0.05278627412471004,0.051440244008400644
2020-02-24,10978.582029286772,0,1,0.0,0.5,-0.5,0.5,0.06593700000000001,0.06717761374343367,0.06501741933199237
2020-02-25,11063.649391515406,0,1,0.0,0.5,-0.5,0.5,0.086784,0.007748483547484142,0.007718618223615583
2020-02-26,10996.659603577482,0,1,0.0,0.5,-0.5,0.5,0.015,-0.006054944943329255,-0.00607335045631767
2020-02-27,10998.2357901486,0,1,0.0,0.5,-0.5,0.5,0.015,0.0001433332146250077,0.00014332294340126028
2020-02-28,11096.088567533468,0,1,0.0,0.5,-0.5,0.5,0.015,0.008897133981480732,0.008857787692192516
2020-02-29,11351.54142313491,0,1,0.0,0.5,-0.5,0.5,0.015,0.023021883256130637,0.022760877997914448
2020-03-01,10986.627319573547,0,1,0.0,0.5,-0.5,0.5,0.015,-0.032146656560460896,-0.03267470789477806
2020-03-02,11066.860434796341,0,1,0.0,0.5,-0.5,0.5,0.015,0.0073027975637121045,0.007276261252140488
2020-03-03,10414.472268596028,0,1,0.0,0.5,-0.5,0.5,0.015,-0.058949705749345105,-0.06075869316227526
2020-03-04,10443.70899824013,0,1,0.0,0.5,-0.5,0.5,0.015,0.002807317441543722,0.002803384285294184
2020-03-05,10302.686376159012,0,1,0.0,0.5,-0.5,0.5,0.015960000000000002,-0.013503116766742762,-0.013595112943355874
2020-03-06,10607.088055424143,0,1,0.0,0.5,-0.5,0.5,0.0211905,0.02954585514410435,0.029117787673092782
2020-03-07,11402.804950490536,0,1,0.0,0.5,-0.5,0.5,0.09114749999999999,0.07501746859351166,0.07233691130202811
2020-03-08,11504.968502964795,0,1,0.0,0.5,-0.5,0.5,0.1146885,0.008959510657056802,0.00891961237707454
2020-03-09,11420.856779579562,0,1,0.0,0.5,-0.5,0.5,0.04483200000000001,-0.007310904272667673,-0.007337759906010476
2020-03-10,11617.353212889639,0,1,0.0,0.5,-0.5,0.5,0.015,0.017205051871538313,0.017058721002116767
2020-03-11,15769.797446835873,0,1,0.0,0.5,-0.5,0.5,0.015,0.3574346202488732,0.30559660978684977
2020-03-12,18090.61091413667,1,0,0.5,0.0,0.5,0.5,0.41678099999999996,0.14716824836367537,0.1372965129729331
2020-03-13,19197.86763765541,0,1,0.0,0.5,-0.5,0.5,0.015,0.061206154329121576,0.05940614267013574
2020-03-14,19471.717269085442,0,1,0.0,0.5,-0.5,0.5,0.023248500000000002,0.01426458586957291,0.01416380394217618
2020-03-15,20940.493452303617,0,1,0.0,0.5,-0.5,0.5,0.09310650000000001,0.07543126078304851,0.07272175395276533
2020-03-16,20689.810910494693,0,1,0.0,0.5,-0.5,0.5,0.015,-0.01197118598852065,-0.0120434176802997
2020-03-17,20391.119047216103,0,1,0.0,0.5,-0.5,0.5,0.027520499999999996,-0.014436664722106363,-0.014541887302815353
2020-03-18,18888.971266259363,0,1,0.0,0.5,-0.5,0.5,0.12543300000000002,-0.07366676529515048,-0.07652124437966357
2020-03-19,19171.052720708838,1,0,0.5,0.0,0.5,0.5,0.14896800000000002,0.01493365893109,0.014823249698625071
2020-03-20,19027.959763724954,1,0,0.5,0.0,0.5,0.5,0.15775649999999997,-0.007464011448328756,-0.007492006572725599
2020-03-21,20181.288712827136,0,1,0.0,0.5,-0.5,0.5,0.015,0.06061232856403742,0.05884640979442028
2020-03-22,18916.783705888032,0,1,0.0,0.5,-0.5,0.5,0.0220245,-0.06265729730804503,-0.06470631901009483
2020-03-23,18445.285160534102,0,1,0.0,0.5,-0.5,0.5,0.025092,-0.024924879021964608,-0.025240763795310248
2020-03-24,18178.027955523612,1,0,0.5,0.0,0.5,0.5,0.07297200000000001,-0.014489188032848599,-0.01459518140220586
2020-03-25,17938.993298974012,0,1,0.0,0.5,-0.5,0.5,0.015,-0.013149647317874602,-0.013236869400389645
2020-03-26,18899.543392485495,0,1,0.0,0.5,-0.5,0.5,0.015,0.053545373338559576,0.05216102247424934
2020-03-27,19045.06078060755,0,1,0.0,0.5,-0.5,0.5,0.015,0.007699518718526921,0.007670028700182775
2020-03-28,19655.304552814905,0,1,0.0,0.5,-0.5,0.5,0.031339500000000006,0.032042101584087934,0.031539462335844724
2020-03-29,18793.444818106116,0,1,0.0,0.5,-0.5,0.5,0.015,-0.043848709257743756,-0.04483912453707155
2020-03-30,18774.186543636213,0,1,0.0,0.5,-0.5,0.5,0.015,-0.0010247336055894118,-0.0010252590040302505
2020-03-31,18765.45233216391,0,1,0.0,0.5,-0.5,0.5,0.015,-0.00046522449598562776,-0.00046533274647661565
2020-04-01,18435.149577252614,0,1,0.0,0.5,-0.5,0.5,0.015,-0.017601640987100486,-0.01775839197654632
2020-04-02,18470.423753640465,1,0,0.5,0.0,0.5,0.5,0.199581,0.001913419592286747,0.0019115913367937748
2020-04-03,18349.383571788974,0,1,0.0,0.5,-0.5,0.5,0.015,-0.006553189221099154,-0.006574755636416799
2020-04-04,18532.40521560207,0,1,0.0,0.5,-0.5,0.5,0.015,0.009974266606671112,0.00992485192132653
2020-04-05,17299.62541416356,0,1,0.0,0.5,-0.5,0.5,0.015,-0.066520226980611,-0.06883598413078526
2020-04-06,17100.872205737876,0,1,0.0,0.5,-0.5,0.5,0.066684,-0.011488873525721699,-0.011555380517485244
2020-04-07,16320.062661193524,0,1,0.0,0.5,-0.5,0.5,0.015,-0.04565904798015896,-0.04673427932883769
2020-04-08,16474.15249427978,0,1,0.0,0.5,-0.5,0.5,0.050412,0.009441742736236991,0.009397448077528075
2020-04-09,15683.143966640648,1,0,0.5,0.0,0.5,0.5,-0.015,-0.04801512720692547,-0.04920613424025894
2020-04-10,15411.694039605472,0,1,0.0,0.5,-0.5,0.5,0.046669499999999996,-0.017308387120119062,-0.017459928421846183
2020-04-11,15331.319598380165,0,1,0.0,0.5,-0.5,0.5,0.021729000000000002,-0.005215159411986692,-0.005228805821979102
2020-04-12,15554.242559192842,0,1,0.0,0.5,-0.5,0.5,0.015,0.014540363559848446,0.014435666145638997
2020-04-13,15533.465201657744,0,1,0.0,0.5,-0.5,0.5,0.0499335,-0.0013358000208643084,-0.001336692997025814
2020-04-14,15717.31880466153,0,1,0.0,0.5,-0.5,0.5,0.015,0.011835968382905682,0.011766471149668329
2020-04-15,14974.216299860786,0,1,0.0,0.5,-0.5,0.5,0.09626250000000001,-0.047279215624254634,-0.04843340422129827
