date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,avg_divergence_long,avg_divergence_short,daily_return,cumulative_max,drawdown
2023-01-31,10000.0,0,0,0.0,0.0,0.0,0.0,,,,10000.0,0.0
2023-02-01,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-02,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-03,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-04,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-05,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-06,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-07,9287.928750896453,1,1,0.5,0.5,0.0,1.0,3.0320283687160217,-0.4966742568821062,-0.07120712491035464,10000.0,-0.07120712491035465
2023-02-08,8842.161220844357,1,1,0.5,0.5,0.0,1.0,2.527468710604051,-0.5205031884371698,-0.04799428828618779,10000.0,-0.11578387791556434
2023-02-09,9285.601547255637,1,1,0.5,0.5,0.0,1.0,1.8461355867159543,-0.386482207030296,0.050150671915585754,10000.0,-0.07143984527443627
2023-02-10,9135.507484031385,1,1,0.5,0.5,0.0,1.0,2.4636310133042416,-0.4260252743755475,-0.016164172289797718,10000.0,-0.08644925159686154
2023-02-11,8932.566157058822,1,1,0.5,0.5,0.0,1.0,2.2937080063270794,-0.4300200940877898,-0.02221456523650145,10000.0,-0.10674338429411782
2023-02-12,8883.821522686234,1,1,0.5,0.5,0.0,1.0,1.9499279368176865,-0.3756346329738669,-0.0054569575545845295,10000.0,-0.1116178477313766
2023-02-13,9340.73191038943,1,1,0.5,0.5,0.0,1.0,1.5485451986646843,-0.2629802176515256,0.051431738755264744,10000.0,-0.06592680896105703
2023-02-14,9522.628024521991,1,1,0.5,0.5,0.0,1.0,1.9439529745693447,-0.29229900975023515,0.01947343269002766,10000.0,-0.04773719754780086
