date,symbol,old_weight,new_weight,weight_change,divergence_score,pvc,vmi,price_momentum,position_type
2023-02-07,GRT/USD,0.0,0.5,0.5,3.0320283687160217,0.4350340980061103,0.5302439203844759,1.9814020028612305,long
2023-02-07,OXT/USD,0.0,-0.5,-0.5,-0.4966742568821062,0.6384631260718173,-0.11039913481286172,0.4472934472934473,short
2023-02-21,ALGO/USD,0.0,0.5,0.5,0.15009340583124878,0.15468133221942834,0.12136653961461814,0.13384865744507735,long
2023-02-21,GRT/USD,0.5,-0.5,-1.0,-1.1803548585979675,0.5506800904843342,-0.15940181377078463,1.0180722891566265,short
2023-02-21,OXT/USD,-0.5,0.0,0.5,,,,,exit
2023-02-28,T/USD,0.0,0.5,0.5,0.2484031806228488,-0.07165223516473337,-0.25624047549349505,-0.19773537429230448,long
2023-02-28,ALGO/USD,0.5,0.0,-0.5,,,,,exit
2023-03-07,ALGO/USD,0.0,0.5,0.5,0.23767067823263624,0.180255760807372,-0.5326482583773773,-0.15507190050524666,long
2023-03-07,ZRX/USD,0.0,-0.5,-0.5,-0.06466250062171798,0.4392648265977731,0.004960340260360341,-0.06434333578274892,short
2023-03-07,T/USD,0.5,0.0,-0.5,,,,,exit
2023-03-07,GRT/USD,-0.5,0.0,0.5,,,,,exit
2023-03-14,T/USD,0.0,0.5,0.5,0.14188464490059413,0.4501450899934467,0.07703344083632781,0.13173652694610782,long
2023-03-14,ALGO/USD,0.5,-0.5,-1.0,-0.10391091472726681,-0.05115800734177682,0.05749667539313136,-0.09826122118883943,short
2023-03-14,ZRX/USD,-0.5,0.0,0.5,,,,,exit
2023-03-21,CRO/USD,0.0,0.5,0.5,0.10726431633890955,0.24153337234376057,-0.06727994757214902,-0.10050251256281416,long
2023-03-21,BLUR/USD,0.0,-0.5,-0.5,-0.566171028558896,0.11223712222858245,0.03827210274830673,-0.5453012048192771,short
2023-03-21,T/USD,0.5,0.0,-0.5,,,,,exit
2023-03-21,ALGO/USD,-0.5,0.0,0.5,,,,,exit
2023-03-28,BLUR/USD,-0.5,0.5,1.0,0.4562211018277494,0.19551441617647974,-0.1688118341346421,-0.3903289550156922,long
