,value
initial_capital,10000.0
leverage,1.0
final_value,13797.099870778013
total_return,0.3797099870778013
annualized_return,0.4185767156077338
annualized_volatility,0.2926422683396342
sharpe_ratio,1.4303358089130953
sortino_ratio,1.4278250506172991
max_drawdown,-0.15101495549134689
calmar_ratio,2.7717567061211903
win_rate,0.39880952380952384
trading_days,336.0
avg_long_exposure,3847.93399060088
avg_short_exposure,-3847.93399060088
avg_net_exposure,0.0
avg_gross_exposure,7695.86798120176
avg_long_positions,1.4166666666666667
avg_short_positions,0.7083333333333334
avg_portfolio_dw,1.3292890476077612
