,value
initial_capital,10000.0
leverage,1.0
final_value,10114.012434511345
total_return,0.011401243451134541
annualized_return,0.012391352078551687
annualized_volatility,0.26891243153777256
sharpe_ratio,0.046079506282740025
sortino_ratio,0.061147362131240744
max_drawdown,-0.24321237973083643
calmar_ratio,0.0509486897511764
win_rate,0.3244047619047619
trading_days,336.0
avg_long_exposure,3055.5265966804773
avg_short_exposure,0.0
avg_net_exposure,3055.5265966804773
avg_gross_exposure,3055.5265966804773
avg_long_positions,1.4166666666666667
avg_short_positions,0.0
avg_portfolio_dw,0.7426755533210297
