,value
initial_capital,10000.0
leverage,1.0
final_value,6698.325049167716
total_return,-0.33016749508322835
annualized_return,-0.35293867025719483
annualized_volatility,0.29264226833963425
sharpe_ratio,-1.206041329093246
sortino_ratio,-1.5831260917690915
max_drawdown,-0.3441527952901457
calmar_ratio,-1.0255289949327362
win_rate,0.30654761904761907
trading_days,336.0
avg_long_exposure,3143.2492431574306
avg_short_exposure,-3143.2492431574306
avg_net_exposure,0.0
avg_gross_exposure,6286.498486314861
avg_long_positions,0.7083333333333334
avg_short_positions,1.4166666666666667
avg_portfolio_dw,1.3292890476077612
