,value
initial_capital,10000.0
leverage,1.0
final_value,14745.48775612399
total_return,0.474548775612399
annualized_return,0.589199388822681
annualized_volatility,0.21447932028794456
sharpe_ratio,2.7471151439293267
sortino_ratio,2.7234991137439253
max_drawdown,-0.16006127009160306
calmar_ratio,3.681086551952775
win_rate,0.4215686274509804
trading_days,306.0
avg_long_exposure,4229.893879830084
avg_short_exposure,-4229.893879830084
avg_net_exposure,-3.0319057532307445e-14
avg_gross_exposure,8459.787759660168
avg_long_positions,1.4509803921568627
avg_short_positions,0.7254901960784313
avg_portfolio_dw,1.3860929821361951
