,value
initial_capital,10000.0
leverage,1.0
final_value,12407.465919064329
total_return,0.24074659190643288
annualized_return,0.2640633332716409
annualized_volatility,0.31868926042609674
sharpe_ratio,0.8285918794959723
sortino_ratio,1.1514970095100092
max_drawdown,-0.23305943276998559
calmar_ratio,1.1330300178506576
win_rate,0.3869047619047619
trading_days,336.0
avg_long_exposure,3244.1792386556986
avg_short_exposure,-3433.1551846412963
avg_net_exposure,-188.9759459855978
avg_gross_exposure,6677.334423296996
avg_long_positions,0.7916666666666666
avg_short_positions,0.9583333333333334
