date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_dw_long,avg_dw_short,btc_5d_pct,regime,daily_return
2020-03-25,10140.225888823605,0,5070.112944411802,0,5070.112944411802,5070.112944411802,1,0,2.1541079518376054,,,,
2020-03-26,9965.153444889002,0,4982.576722444501,0,4982.576722444501,4982.576722444501,1,0,2.1522703943659827,,,,-0.017265142399595423
2020-03-27,9853.696423420637,0,4926.8482117103185,0,4926.8482117103185,4926.8482117103185,1,0,2.154491737709333,,,,-0.011184676892810885
2020-03-28,9663.214681739704,0,4831.607340869852,0,4831.607340869852,4831.607340869852,1,0,2.1562961969851426,,,,-0.01933099351713219
2020-03-29,9995.670034435914,0,4997.835017217957,0,4997.835017217957,4997.835017217957,1,0,2.1546908859667315,,,,0.034404218849079404
2020-03-30,9966.54692505856,0,4983.27346252928,0,4983.27346252928,4983.27346252928,1,0,2.150985420015963,,,,-0.002913572504596784
2020-03-31,9973.01450995412,0,4986.50725497706,0,4986.50725497706,4986.50725497706,1,0,2.1523349961995963,,,,0.0006489293578000321
2020-04-01,10103.8679687966,0,5051.9339843983,0,5051.9339843983,5051.9339843983,1,0,2.1604390265129267,,,,0.013120752878868602
2020-04-02,10103.8679687966,0,5051.9339843983,0,5051.9339843983,5051.9339843983,1,0,2.1603685645072543,,,,0.0
2020-04-03,10719.071755534125,0,5359.535877767063,0,5359.535877767063,5359.535877767063,1,0,2.159494176105882,,,,0.06088794792622365
2020-04-04,10508.147487162289,0,5254.073743581144,0,5254.073743581144,5254.073743581144,1,0,2.164244073531738,,,,-0.019677475175305048
2020-04-05,10981.333697436088,0,5490.666848718044,0,5490.666848718044,5490.666848718044,1,0,2.1455916069663714,,,,0.04503041195909052
2020-04-06,10910.826573216716,0,5455.413286608358,0,5455.413286608358,5455.413286608358,1,0,2.169452313369757,,,,-0.006420633974162371
2020-04-07,11423.56736852606,0,5711.78368426303,0,5711.78368426303,5711.78368426303,1,0,2.174081976051539,,,,0.04699376274277811
2020-04-08,11327.568744347076,0,5663.784372173538,0,5663.784372173538,5663.784372173538,1,0,2.191143788704402,,,,-0.008403559158190577
2020-04-09,10691.794817900109,0,5345.897408950054,0,5345.897408950054,5345.897408950054,1,0,2.1611794595780376,,,,-0.05612624745837402
2020-04-10,10721.527360666272,0,5360.763680333136,0,5360.763680333136,5360.763680333136,1,0,2.203674736378528,,,,0.002780874799092281
2020-04-11,10721.527360666272,0,5360.763680333136,0,5360.763680333136,5360.763680333136,1,0,2.185550566537079,,,,0.0
2020-04-12,10721.527360666272,0,5360.763680333136,0,5360.763680333136,5360.763680333136,1,0,,,,,0.0
2020-04-13,10721.527360666272,0,5360.763680333136,0,5360.763680333136,5360.763680333136,1,0,,,,,0.0
2020-04-14,10721.527360666272,0,5360.763680333136,0,5360.763680333136,5360.763680333136,1,0,,,,,0.0
