date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_dw_long,avg_dw_short,btc_5d_pct,regime,daily_return
2020-03-25,10219.56940567395,0,5109.784702836975,-5109.784702836975,0.0,10219.56940567395,2,1,2.483268425870074,2.1541079518376054,,,
2020-03-26,10184.95081628704,0,5092.47540814352,-5092.47540814352,0.0,10184.95081628704,2,1,2.4748798863914683,2.1522703943659827,,,-0.003387480236465623
2020-03-27,10319.133765431428,0,5159.566882715714,-5159.566882715714,0.0,10319.133765431428,2,1,2.464412900455471,2.154491737709333,,,0.013174629074282018
2020-03-28,10164.587466369221,0,5082.293733184611,-5082.293733184611,0.0,10164.587466369221,2,1,2.4860359017530484,2.1562961969851426,,,-0.014976673679716113
2020-03-29,10094.695531853939,0,5047.347765926969,-5047.347765926969,0.0,10094.695531853939,2,1,2.4919168246529364,2.1546908859667315,,,-0.0068760227354557335
2020-03-30,10211.729291006033,0,5105.864645503017,-5105.864645503017,0.0,10211.729291006033,2,1,2.4700099642722604,2.150985420015963,,,0.011593589799988813
2020-03-31,10231.436681962196,0,5115.718340981098,-5115.718340981098,0.0,10231.436681962196,2,1,2.489830646157853,2.1523349961995963,,,0.0019298779270930932
2020-04-01,10166.5389186648,0,5083.2694593324,-5083.2694593324,0.0,10166.5389186648,2,1,2.4907616954926413,2.1604390265129267,,,-0.006342976584296167
2020-04-02,10188.220000587624,0,5094.110000293812,-5094.110000293812,0.0,10188.220000587624,2,1,2.4926110804799526,2.1603685645072543,,,0.0021325922318575774
2020-04-03,9628.566321431452,0,4814.283160715726,-4814.283160715726,0.0,9628.566321431452,2,1,2.4968756198883737,2.159494176105882,,,-0.05493144819447293
2020-04-04,9881.879864832268,0,4940.939932416134,-4940.939932416134,0.0,9881.879864832268,2,1,2.4966954115119124,2.164244073531738,,,0.02630854220082446
2020-04-05,10022.291661002302,0,5011.145830501151,-5011.145830501151,0.0,10022.291661002302,2,1,2.5056873455831887,2.1455916069663714,,,0.014209016714495037
2020-04-06,9937.35457830511,0,4968.677289152555,-4968.677289152555,0.0,9937.35457830511,2,1,2.5150240072054757,2.169452313369757,,,-0.008474816496080395
2020-04-07,9734.238609171483,0,4867.119304585742,-4867.119304585742,0.0,9734.238609171483,2,1,2.4488131130944373,2.174081976051539,,,-0.020439641912049944
2020-04-08,9804.35690507647,0,4902.178452538235,-4902.178452538235,0.0,9804.35690507647,2,1,2.504366864446367,2.191143788704402,,,0.007203264551058242
2020-04-09,10007.912093260273,0,5003.956046630136,-5003.956046630136,0.0,10007.912093260273,2,1,2.5006758836171175,2.1611794595780376,,,0.02076170728529947
2020-04-10,10101.886502803482,0,5050.943251401741,-5050.943251401741,0.0,10101.886502803482,2,1,2.5012506578028675,2.203674736378528,,,0.00939001148965879
2020-04-11,10063.751589484993,0,5031.8757947424965,-5031.8757947424965,0.0,10063.751589484993,2,1,2.4740902613372713,2.185550566537079,,,-0.003775028882764153
2020-04-12,10011.05622403993,0,5005.528112019965,-5005.528112019965,0.0,10011.05622403993,2,1,2.5024596995255717,,,,-0.005236155222682615
2020-04-13,9979.126761862568,0,4989.563380931284,-4989.563380931284,0.0,9979.126761862568,2,1,2.546622903521712,,,,-0.0031894199236129905
2020-04-14,9796.987489153746,0,4898.493744576873,-4898.493744576873,0.0,9796.987489153746,2,1,2.5682558936580904,,,,-0.018252025157642793
2020-04-15,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-16,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-17,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-18,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-19,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-20,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-21,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-22,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-23,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-24,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-25,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-26,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-27,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-28,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-29,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-04-30,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-01,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-02,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-03,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-04,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-05,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-06,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-07,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-08,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-09,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-10,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-11,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-12,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-13,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-14,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-15,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-16,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-17,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
2020-05-18,9796.987489153746,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0
