date,portfolio_value,long_exposure,short_exposure,net_exposure,gross_exposure
2021-05-09,10000.0,0.0,0.0,0.0,0.0
2021-05-10,10000.0,0.0,0.0,0.0,0.0
2021-05-11,10000.0,0.0,0.0,0.0,0.0
2021-05-12,10000.0,0.0,0.0,0.0,0.0
2021-05-13,10000.0,0.0,0.0,0.0,0.0
2021-05-14,10000.0,0.0,0.0,0.0,0.0
2021-05-15,10000.0,0.0,0.0,0.0,0.0
2021-05-16,10000.0,0.0,0.0,0.0,0.0
2021-05-17,10000.0,0.0,0.0,0.0,0.0
2021-05-18,10000.0,0.0,0.0,0.0,0.0
2021-05-19,10000.0,0.0,0.0,0.0,0.0
2021-05-20,10000.0,0.0,0.0,0.0,0.0
2021-05-21,10000.0,0.0,0.0,0.0,0.0
2021-05-22,10000.0,0.0,0.0,0.0,0.0
2021-05-23,10000.0,0.0,0.0,0.0,0.0
2021-05-24,10000.0,0.0,0.0,0.0,0.0
2021-05-25,10000.0,0.0,0.0,0.0,0.0
2021-05-26,10000.0,0.0,0.0,0.0,0.0
2021-05-27,10000.0,0.0,0.0,0.0,0.0
2021-05-28,10000.0,0.0,0.0,0.0,0.0
2021-05-29,10000.0,0.0,0.0,0.0,0.0
2021-05-30,10000.0,0.0,0.0,0.0,0.0
2021-05-31,10000.0,0.0,0.0,0.0,0.0
2021-06-01,10000.0,0.0,0.0,0.0,0.0
2021-06-02,10000.0,0.0,0.0,0.0,0.0
2021-06-03,10000.0,0.0,0.0,0.0,0.0
2021-06-04,10000.0,0.0,0.0,0.0,0.0
2021-06-05,10000.0,0.0,0.0,0.0,0.0
2021-06-06,10000.0,0.0,0.0,0.0,0.0
2021-06-07,10000.0,0.0,0.0,0.0,0.0
2021-06-08,10000.0,0.0,0.0,0.0,0.0
2021-06-09,10000.0,0.0,0.0,0.0,0.0
2021-06-10,10000.0,0.0,0.0,0.0,0.0
2021-06-11,10000.0,0.0,0.0,0.0,0.0
2021-06-12,10000.0,0.0,0.0,0.0,0.0
2021-06-13,10000.0,0.0,0.0,0.0,0.0
2021-06-14,10000.0,0.0,0.0,0.0,0.0
2021-06-15,10000.0,0.0,0.0,0.0,0.0
2021-06-16,10000.0,0.0,0.0,0.0,0.0
2021-06-17,10000.0,0.0,0.0,0.0,0.0
2021-06-18,10000.0,0.0,0.0,0.0,0.0
2021-06-19,10000.0,0.0,0.0,0.0,0.0
2021-06-20,10000.0,0.0,0.0,0.0,0.0
2021-06-21,10000.0,0.0,0.0,0.0,0.0
2021-06-22,10000.0,0.0,0.0,0.0,0.0
2021-06-23,10000.0,0.0,0.0,0.0,0.0
2021-06-24,10000.0,0.0,0.0,0.0,0.0
2021-06-25,10000.0,0.0,0.0,0.0,0.0
2021-06-26,10000.0,0.0,0.0,0.0,0.0
2021-06-27,10000.0,0.0,0.0,0.0,0.0
2021-06-28,10000.0,0.0,0.0,0.0,0.0
2021-06-29,10000.0,0.0,0.0,0.0,0.0
2021-06-30,10000.0,0.0,0.0,0.0,0.0
2021-07-01,10000.0,0.0,0.0,0.0,0.0
2021-07-02,10000.0,0.0,0.0,0.0,0.0
2021-07-03,10000.0,0.0,0.0,0.0,0.0
2021-07-04,10000.0,0.0,0.0,0.0,0.0
2021-07-05,10000.0,0.0,0.0,0.0,0.0
2021-07-06,10000.0,0.0,0.0,0.0,0.0
2021-07-07,10000.0,0.0,0.0,0.0,0.0
2021-07-08,10000.0,0.0,0.0,0.0,0.0
2021-07-09,10000.0,0.0,0.0,0.0,0.0
2021-07-10,10000.0,0.0,0.0,0.0,0.0
2021-07-11,10000.0,0.0,0.0,0.0,0.0
2021-07-12,10000.0,0.0,0.0,0.0,0.0
2021-07-13,10000.0,0.0,0.0,0.0,0.0
2021-07-14,10000.0,0.0,0.0,0.0,0.0
2021-07-15,10000.0,0.0,0.0,0.0,0.0
2021-07-16,10000.0,0.0,0.0,0.0,0.0
2021-07-17,10000.0,0.0,0.0,0.0,0.0
2021-07-18,10000.0,0.0,0.0,0.0,0.0
2021-07-19,10000.0,0.0,0.0,0.0,0.0
2021-07-20,10000.0,0.0,0.0,0.0,0.0
2021-07-21,10000.0,0.0,0.0,0.0,0.0
2021-07-22,10000.0,0.0,0.0,0.0,0.0
2021-07-23,10000.0,0.0,0.0,0.0,0.0
2021-07-24,10000.0,0.0,0.0,0.0,0.0
2021-07-25,10000.0,0.0,0.0,0.0,0.0
2021-07-26,10000.0,0.0,0.0,0.0,0.0
2021-07-27,10000.0,0.0,0.0,0.0,0.0
2021-07-28,10000.0,0.0,0.0,0.0,0.0
2021-07-29,10000.0,0.0,0.0,0.0,0.0
2021-07-30,10000.0,0.0,0.0,0.0,0.0
2021-07-31,10000.0,0.0,0.0,0.0,0.0
2021-08-01,10000.0,0.0,0.0,0.0,0.0
2021-08-02,10000.0,0.0,0.0,0.0,0.0
2021-08-03,10000.0,0.0,0.0,0.0,0.0
2021-08-04,10000.0,0.0,0.0,0.0,0.0
2021-08-05,10000.0,0.0,0.0,0.0,0.0
2021-08-06,10000.0,0.0,0.0,0.0,0.0
2021-08-07,10000.0,0.0,0.0,0.0,0.0
2021-08-08,10000.0,0.0,0.0,0.0,0.0
2021-08-09,10000.0,0.0,0.0,0.0,0.0
2021-08-10,10000.0,0.0,0.0,0.0,0.0
2021-08-11,10000.0,0.0,0.0,0.0,0.0
2021-08-12,10000.0,0.0,0.0,0.0,0.0
2021-08-13,10000.0,0.0,0.0,0.0,0.0
2021-08-14,10000.0,0.0,0.0,0.0,0.0
2021-08-15,10000.0,0.0,0.0,0.0,0.0
2021-08-16,10000.0,0.0,0.0,0.0,0.0
2021-08-17,10000.0,0.0,0.0,0.0,0.0
2021-08-18,10000.0,0.0,0.0,0.0,0.0
2021-08-19,10000.0,0.0,0.0,0.0,0.0
2021-08-20,10000.0,0.0,0.0,0.0,0.0
2021-08-21,10000.0,0.0,0.0,0.0,0.0
2021-08-22,10000.0,0.0,0.0,0.0,0.0
2021-08-23,10000.0,0.0,0.0,0.0,0.0
2021-08-24,10000.0,0.0,0.0,0.0,0.0
2021-08-25,10000.0,0.0,0.0,0.0,0.0
2021-08-26,10000.0,0.0,0.0,0.0,0.0
2021-08-27,10000.0,0.0,0.0,0.0,0.0
2021-08-28,10000.0,0.0,0.0,0.0,0.0
2021-08-29,10000.0,0.0,0.0,0.0,0.0
2021-08-30,10000.0,0.0,0.0,0.0,0.0
2021-08-31,10000.0,0.0,0.0,0.0,0.0
2021-09-01,10000.0,0.0,0.0,0.0,0.0
2021-09-02,10000.0,0.0,0.0,0.0,0.0
2021-09-03,10000.0,0.0,0.0,0.0,0.0
2021-09-04,10000.0,0.0,0.0,0.0,0.0
2021-09-05,10000.0,0.0,0.0,0.0,0.0
2021-09-06,10000.0,0.0,0.0,0.0,0.0
2021-09-07,10000.0,0.0,0.0,0.0,0.0
2021-09-08,10000.0,0.0,0.0,0.0,0.0
2021-09-09,10000.0,0.0,0.0,0.0,0.0
2021-09-10,10000.0,0.0,0.0,0.0,0.0
2021-09-11,10000.0,0.0,0.0,0.0,0.0
2021-09-12,10000.0,0.0,0.0,0.0,0.0
2021-09-13,10000.0,0.0,0.0,0.0,0.0
2021-09-14,10000.0,0.0,0.0,0.0,0.0
2021-09-15,10000.0,0.0,0.0,0.0,0.0
2021-09-16,10000.0,0.0,0.0,0.0,0.0
2021-09-17,10000.0,0.0,0.0,0.0,0.0
2021-09-18,10000.0,0.0,0.0,0.0,0.0
2021-09-19,10000.0,0.0,0.0,0.0,0.0
2021-09-20,10000.0,0.0,0.0,0.0,0.0
2021-09-21,10000.0,0.0,0.0,0.0,0.0
2021-09-22,10000.0,0.0,0.0,0.0,0.0
2021-09-23,10000.0,0.0,0.0,0.0,0.0
2021-09-24,10000.0,0.0,0.0,0.0,0.0
2021-09-25,10000.0,0.0,0.0,0.0,0.0
2021-09-26,10000.0,0.0,0.0,0.0,0.0
2021-09-27,10000.0,0.0,0.0,0.0,0.0
2021-09-28,10000.0,0.0,0.0,0.0,0.0
2021-09-29,10000.0,0.0,0.0,0.0,0.0
2021-09-30,10000.0,0.0,0.0,0.0,0.0
2021-10-01,10000.0,0.0,0.0,0.0,0.0
2021-10-02,10000.0,0.0,0.0,0.0,0.0
2021-10-03,10000.0,0.0,0.0,0.0,0.0
2021-10-04,10000.0,0.0,0.0,0.0,0.0
2021-10-05,10000.0,0.0,0.0,0.0,0.0
2021-10-06,10000.0,0.0,0.0,0.0,0.0
2021-10-07,10000.0,0.0,0.0,0.0,0.0
2021-10-08,10000.0,0.0,0.0,0.0,0.0
2021-10-09,10000.0,0.0,0.0,0.0,0.0
2021-10-10,10000.0,0.0,0.0,0.0,0.0
2021-10-11,10000.0,0.0,0.0,0.0,0.0
2021-10-12,10000.0,0.0,0.0,0.0,0.0
2021-10-13,10000.0,0.0,0.0,0.0,0.0
2021-10-14,10000.0,0.0,0.0,0.0,0.0
2021-10-15,10000.0,0.0,0.0,0.0,0.0
2021-10-16,10000.0,0.0,0.0,0.0,0.0
2021-10-17,9876.968185814381,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2021-10-18,9990.437897833815,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2021-10-19,9893.130641593085,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2021-10-20,9851.213963330103,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2021-10-21,9840.097246013578,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2021-10-22,9908.786142127445,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2021-10-23,9974.33161028099,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2021-10-24,10032.960602402922,0.5,0.5,0.0,1.0
