,value
initial_capital,10000.0
leverage,1.0
final_value,7202.297687826058
total_return,-0.2797702312173942
annualized_return,-0.05609421963760086
annualized_volatility,0.36418726892471853
sharpe_ratio,-0.15402575659281528
sortino_ratio,-0.09342354926260159
max_drawdown,-0.7074776813017777
calmar_ratio,-0.0792876172918784
win_rate,0.06843373493975903
trading_days,2075.0
num_trades,74.0
num_long_trades,74.0
num_short_trades,0.0
avg_positions,0.24963855421686748
avg_long_positions,0.24963855421686748
avg_short_positions,0.0
avg_r2,0.7006144372832173
avg_breakout_z_score,1.5366079759433937
avg_signal_strength,1.0797311375678442
