date,symbol,signal,action,weight,price,slope,norm_slope,r_squared,distance_from_trendline,breakout_z_score,signal_strength,volatility,days_held
2020-03-12,XRP/USD,SHORT,OPEN,-0.125,0.1388,-0.004355305895439376,-500.0,0.8377343536715586,-27.291038622199988,-2.2981797048193155,1.9252640896379025,1.7003500993414769,
2020-03-12,XLM/USD,SHORT,OPEN,-0.125,0.033426,-0.0012282751946607344,-500.0,0.861597917150778,-27.94947230467552,-2.222683834689917,1.9150597624535368,1.7305711697442274,
2020-03-12,ZRX/USD,SHORT,OPEN,-0.125,0.156576,-0.003553468965517241,-500.0,0.6588357051562678,-26.926818856828355,-1.9514668910224673,1.2856960652358969,1.6824139649002259,
2020-03-12,XTZ/USD,SHORT,OPEN,-0.125,1.3573,-0.03758645161290322,-500.0,0.5195228421740492,-44.54114083246043,-2.436063599110986,1.265590684726883,2.4966413414759554,
2020-03-17,XRP/USD,SHORT,CLOSE,0.0,0.1477,,,,,,,,5.0
2020-03-17,XLM/USD,SHORT,CLOSE,0.0,0.037462,,,,,,,,5.0
2020-03-17,ZRX/USD,SHORT,CLOSE,0.0,0.143481,,,,,,,,5.0
2020-03-17,XTZ/USD,SHORT,CLOSE,0.0,1.3656,,,,,,,,5.0
2020-05-07,ZRX/USD,LONG,OPEN,0.5,0.298706,0.002246515461624026,274.51010140163555,0.543897991074108,33.995001529385114,3.638576794674657,1.9790146089924128,1.4696768380428833,
2020-05-12,ZRX/USD,LONG,CLOSE,0.0,0.356313,,,,,,,,5.0
2020-07-19,ALGO/USD,LONG,OPEN,0.5,0.3888,0.004146829810901,389.29858049867937,0.5391137112269992,24.428330446165507,1.6392848418925736,0.88376093487087,1.0884884255281893,
2020-07-24,ALGO/USD,LONG,CLOSE,0.0,0.3123,,,,,,,,5.0
2020-07-31,XRP/USD,LONG,OPEN,0.5,0.26,0.0019635372636262506,275.6504235475313,0.732271378296293,11.849786384485734,1.750092203222457,1.2815424297993048,0.5881603147591096,
2020-08-05,XRP/USD,LONG,CLOSE,0.0,0.3028,,,,,,,,5.0
2020-08-12,LINK/USD,LONG,OPEN,0.5,16.49102,0.20010098109010005,442.88866363564244,0.537762711637337,37.062538490906064,1.9923737124253587,1.0714242901888087,1.4793685453144532,
2020-08-17,XLM/USD,LONG,OPEN,0.5,0.11383,0.00045901090100111235,147.18350071633668,0.5296185665422263,4.591318388734548,1.5512841183819595,0.8215888710771746,0.7073985376598706,
2020-08-17,LINK/USD,LONG,CLOSE,0.0,16.85393,,,,,,,,5.0
