,value
initial_capital,10000.0
leverage,1.0
final_value,11220.910326556139
total_return,0.12209103265561388
annualized_return,0.02046971895351768
annualized_volatility,0.22086524264180668
sharpe_ratio,0.09267967521134558
sortino_ratio,0.02633356490968659
max_drawdown,-0.30596782797261957
calmar_ratio,0.0669015402343199
win_rate,0.021204819277108433
trading_days,2075.0
num_trades,23.0
num_long_trades,10.0
num_short_trades,13.0
avg_positions,0.05542168674698795
avg_long_positions,0.024096385542168676
avg_short_positions,0.03132530120481928
avg_r2,0.7852456710303338
avg_breakout_z_score,-0.28342860399366215
avg_signal_strength,1.8947362107997905
