,value
initial_capital,10000.0
leverage,1.0
final_value,14438.139725620438
total_return,0.4438139725620438
annualized_return,0.06674005750875733
annualized_volatility,0.1551752010356267
sharpe_ratio,0.43009486737145886
sortino_ratio,0.17838334580461432
max_drawdown,-0.1593463359312105
calmar_ratio,0.41883647414126224
win_rate,0.024096385542168676
trading_days,2075.0
num_trades,27.0
num_long_trades,15.0
num_short_trades,12.0
avg_positions,0.06506024096385542
avg_long_positions,0.03614457831325301
avg_short_positions,0.02891566265060241
avg_r2,0.6612492886028037
avg_breakout_z_score,0.1390169946272919
avg_signal_strength,1.5044130154102742
