,value
initial_capital,10000.0
leverage,1.0
final_value,15995.957781762225
total_return,0.5995957781762224
annualized_return,0.1043136559542781
annualized_volatility,0.36040460558352305
sharpe_ratio,0.2894348583181566
sortino_ratio,0.370914392720051
max_drawdown,-0.3693218507143522
calmar_ratio,0.2824464779230144
win_rate,0.43344907407407407
trading_days,1728.0
avg_long_exposure,5945.496265340228
avg_short_exposure,-5945.496265340228
avg_net_exposure,0.0
avg_gross_exposure,11890.992530680456
avg_long_positions,2.0792824074074074
avg_short_positions,1.2621527777777777
avg_trendline_score_long,82.69456426018307
avg_trendline_score_short,-147.83206088672512
avg_r2_long,0.41168618928238254
avg_r2_short,0.5042029383965934
