,value
initial_capital,10000.0
leverage,1.0
final_value,8817.476002653324
total_return,-0.1182523997346676
annualized_return,-0.021894136449062462
annualized_volatility,0.22125933820999222
sharpe_ratio,-0.09895237247922722
sortino_ratio,-0.06975573152043327
max_drawdown,-0.4027093829539966
calmar_ratio,-0.054367087969151025
win_rate,0.10602409638554217
trading_days,2075.0
num_trades,814.0
num_long_trades,465.0
num_short_trades,349.0
avg_positions,0.39228915662650604
avg_long_positions,0.22409638554216868
avg_short_positions,0.16819277108433736
avg_r2,0.7420325088472552
avg_reversal_z_score,0.2667522791724885
avg_signal_strength,6.245863951534798
avg_slope_magnitude,431.136669478843
