,value
initial_capital,10000.0
leverage,1.0
final_value,2897.903747089609
total_return,-0.710209625291039
annualized_return,-0.19577304768469528
annualized_volatility,0.27394139961217406
sharpe_ratio,-0.7146530168928693
sortino_ratio,-0.41444090318035737
max_drawdown,-0.8125678316926206
calmar_ratio,-0.2409313291136445
win_rate,0.08578313253012049
trading_days,2075.0
num_trades,162.0
num_long_trades,91.0
num_short_trades,71.0
avg_positions,0.388433734939759
avg_long_positions,0.21734939759036145
avg_short_positions,0.1710843373493976
avg_r2,0.817585850771907
avg_reversal_z_score,0.2322130023606999
avg_signal_strength,8.851727485293187
avg_slope_magnitude,458.76794024622666
