date,symbol,signal,slope,norm_slope,r_squared,trendline_score,trendline_rank,percentile,weight,price,volatility,market_cap,volume_30d_avg,p_value
2021-01-31,GRT/USD,LONG,0.012661156840934369,500.0,0.726750320829203,500.0,6.0,85.71428571428571,0.25,0.7947,2.29430031406778,369564933.9037584,124869019.127,2.240442087129966e-09
2021-01-31,LINK/USD,LONG,0.3879055261401557,500.0,0.7782880890654076,500.0,7.0,100.0,0.25,22.57316,1.8420729392668318,5453374284.889682,6711901.851333333,1.1639210541311861e-10
2021-01-31,OXT/USD,SHORT,0.001599021134593993,189.49438770350892,0.3476749813153905,189.49438770350892,1.0,14.285714285714285,-0.5,0.308,1.2576854270236064,84970405.6500807,30823672.2,0.0006058678425728424
2021-02-07,GRT/USD,LONG,0.020548298109010005,500.0,0.8549358097907584,500.0,6.0,85.71428571428571,0.25,0.9179,2.263567880923292,369564933.9037584,110703552.59099999,2.937213816154352e-13
2021-02-07,ZRX/USD,LONG,0.024441603559510566,500.0,0.516383116704211,500.0,7.0,100.0,0.25,1.41545,2.4213222247699195,294490417.9531757,37665477.29922199,7.732644888243443e-06
2021-02-07,XLM/USD,SHORT,0.002240355283648498,211.89317844600947,0.31284131459705744,211.89317844600947,1.0,14.285714285714285,-0.5,0.385916,1.3710931005171494,2989656210.8862576,333458850.8333333,0.0013122032075206236
2021-02-14,XLM/USD,LONG,0.008056600889877643,500.0,0.7017448677757487,500.0,6.0,85.71428571428571,0.25,0.516452,1.419998747308343,2989656210.8862576,326326694.1333333,7.756450682768855e-09
2021-02-14,ZRX/USD,LONG,0.05101874282536152,500.0,0.7991976583926197,500.0,7.0,100.0,0.25,1.799902,2.1897268426915764,294490417.9531757,39770295.02651067,2.8730997339310658e-11
2021-02-14,XTZ/USD,SHORT,0.059159955506117905,443.9155430325645,0.5544461437909085,443.9155430325645,1.0,14.285714285714285,-0.5,4.8643,1.5105825283536058,1611874059.9112284,7561699.415,2.377786615181708e-06
2021-02-21,XTZ/USD,LONG,0.08525677419354839,500.0,0.7762226664627774,500.0,6.0,85.71428571428571,0.25,4.6808,1.2885944520240842,1611874059.9112284,7137070.561333332,1.326881371013769e-10
