date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,avg_divergence_long,avg_divergence_short,daily_return,cumulative_max,drawdown
2023-01-31,10000.0,0,0,0.0,0.0,0.0,0.0,,,,10000.0,0.0
2023-02-01,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-02,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-03,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-04,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-05,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-06,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-07,10766.663126086985,1,1,0.5,0.5,0.0,1.0,-0.4966742568821062,3.0320283687160217,0.0766663126086986,10766.663126086985,0.0
2023-02-08,11309.452237113901,1,1,0.5,0.5,0.0,1.0,-0.5205031884371698,2.527468710604051,0.05041386589980412,11309.452237113901,0.0
2023-02-09,10769.361520746605,1,1,0.5,0.5,0.0,1.0,-0.386482207030296,1.8461355867159543,-0.04775569188000961,11309.452237113901,-0.047755691880009575
2023-02-10,10946.299390022637,1,1,0.5,0.5,0.0,1.0,-0.4260252743755475,2.4636310133042416,0.016429745527176465,11309.452237113901,-0.03211056021789591
2023-02-11,11194.991253546614,1,1,0.5,0.5,0.0,1.0,-0.4300200940877898,2.2937080063270794,0.022719263804410028,11309.452237113901,-0.010120824701983706
2023-02-12,11256.417043570078,1,1,0.5,0.5,0.0,1.0,-0.3756346329738669,1.9499279368176865,0.005486899331341943,11309.452237113901,-0.004689457316931665
2023-02-13,10705.799177125815,1,1,0.5,0.5,0.0,1.0,-0.2629802176515256,1.5485451986646843,-0.04891590852693117,11309.452237113901,-0.05337597677870688
