date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,daily_return,log_return
2023-01-31,10159.031826742214,7,0,0.5,0,0.5,0.5,,
2023-02-01,10143.367864729553,7,0,0.5,0,0.5,0.5,-0.0015418754739430218,-0.0015430653872209508
2023-02-02,10201.17664485928,7,0,0.5,0,0.5,0.5,0.005699170226364458,0.005682991397224933
2023-02-03,10202.067925768133,7,0,0.5,0,0.5,0.5,8.737040244288785e-05,8.736658587157829e-05
2023-02-04,10080.810963933065,7,0,0.5,0,0.5,0.5,-0.011885527788812356,-0.011956725383886644
2023-02-05,9999.252088842115,7,0,0.5,0,0.5,0.5,-0.00809050733941441,-0.008123413096947085
2023-02-06,10214.724467242931,7,0,0.5,0,0.5,0.5,0.02154884950257996,0.021319955475826304
2023-02-07,10123.440115800944,7,0,0.5,0,0.5,0.5,-0.008936545643959626,-0.008976716070296552
2023-02-08,9825.804563629266,7,0,0.5,0,0.5,0.5,-0.0294006334573087,-0.029841494656308084
2023-02-09,9809.191235947785,7,0,0.5,0,0.5,0.5,-0.001690785479590784,-0.0016922164705864542
2023-02-10,9879.439908642236,7,0,0.5,0,0.5,0.5,0.007161515256936868,0.007135993384293221
2023-02-11,9814.558483714949,7,0,0.5,0,0.5,0.5,-0.00656731814022482,-0.006588977856917088
2023-02-12,9759.981491916667,7,0,0.5,0,0.5,0.5,-0.005560819866613498,-0.005576338784084094
2023-02-13,9913.027891544432,7,0,0.5,0,0.5,0.5,0.015681013304637892,0.015559336576663418
2023-02-14,10241.835869153163,7,0,0.5,0,0.5,0.5,0.033169277964928856,0.032631046959024204
2023-02-15,10036.547503633252,7,0,0.5,0,0.5,0.5,-0.020044098357229867,-0.020247706653678334
2023-02-16,10330.131342695926,7,0,0.5,0,0.5,0.5,0.02925147705985509,0.028831816750505376
2023-02-17,10410.461033538992,7,0,0.5,0,0.5,0.5,0.0077762506766057005,0.007746171474292017
2023-02-18,10366.497521498099,7,0,0.5,0,0.5,0.5,-0.004223012976971696,-0.004231955080231837
2023-02-19,10485.066326330953,7,0,0.5,0,0.5,0.5,0.011437691909631509,0.011372776034435273
2023-02-20,10376.696858319454,7,0,0.5,0,0.5,0.5,-0.010335601572624475,-0.010389384811603607
2023-02-21,10314.349659463749,7,0,0.5,0,0.5,0.5,-0.006008385877218525,-0.00602650885734615
2023-02-22,10297.984492689133,7,0,0.5,0,0.5,0.5,-0.0015866406816643641,-0.0015879007289953337
2023-02-23,10109.95927020332,7,0,0.5,0,0.5,0.5,-0.01825844878862437,-0.018427191406349665
2023-02-24,10091.667725308278,7,0,0.5,0,0.5,0.5,-0.0018092599985988222,-0.0018108986863097985
2023-02-25,10193.36566860703,7,0,0.5,0,0.5,0.5,0.010077416941077999,0.010026978352384355
2023-02-26,10136.518440736878,7,0,0.5,0,0.5,0.5,-0.005576884977768093,-0.00559249386047533
2023-02-27,10060.770417987707,7,0,0.5,0,0.5,0.5,-0.007472784979579594,-0.0075008461212448686
2023-02-28,10206.062874629442,8,0,0.5,0,0.5,0.5,0.014441484161288987,0.014338199134045182
2023-03-01,10162.764275694228,8,0,0.5,0,0.5,0.5,-0.004242438976429175,-0.00425146365413747
2023-03-02,9942.592766341253,8,0,0.5,0,0.5,0.5,-0.02166452978541944,-0.021902651184731142
2023-03-03,9854.407107622956,8,0,0.5,0,0.5,0.5,-0.008869483120824695,-0.008909051125156265
2023-03-04,9857.360345385627,8,0,0.5,0,0.5,0.5,0.00029968700606919363,0.0002996421088882341
2023-03-05,9839.829060268323,8,0,0.5,0,0.5,0.5,-0.0017784969305205678,-0.001780080333850319
2023-03-06,9786.643716546825,8,0,0.5,0,0.5,0.5,-0.005405108502977152,-0.005419768953355349
2023-03-07,9609.81662664885,8,0,0.5,0,0.5,0.5,-0.01806820550736965,-0.018233428749983085
2023-03-08,9324.933982829069,8,0,0.5,0,0.5,0.5,-0.029644961489668442,-0.030093255370536295
2023-03-09,9330.38026244587,8,0,0.5,0,0.5,0.5,0.0005840555683107596,0.0005838850742394332
2023-03-10,9347.069152906908,8,0,0.5,0,0.5,0.5,0.0017886613397966045,0.0017870635900407964
2023-03-11,9671.128773036737,8,0,0.5,0,0.5,0.5,0.034669650435724675,0.0340821974461188
2023-03-12,9885.8717074931,8,0,0.5,0,0.5,0.5,0.02220453677083367,0.021961605584057457
2023-03-13,10040.182485187826,8,0,0.5,0,0.5,0.5,0.01560922316822766,0.015488652304026162
2023-03-14,9810.160266955547,8,0,0.5,0,0.5,0.5,-0.022910163094309155,-0.023176679369639304
2023-03-15,9928.29649331616,8,0,0.5,0,0.5,0.5,0.01204223204778243,0.011970301267060756
