date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,daily_return,log_return
2023-01-31,9683.572214536389,7,7,0.5,0.5,0.0,1.0,,
2023-02-01,9712.519865550037,7,7,0.5,0.5,0.0,1.0,0.002989356651896813,0.0029848974099334707
2023-02-02,9492.045551981619,7,7,0.5,0.5,0.0,1.0,-0.022700011595387593,-0.022961623502063714
2023-02-03,9451.288089906737,7,7,0.5,0.5,0.0,1.0,-0.004293854454414547,-0.004303099521592343
2023-02-04,9577.962226357356,7,7,0.5,0.5,0.0,1.0,0.013402843638413486,0.013313820093246264
2023-02-05,9433.402925892213,7,7,0.5,0.5,0.0,1.0,-0.015092907765634545,-0.015207964863409912
2023-02-06,9088.710575722109,7,7,0.5,0.5,0.0,1.0,-0.03653955554299648,-0.037223845984981796
2023-02-07,9132.177085613339,7,7,0.5,0.5,0.0,1.0,0.004782472665301851,0.0047710729742634584
2023-02-08,9377.55750258696,7,7,0.5,0.5,0.0,1.0,0.026869870642367344,0.026515214682974478
2023-02-09,9359.068724147997,7,7,0.5,0.5,0.0,1.0,-0.0019715985142040315,-0.0019735446730045634
2023-02-10,9143.614007722226,7,7,0.5,0.5,0.0,1.0,-0.02302095676142024,-0.023290077283454533
2023-02-11,9240.86697208834,7,7,0.5,0.5,0.0,1.0,0.010636162493733892,0.01057999642736777
2023-02-12,9286.313912659329,7,7,0.5,0.5,0.0,1.0,0.004918038611340103,0.004905984564804634
2023-02-13,9002.741874979309,7,7,0.5,0.5,0.0,1.0,-0.03053655523032106,-0.03101251025043649
2023-02-14,8865.811316410502,7,7,0.5,0.5,0.0,1.0,-0.015209872777688815,-0.015326729322268232
2023-02-15,9031.491754449216,7,7,0.5,0.5,0.0,1.0,0.01868756644211933,0.01851509922097201
2023-02-16,9059.944425057458,7,7,0.5,0.5,0.0,1.0,0.0031503843863029957,0.003145432323287688
2023-02-17,9088.049708479022,7,7,0.5,0.5,0.0,1.0,0.00310214744185755,0.00309734571037183
2023-02-18,9264.233391356685,7,7,0.5,0.5,0.0,1.0,0.019386302730418192,0.019200782233981847
2023-02-19,9322.619427937329,7,7,0.5,0.5,0.0,1.0,0.006302306312264916,0.00628252982798625
2023-02-20,9380.224128083262,7,7,0.5,0.5,0.0,1.0,0.006179025175403918,0.006160013275821195
2023-02-21,9325.218634653267,7,7,0.5,0.5,0.0,1.0,-0.005863984983611958,-0.005881245654175423
2023-02-22,9301.179514958922,7,7,0.5,0.5,0.0,1.0,-0.0025778612423106306,-0.002581189647945354
2023-02-23,9386.528181837359,7,7,0.5,0.5,0.0,1.0,0.009176112206110254,0.009134267475008789
2023-02-24,9478.184098508818,7,7,0.5,0.5,0.0,1.0,0.009764623819998874,0.009717257971020573
2023-02-25,9295.623565099771,7,7,0.5,0.5,0.0,1.0,-0.019261129717639602,-0.01944904212677645
2023-02-26,9262.102140515073,7,7,0.5,0.5,0.0,1.0,-0.0036061512549361296,-0.0036126690926298927
2023-02-27,9338.270560994897,7,7,0.5,0.5,0.0,1.0,0.008223664490444538,0.008190034410811377
2023-02-28,9242.183714059154,8,8,0.5,0.5,0.0,1.0,-0.010289576245208543,-0.010342879898124423
2023-03-01,9418.385150770937,8,8,0.5,0.5,0.0,1.0,0.01906491389515952,0.018885455739729322
2023-03-02,9485.304278463733,8,8,0.5,0.5,0.0,1.0,0.00710515939001688,0.007080036675438301
2023-03-03,9592.9671253584,8,8,0.5,0.5,0.0,1.0,0.011350489529272645,0.011286556052320434
2023-03-04,9463.620548096837,8,8,0.5,0.5,0.0,1.0,-0.013483479675401422,-0.01357520725867418
2023-03-05,9400.214048879929,8,8,0.5,0.5,0.0,1.0,-0.006700025523493691,-0.006722571456481679
2023-03-06,9333.949913584687,8,8,0.5,0.5,0.0,1.0,-0.0070492155764407816,-0.0070741786792654976
2023-03-07,9573.55378083171,8,8,0.5,0.5,0.0,1.0,0.025670147093707962,0.02534620099756972
2023-03-08,9598.5841617341,8,8,0.5,0.5,0.0,1.0,0.002614533899888416,0.002611121951940029
2023-03-09,9672.98308497098,8,8,0.5,0.5,0.0,1.0,0.007751030983661256,0.007721146069599914
2023-03-10,9903.93411001454,8,8,0.5,0.5,0.0,1.0,0.02387588430733345,0.023595312540066925
2023-03-11,9660.922722573125,8,8,0.5,0.5,0.0,1.0,-0.024536854217930393,-0.02484289945625547
2023-03-12,9527.959471121028,8,8,0.5,0.5,0.0,1.0,-0.013762997103933139,-0.013858585214523315
2023-03-13,9279.876792394509,8,8,0.5,0.5,0.0,1.0,-0.026037335641325043,-0.026382308354923792
2023-03-14,9520.293455273051,8,8,0.5,0.5,0.0,1.0,0.025907311945734035,0.025577403433566046
2023-03-15,9441.236087702617,8,8,0.5,0.5,0.0,1.0,-0.008304089358363909,-0.008338760382671688
2023-03-16,9354.072973494915,8,8,0.5,0.5,0.0,1.0,-0.009232171867964767,-0.009275052491575233
2023-03-17,9452.17423189183,8,8,0.5,0.5,0.0,1.0,0.010487544695758633,0.01043293190309896
2023-03-18,9453.292814298746,8,8,0.5,0.5,0.0,1.0,0.00011834128100840502,0.00011833427923140373
2023-03-19,9568.867662132387,8,8,0.5,0.5,0.0,1.0,0.01222588256854018,0.01215175007805132
2023-03-20,9650.86436885518,8,8,0.5,0.5,0.0,1.0,0.008569112837382598,0.008532606393614809
2023-03-21,9639.746084886812,8,8,0.5,0.5,0.0,1.0,-0.0011520505877430365,-0.001152714708137255
2023-03-22,9767.738888951502,8,8,0.5,0.5,0.0,1.0,0.013277611561300029,0.013190236647270311
2023-03-23,9916.669723473937,8,8,0.5,0.5,0.0,1.0,0.015247217008523162,0.015132146392158622
2023-03-24,10077.913030801861,8,8,0.5,0.5,0.0,1.0,0.016259824298296754,0.016129049039352226
2023-03-25,9912.244676553766,8,8,0.5,0.5,0.0,1.0,-0.016438756093821283,-0.016575371707790474
2023-03-26,10031.171857106478,8,8,0.5,0.5,0.0,1.0,0.011998006953361395,0.011926601449659993
2023-03-27,9921.6231437265,8,8,0.5,0.5,0.0,1.0,-0.01092082908562364,-0.01098089908271007
2023-03-28,9883.872693636573,8,8,0.5,0.5,0.0,1.0,-0.003804866355339942,-0.0038121232729137412
2023-03-29,9942.584050699463,8,8,0.5,0.5,0.0,1.0,0.005940116681256935,0.0059225437440227555
2023-03-30,9672.426008166743,8,8,0.5,0.5,0.0,1.0,-0.027171813801635802,-0.027547793890676093
2023-03-31,9654.329454595412,8,8,0.5,0.5,0.0,1.0,-0.0018709425697391868,-0.0018726949688887228
2023-04-01,9841.681814766765,8,8,0.5,0.5,0.0,1.0,0.01940604586289263,0.019220149711487517
2023-04-02,9858.86107193485,8,8,0.5,0.5,0.0,1.0,0.001745561123740913,0.0017440394025034912
2023-04-03,9684.718922282225,8,8,0.5,0.5,0.0,1.0,-0.017663515935766094,-0.01782137752281897
2023-04-04,9790.185551338796,8,8,0.5,0.5,0.0,1.0,0.010890004129486597,0.01083113503865855
2023-04-05,9816.062016409705,8,8,0.5,0.5,0.0,1.0,0.0026431026189661644,0.002639615765961131
2023-04-06,9738.627185673919,8,8,0.5,0.5,0.0,1.0,-0.007888584098830864,-0.007919863587554966
2023-04-07,9861.82354030752,8,8,0.5,0.5,0.0,1.0,0.01265027937560137,0.012570933059461994
2023-04-08,9839.138363749646,8,8,0.5,0.5,0.0,1.0,-0.002300302420252698,-0.0023029521801442993
2023-04-09,9717.193539660495,8,8,0.5,0.5,0.0,1.0,-0.012393851939152767,-0.012471296276492634
2023-04-10,9798.764779626068,8,8,0.5,0.5,0.0,1.0,0.008394526632884425,0.008359488543081765
2023-04-11,9728.6082364816,8,8,0.5,0.5,0.0,1.0,-0.007159733366632115,-0.0071854872585307905
2023-04-12,9572.551987958284,8,8,0.5,0.5,0.0,1.0,-0.016040963386532048,-0.01617101225427133
2023-04-13,9349.765967823801,8,8,0.5,0.5,0.0,1.0,-0.023273419712395937,-0.023548522516288826
2023-04-14,9356.359898667892,8,8,0.5,0.5,0.0,1.0,0.000705250897913734,0.0007050023253630403
2023-04-15,9244.022998690696,8,8,0.5,0.5,0.0,1.0,-0.012006474867773065,-0.012079134765635343
2023-04-16,9333.376954783018,8,8,0.5,0.5,0.0,1.0,0.009666133035906244,0.009619714855133733
2023-04-17,9337.384425013159,8,8,0.5,0.5,0.0,1.0,0.00042936980361507615,0.00042927765077843455
2023-04-18,9544.868938731148,8,8,0.5,0.5,0.0,1.0,0.022220838756748185,0.021977553327721763
2023-04-19,9734.434126569071,8,8,0.5,0.5,0.0,1.0,0.019860428577359146,0.01966578320537493
2023-04-20,9803.624664236653,8,8,0.5,0.5,0.0,1.0,0.007107813024152421,0.0070826715846280305
2023-04-21,9664.267778758982,8,8,0.5,0.5,0.0,1.0,-0.014214832804242405,-0.014316831288090486
2023-04-22,9738.661967254175,8,8,0.5,0.5,0.0,1.0,0.007697860841429094,0.007668383489055043
2023-04-23,9707.917358263743,8,8,0.5,0.5,0.0,1.0,-0.0031569643852316087,-0.0031619581100737113
2023-04-24,9659.217365459415,8,8,0.5,0.5,0.0,1.0,-0.005016523215751634,-0.005029148208416095
2023-04-25,9722.610770028843,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,0.006562995962397178,0.006541553272123528
2023-04-26,9684.586342508584,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,-0.003910927673611453,-0.003918595349592191
2023-04-27,9808.624794296347,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,0.012807821356635607,0.012726494886482741
2023-04-28,9792.67166002429,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,-0.0016264394455512976,-0.0016277635340809552
2023-04-29,9759.49925351607,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,-0.0033874725570179898,-0.0033932230322374847
2023-04-30,9913.302923322924,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,0.015759381276805096,0.015636491655803438
2023-05-01,9827.688408701422,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,-0.008636325882877771,-0.00867383506239975
2023-05-02,9872.351838026847,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,0.004544652564063778,0.004534356812556899
2023-05-03,9986.709493434486,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,0.011583628428552428,0.011517051843797152
2023-05-04,9994.053314914105,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,0.0007353594779588857,0.0007350892336543321
2023-05-05,10169.79403376241,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,0.017584528850376202,0.017431709921297965
2023-05-06,10116.031728698648,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,-0.005286469409830463,-0.005300492231887626
2023-05-07,10396.064893905672,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,0.02768211614170646,0.027305893669809633
2023-05-08,10404.531157997531,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,0.0008143719934667892,0.0008140405725160056
2023-05-09,10303.41055368057,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,-0.009718900619489768,-0.009766437388292457
2023-05-10,10513.196519280322,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,0.020360827563530748,0.020156317253777215
2023-05-11,10321.343998430675,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,-0.018248733436857734,-0.01841729541724416
2023-05-12,10322.918849280422,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,0.00015258195541067998,0.00015257031596808572
2023-05-13,10281.433164095111,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,-0.004018794082470523,-0.004026891136284595
2023-05-14,10253.359512776631,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,-0.0027305192642325116,-0.0027342539318958685
2023-05-15,10207.750192401689,9,8,0.5,0.5,-2.7755575615628914e-17,1.0,-0.004448231852019702,-0.004458154672261496
2023-05-16,10121.767310982445,9,9,0.5,0.5,0.0,1.0,-0.008423294046052132,-0.008458970470618542
2023-05-17,10204.538922210144,9,9,0.5,0.5,0.0,1.0,0.008177584870765475,0.008144329599130981
2023-05-18,10165.725108792547,9,9,0.5,0.5,0.0,1.0,-0.0038035832597118624,-0.00381083527746141
2023-05-19,10162.338784590365,9,9,0.5,0.5,0.0,1.0,-0.00033311191931140183,-0.0003331674134109683
2023-05-20,10238.294830275188,9,9,0.5,0.5,0.0,1.0,0.007474268206842272,0.007446474271195856
2023-05-21,10226.222911620323,9,9,0.5,0.5,0.0,1.0,-0.001179094649547241,-0.0011797903285448916
2023-05-22,9942.349294277587,9,9,0.5,0.5,0.0,1.0,-0.027759380936255962,-0.02815195468015862
2023-05-23,10057.451291038438,9,9,0.5,0.5,0.0,1.0,0.011576941561196152,0.011510441525807083
2023-05-24,10111.387874855178,9,9,0.5,0.5,0.0,1.0,0.005362848126821085,0.00534851926298992
2023-05-25,10049.374649897927,9,9,0.5,0.5,0.0,1.0,-0.0061330082205098835,-0.006151892366097326
2023-05-26,10045.763859870132,9,9,0.5,0.5,0.0,1.0,-0.00035930494718205974,-0.0003593695126708574
2023-05-27,9919.861936779756,9,9,0.5,0.5,0.0,1.0,-0.012532837208459324,-0.012612035629074932
2023-05-28,9875.942936004833,9,9,0.5,0.5,0.0,1.0,-0.004427380245292101,-0.0044372101176620455
2023-05-29,9902.126367213234,9,9,0.5,0.5,0.0,1.0,0.0026512335458059866,0.0026477252256980168
2023-05-30,10056.802148923016,9,9,0.5,0.5,0.0,1.0,0.015620461300304811,0.015499717652433777
