date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,avg_divergence_long,avg_divergence_short,daily_return,cumulative_max,drawdown
2021-01-31,9758.777219939138,1,1,0.5,0.5,0.0,1.0,0.8991468054744258,-1.173877374399876,,9758.777219939138,0.0
2021-02-01,9598.984029028212,1,1,0.5,0.5,0.0,1.0,0.9209333395800795,-1.1973043086683242,-0.016374304619275137,9758.777219939138,-0.01637430461927515
2021-02-02,9877.887351266954,1,1,0.5,0.5,0.0,1.0,0.7534967311351166,-1.0423372348705198,0.02905550435288906,9877.887351266954,0.0
2021-02-03,11587.633467188414,1,1,0.5,0.5,0.0,1.0,0.9544740609829792,-1.2083723949998786,0.17308823791173977,11587.633467188414,0.0
2021-02-04,13874.69189020048,1,1,0.5,0.5,0.0,1.0,1.7077240981052946,-0.9746810865191102,0.19737062183474374,13874.69189020048,0.0
2021-02-05,13575.179014162364,1,1,0.5,0.5,0.0,1.0,4.218969214399393,-0.7279230822237487,-0.0215869929515089,13874.69189020048,-0.021586992951508923
2021-02-06,13494.503925241277,1,1,0.5,0.5,0.0,1.0,4.015559822423709,-0.7817881075445134,-0.005942837942462642,13874.69189020048,-0.027401542893195692
2021-02-07,13565.957133938044,1,1,0.5,0.5,0.0,1.0,3.766770986662319,-0.8729183849975736,0.00529498595077027,13874.69189020048,-0.022251647727074345
2021-02-08,13188.215011296908,1,1,0.5,0.5,0.0,1.0,3.076671639050136,-0.6311409466397591,-0.02784485598116293,13874.69189020048,-0.04947690978193336
2021-02-09,13349.152040051224,1,1,0.5,0.5,0.0,1.0,3.4761976755318003,-0.9764421022683006,0.012203094096999267,13874.69189020048,-0.03787758707063171
2021-02-10,14196.980901932024,1,1,0.5,0.5,0.0,1.0,4.4055068653261245,-1.1040037692059372,0.06351181403411044,14196.980901932024,0.0
2021-02-11,13683.522715777051,1,1,0.5,0.5,0.0,1.0,5.751923707378556,-1.2973600701383974,-0.03616671669151128,14196.980901932024,-0.036166716691511315
2021-02-12,13256.636205179082,1,1,0.5,0.5,0.0,1.0,4.969063995517161,-1.1547573467948793,-0.031197120760852792,14196.980901932024,-0.0662355400242155
2021-02-13,13140.170106001431,1,1,0.5,0.5,0.0,1.0,5.358545286459412,-1.093255487786754,-0.00878549410084517,14196.980901932024,-0.0744391221789116
2021-02-14,12530.926108652127,1,1,0.5,0.5,0.0,1.0,4.308650130522844,5.699816557573233,-0.046365000790290156,14196.980901932024,-0.11735275301054804
2021-02-15,12632.557597112424,1,1,0.5,0.5,0.0,1.0,2.3594865494400112,3.898054842494234,0.008110453096529247,14196.980901932024,-0.11019408391305947
2021-02-16,12202.331156505243,1,1,0.5,0.5,0.0,1.0,1.6812370080264303,3.3903502842612085,-0.03405695460320113,14196.980901932024,-0.14049816360289216
2021-02-17,12073.862946557883,1,1,0.5,0.5,0.0,1.0,-1.7772255661380831,3.010926365709542,-0.010528169437433399,14196.980901932024,-0.14954714456826604
2021-02-18,12231.13816932162,1,1,0.5,0.5,0.0,1.0,-2.3023944950731847,3.955932796214739,0.013026089782522732,14196.980901932024,-0.13846906931760944
2021-02-19,11799.023054154664,1,1,0.5,0.5,0.0,1.0,-2.152129480795533,3.895481060962697,-0.03532910095405484,14196.980901932024,-0.1689061825427284
2021-02-20,12462.779237010447,1,1,0.5,0.5,0.0,1.0,-2.836028969239163,5.179571511369181,0.056255181450981295,14196.980901932024,-0.12215284903888082
2021-02-21,12309.897037015004,1,1,0.5,0.5,0.0,1.0,1.8959400165032483,-3.100520201734674,-0.01226710327512126,14196.980901932024,-0.1329214906994918
2021-02-22,11126.604634706624,1,1,0.5,0.5,0.0,1.0,1.1751542517022844,-2.368749775639827,-0.09612528835540235,14196.980901932024,-0.2162696624327755
2021-02-23,11425.513361537194,1,1,0.5,0.5,0.0,1.0,0.7482515964137585,-2.3749761782369485,0.02686432533948402,14196.980901932024,-0.1952152756659459
2021-02-24,11462.175280760994,1,1,0.5,0.5,0.0,1.0,0.7737461251279113,-2.527942285559125,0.0032087765392860845,14196.980901932024,-0.19263290132332703
2021-02-25,11694.170842339694,1,1,0.5,0.5,0.0,1.0,-0.5898528932071231,-2.0999461673713484,0.020240098925035532,14196.980901932024,-0.1762917113772922
2021-02-26,11741.029397489781,1,1,0.5,0.5,0.0,1.0,-0.7472145960125727,-1.6657990436621783,0.004007001076162808,14196.980901932024,-0.17299111137833675
2021-02-27,12135.102445762255,1,1,0.5,0.5,0.0,1.0,-0.7080199932317076,-1.5795958461408535,0.03356375620324448,14196.980901932024,-0.14523358666272304
2021-02-28,12176.954111386436,1,1,0.5,0.5,0.0,1.0,1.89638357633057,-1.3466632736051547,0.0034488102437730817,14196.980901932024,-0.14228565950037225
2021-03-01,12325.911086109083,1,1,0.5,0.5,0.0,1.0,-1.8263788888987198,-1.4247600147200261,0.012232695743130018,14196.980901932024,-0.13179350093852085
2021-03-02,12856.178925583186,1,1,0.5,0.5,0.0,1.0,-2.157776069755968,-1.218526436341537,0.0430205796366403,14196.980901932024,-0.0944427541045978
2021-03-03,13559.940436489109,1,1,0.5,0.5,0.0,1.0,-2.7695990379395177,-1.5311987556249256,0.05474111047921637,14196.980901932024,-0.044871544861782686
2021-03-04,14188.373718190129,1,1,0.5,0.5,0.0,1.0,-2.850737490213207,-1.47805544647591,0.04634484086743762,14196.980901932024,-0.0006062686004405056
2021-03-05,15149.764734471843,1,1,0.5,0.5,0.0,1.0,-2.2646725449542084,-1.2159837351631273,0.06775907058672748,15149.764734471843,0.0
2021-03-06,14871.05389064282,1,1,0.5,0.5,0.0,1.0,-3.54826265636689,-0.5422635044844736,-0.01839704105733364,15149.764734471843,-0.018397041057333613
2021-03-07,15452.113221655007,1,1,0.5,0.5,0.0,1.0,-2.745253618729329,0.17544931380356588,0.03907317768364771,15452.113221655007,0.0
