category,n_symbols,n_symbols_in_corr,avg_correlation,min_correlation,max_correlation,std_correlation,rolling_30d_mean,rolling_30d_std,rolling_60d_mean,rolling_60d_std,rolling_90d_mean,rolling_90d_std,rolling_180d_mean,rolling_180d_std,date_range_start,date_range_end,avg_data_days,pca_pc1_var,pca_pc2_var,pca_pc3_var,pca_cum_var_3pc
Legacy DeFi,4,4,0.7563328251318105,0.5981534961888757,0.9139923476064364,0.1729028992527398,0.7097158317886826,0.20545397947439134,0.6952989849762626,0.20198520416710775,0.6865109774887034,0.19606229143164075,0.6726210504448288,0.17670367087240932,2020-01-01,2025-10-24,1080.0,,,,
Meme Coins,11,11,0.7466289704030089,0.5822892544106344,0.8771108921662023,0.07281071313560318,0.761841868956603,0.0981363279766721,0.7430978596492672,0.070468237129098,0.7262372699174269,0.05299431775655731,0.7085707167439519,0.021700421265096578,2021-06-03,2025-10-24,298.54545454545456,,,,
DEX Tokens,5,5,0.7412191732840843,0.7412191732840843,0.7412191732840843,,0.7970161725825732,0.12564382679613986,0.8129933189424673,0.054923951320699736,0.8149963161188671,0.05112273241238092,0.8283097356061796,0.024368138248731824,2021-03-11,2025-10-24,178.2,,,,
Privacy Coins,3,3,0.7383129333103676,0.6450712650038524,0.8064608983296014,0.08356987432536635,0.7423113600293902,0.15054887111438228,0.7500969334010459,0.12202283303704584,0.754937525378127,0.1071517405180564,0.7644958412534593,0.0804745480856507,2020-01-01,2025-10-24,1356.0,0.835612638382798,0.11831044953800016,0.04607691207920182,1.0
DeFi Blue Chips,10,10,0.7079823607567441,0.5591561622739254,0.8516526547451939,0.07674520230426606,0.6962442514695277,0.13472328772969355,0.7038523995914688,0.10929023273869941,0.7066722811573432,0.10286613557781908,0.7129499600616178,0.09157940106143614,2020-06-09,2025-10-24,591.7,,,,
LST/LRT,4,4,0.6970978056925915,0.6335504039278769,0.7773045061286976,0.05326401614039579,0.6842677314321752,0.14433193099120728,0.6741575004355317,0.11557779598147748,0.6713928550599361,0.0954682389196574,0.6734266605086925,0.0715041958647902,2023-01-01,2025-10-24,614.75,0.7988976170572233,0.10064347472578034,0.05995944130415645,0.95950053308716
ETH Ecosystem,15,15,0.6941206225996671,0.42782878870191854,0.8772644327863558,0.0886998064574673,0.7036891359518852,0.13583208490012247,0.7078401971836799,0.1112415611942074,0.7067091058862903,0.10136432388015716,0.7066250250574284,0.08310685959892078,2020-01-01,2025-10-24,849.6,,,,
AI/Compute,6,6,0.6641771169979703,0.4007178402728796,0.8305774193931349,0.14315875374437306,0.7178707419078596,0.1632385653216878,0.7254164169651316,0.12395057644645445,0.7517582612916159,0.07091155602261466,0.778984530324791,0.05127060417186315,2021-01-01,2025-10-24,459.3333333333333,,,,
Dino Coins,10,10,0.662052442094117,0.3095042097775964,0.7835089311467658,0.08396785163650951,0.7085669441642467,0.10513061677957054,0.7081376749663841,0.08436461661301871,0.7035160290864545,0.07652030262180641,0.6951392088899088,0.06394893531031838,2020-01-01,2025-10-24,1913.5,,,,
Oracle Networks,4,4,0.6438400418224716,0.4685869070359229,0.8768249825909924,0.1804717482082357,0.6404715671548179,0.23267613703021223,0.623934286938055,0.21181384056168112,0.6138822820197436,0.1931479755628911,0.5817760050622085,0.1561681041890954,2020-01-01,2025-10-24,985.0,,,,
SOL Ecosystem,6,6,0.6020067011122465,0.46444529023609876,0.781606053408477,0.10809129340475579,0.5753066559953541,0.21522542935282113,0.5546975655039751,0.17061798884176418,0.5583275681543127,0.15414299611119983,0.5824457870302666,0.09904923060366863,2021-06-17,2025-10-24,361.8333333333333,,,,
NFT/Culture,3,3,0.5906676707538954,0.5382309849299363,0.6431043565778546,0.07415667225814006,0.6270925912808906,0.18918360245699906,0.6552544994701948,0.13237813736870593,0.6731028557935028,0.0979404648808104,0.6584816117716953,0.048606986315896286,2022-01-01,2025-10-24,625.3333333333334,,,,
L1 Smart Contract,19,19,0.5888595736496125,0.26844997483329097,0.8050188776370576,0.1204098616997433,0.6591797831555847,0.165201424460914,0.6630113737145447,0.13226079841210145,0.6625075407991418,0.1111333856316725,0.6663623341648124,0.07552925857382431,2020-01-01,2025-10-24,470.1578947368421,,,,
L2 Scaling,6,6,0.5836659003035659,0.5244356560106918,0.6355357348099149,0.04596554047479552,0.6379722912819514,0.17479854399727363,0.6501901724275695,0.1316376832066434,0.6597806416514717,0.11692963979311864,0.6596678724651855,0.025169728689632614,2022-01-01,2025-10-24,377.6666666666667,,,,
Gaming/Metaverse,8,8,0.5483640667059064,0.21376420307109242,0.8045351111159961,0.19995991197811247,0.613508415863851,0.18351748173064528,0.6053378782661749,0.16771485372459397,0.6030170794944443,0.15251830589970714,0.5945577716604555,0.13040999749905238,2021-04-20,2025-10-24,709.875,,,,
Storage/Infra,6,6,0.5379819932025933,0.028167215259534143,0.8305774193931349,0.23409483761253153,0.6883189010771577,0.22045238469764072,0.6904788102226282,0.19114152708327012,0.6966270087976261,0.1689990266964238,0.6972741723483425,0.1281823472167299,2021-01-01,2025-10-24,720.3333333333334,,,,
Cosmos Ecosystem,4,4,0.41475885576684385,0.41475885576684385,0.41475885576684385,,0.3330324475481622,0.19967624168408776,0.3322503324927156,0.10167452607033776,0.3364088878748964,0.0945658332181786,,,2020-01-14,2025-10-24,343.0,,,,
Stablecoins,4,4,0.03691954435331158,0.03691954435331158,0.03691954435331158,,0.10196899812019701,0.048997708018531885,0.09643406174921537,0.03660290240373247,0.07520553785791836,0.026670793915176048,,,2020-04-30,2025-10-24,155.75,,,,
