,value
initial_capital,10000.0
leverage,1.0
final_value,26886.48354619094
total_return,1.6886483546190938
annualized_return,0.1962071882865284
annualized_volatility,0.4099222955496697
sharpe_ratio,0.47864483200024976
sortino_ratio,0.6503542931375667
max_drawdown,-0.5494979167684815
calmar_ratio,0.3570663005246585
win_rate,0.38511166253101736
trading_days,2015.0
avg_long_exposure,5671.311845666229
avg_short_exposure,-5671.311845666229
avg_net_exposure,0.0
avg_gross_exposure,11342.623691332457
avg_long_positions,1.0719602977667493
avg_short_positions,1.8327543424317618
avg_portfolio_beta,-0.2872958113435448
