date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,portfolio_beta,daily_return
2020-04-19,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,
2020-04-20,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-04-21,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-04-22,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-04-23,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-04-24,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-04-25,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-04-26,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-04-27,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-04-28,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-04-29,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-04-30,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-01,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-02,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-03,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-04,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-05,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-06,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-07,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-08,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-09,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-10,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-11,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-12,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-13,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-14,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-15,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-16,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-17,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-18,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-19,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-20,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-21,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-22,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-23,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-24,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-25,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-26,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-27,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-28,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-29,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-30,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-05-31,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-01,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-02,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-03,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-04,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-05,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-06,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-07,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-08,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-09,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-10,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-11,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-12,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-13,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-14,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-15,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-16,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-17,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-18,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-19,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-20,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-21,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-22,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-23,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-24,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-25,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-26,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-27,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-28,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-29,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-06-30,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-01,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-02,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-03,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-04,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-05,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-06,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-07,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-08,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-09,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-10,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-11,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-12,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-13,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-14,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-15,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-16,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-17,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-18,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-19,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-07-20,10000.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
