date,portfolio_value,num_positions,positions
2020-08-18,100000.0,7,"ALGO/USD, ATOM/USD, BTC/USD, ETH/USD, KNC/USD, LINK/USD, OXT/USD"
2020-08-19,97968.00332706436,7,"ALGO/USD, ATOM/USD, BTC/USD, ETH/USD, KNC/USD, LINK/USD, OXT/USD"
2020-08-20,101024.01274583787,4,"BTC/USD, ETH/USD, LINK/USD, OXT/USD"
2020-08-21,95529.74451422929,5,"ATOM/USD, BTC/USD, ETH/USD, LINK/USD, OXT/USD"
2020-08-22,100217.40601925683,3,"ATOM/USD, BTC/USD, ETH/USD"
2020-08-23,105399.19904374477,1,ATOM/USD
2020-08-24,101276.54621781543,1,ATOM/USD
2020-08-25,103436.61880625148,1,ATOM/USD
2020-08-26,95154.28333859099,1,ATOM/USD
2020-08-27,89982.45239827842,1,ATOM/USD
2020-08-28,93389.1954520404,1,ATOM/USD
2020-08-29,89772.61677540178,0,None
2020-08-30,89772.61677540178,0,None
2020-08-31,89772.61677540178,0,None
2020-09-01,89772.61677540178,1,ETH/USD
2020-09-02,83061.89800347434,1,ETH/USD
2020-09-03,72273.78048404669,1,ETH/USD
2020-09-04,73423.3804086891,1,ETH/USD
2020-09-05,63284.62639349297,2,"DAI/USD, ETH/USD"
2020-09-06,63617.51456564015,2,"DAI/USD, ETH/USD"
2020-09-07,64175.08916567738,1,DAI/USD
2020-09-08,64000.00067413543,1,DAI/USD
2020-09-09,64290.731332529445,1,DAI/USD
2020-09-10,64622.78062459331,1,DAI/USD
2020-09-11,64710.29361572461,0,None
2020-09-12,64710.29361572461,0,None
2020-09-13,64710.29361572461,0,None
2020-09-14,64710.29361572461,0,None
2020-09-15,64710.29361572461,0,None
2020-09-16,64710.29361572461,0,None
2020-09-17,64710.29361572461,0,None
2020-09-18,64710.29361572461,0,None
2020-09-19,64710.29361572461,0,None
2020-09-20,64710.29361572461,0,None
2020-09-21,64710.29361572461,0,None
2020-09-22,64710.29361572461,0,None
2020-09-23,64710.29361572461,0,None
2020-09-24,64710.29361572461,0,None
2020-09-25,64710.29361572461,0,None
2020-09-26,64710.29361572461,0,None
2020-09-27,64710.29361572461,0,None
2020-09-28,64710.29361572461,0,None
2020-09-29,64710.29361572461,0,None
2020-09-30,64710.29361572461,0,None
2020-10-01,64710.29361572461,0,None
2020-10-02,64710.29361572461,0,None
2020-10-03,64710.29361572461,0,None
2020-10-04,64710.29361572461,0,None
2020-10-05,64710.29361572461,0,None
2020-10-06,64710.29361572461,0,None
2020-10-07,64710.29361572461,0,None
2020-10-08,64710.29361572461,0,None
2020-10-09,64710.29361572461,0,None
2020-10-10,64710.29361572461,0,None
2020-10-11,64710.29361572461,0,None
2020-10-12,64710.29361572461,0,None
2020-10-13,64710.29361572461,0,None
2020-10-14,64710.29361572461,0,None
2020-10-15,64710.29361572461,0,None
2020-10-16,64710.29361572461,0,None
2020-10-17,64710.29361572461,0,None
2020-10-18,64710.29361572461,0,None
2020-10-19,64710.29361572461,0,None
2020-10-20,64710.29361572461,0,None
2020-10-21,64710.29361572461,1,BTC/USD
2020-10-22,65614.7624448226,1,BTC/USD
2020-10-23,65362.49940920165,1,BTC/USD
2020-10-24,66318.14838151695,1,BTC/USD
2020-10-25,65907.69676898248,1,BTC/USD
2020-10-26,66027.89179436647,1,BTC/USD
2020-10-27,69207.780278033,1,BTC/USD
2020-10-28,67100.30020495935,1,BTC/USD
2020-10-29,68004.41537067875,1,BTC/USD
2020-10-30,68567.80113278754,1,BTC/USD
2020-10-31,69746.51065031944,1,BTC/USD
2020-11-01,69578.67211550415,1,BTC/USD
2020-11-02,68525.91728409342,1,BTC/USD
2020-11-03,70913.54927635756,1,BTC/USD
2020-11-04,71548.52661096283,1,BTC/USD
2020-11-05,78857.88974983519,1,BTC/USD
2020-11-06,78816.15747116046,1,BTC/USD
2020-11-07,74946.77696924456,1,BTC/USD
2020-11-08,78224.7817788025,1,BTC/USD
2020-11-09,77514.17100451677,1,BTC/USD
2020-11-10,77376.64647358142,1,BTC/USD
2020-11-11,79350.89649960269,1,BTC/USD
2020-11-12,82407.65960417684,1,BTC/USD
2020-11-13,82552.91420610157,1,BTC/USD
2020-11-14,81251.6855895549,1,BTC/USD
2020-11-15,80670.06090177833,1,BTC/USD
2020-11-16,84508.57164307647,2,"BTC/USD, LTC/USD"
2020-11-17,88640.7165145866,2,"BTC/USD, LTC/USD"
2020-11-18,87685.26331472732,3,"BTC/USD, ETH/USD, LTC/USD"
2020-11-19,89478.97430599945,3,"BTC/USD, ETH/USD, LTC/USD"
2020-11-20,94118.32381127485,3,"BTC/USD, ETH/USD, LTC/USD"
2020-11-21,98095.75614132891,3,"BTC/USD, ETH/USD, LTC/USD"
2020-11-22,96780.5551089781,3,"BTC/USD, ETH/USD, LTC/USD"
2020-11-23,101165.76648676809,3,"BTC/USD, ETH/USD, LTC/USD"
2020-11-24,102834.54023293909,5,"BCH/USD, BTC/USD, DASH/USD, ETH/USD, LTC/USD"
2020-11-25,95685.90030570967,5,"BCH/USD, BTC/USD, DASH/USD, ETH/USD, LTC/USD"
2020-11-26,85913.19536314468,5,"BCH/USD, BTC/USD, DASH/USD, ETH/USD, LTC/USD"
2020-11-27,85162.15671397882,5,"BCH/USD, BTC/USD, DASH/USD, ETH/USD, LTC/USD"
2020-11-28,90321.0455917036,5,"BCH/USD, BTC/USD, DASH/USD, ETH/USD, LTC/USD"
2020-11-29,94103.05806332469,5,"BCH/USD, BTC/USD, DASH/USD, ETH/USD, LTC/USD"
2020-11-30,101920.97720799108,1,BTC/USD
2020-12-01,97107.86668055094,2,"BTC/USD, ETH/USD"
2020-12-02,99210.24054964457,2,"BTC/USD, ETH/USD"
2020-12-03,101287.90276716567,2,"BTC/USD, ETH/USD"
2020-12-04,95371.8693425549,2,"BTC/USD, ETH/USD"
2020-12-05,98999.97591101134,2,"BTC/USD, ETH/USD"
2020-12-06,99974.29799480528,2,"BTC/USD, ETH/USD"
2020-12-07,98643.87631007431,0,None
2020-12-08,98643.87631007431,0,None
2020-12-09,98643.87631007431,0,None
2020-12-10,98643.87631007431,0,None
2020-12-11,98643.87631007431,0,None
2020-12-12,98643.87631007431,0,None
2020-12-13,98643.87631007431,0,None
2020-12-14,98643.87631007431,0,None
2020-12-15,98643.87631007431,0,None
2020-12-16,98643.87631007431,2,"BTC/USD, ETH/USD"
2020-12-17,102815.41361073658,3,"BTC/USD, ETH/USD, LTC/USD"
2020-12-18,106019.02882803122,3,"BTC/USD, ETH/USD, LTC/USD"
2020-12-19,110056.37612084318,3,"BTC/USD, ETH/USD, LTC/USD"
2020-12-20,106977.39186415105,3,"BTC/USD, ETH/USD, LTC/USD"
2020-12-21,101519.89166306122,4,"BCH/USD, BTC/USD, ETH/USD, LTC/USD"
2020-12-22,106862.142134513,4,"BCH/USD, BTC/USD, ETH/USD, LTC/USD"
2020-12-23,98130.68816683826,3,"BCH/USD, BTC/USD, LTC/USD"
2020-12-24,103339.96299206562,3,"BCH/USD, BTC/USD, LTC/USD"
2020-12-25,111225.59146158976,3,"BCH/USD, BTC/USD, LTC/USD"
2020-12-26,115785.49252961998,3,"BCH/USD, BTC/USD, LTC/USD"
2020-12-27,116349.968159436,3,"BTC/USD, ETH/USD, LTC/USD"
2020-12-28,120919.20634425103,3,"BTC/USD, ETH/USD, LTC/USD"
2020-12-29,121452.86867684814,3,"BTC/USD, ETH/USD, LTC/USD"
2020-12-30,125857.947920802,3,"BTC/USD, ETH/USD, LTC/USD"
2020-12-31,123893.38968573582,3,"BTC/USD, ETH/USD, LTC/USD"
2021-01-01,124757.59871847297,3,"BTC/USD, ETH/USD, LTC/USD"
2021-01-02,134864.23749723315,3,"BTC/USD, ETH/USD, LTC/USD"
2021-01-03,153603.52321497854,4,"BCH/USD, BTC/USD, ETH/USD, LTC/USD"
2021-01-04,151295.49896608648,4,"BCH/USD, BTC/USD, ETH/USD, LTC/USD"
