date,portfolio_value,cash,num_positions,num_longs,num_shorts
2021-04-02,10000.0,0,0,0,0
2021-04-03,10000.0,0,0,0,0
2021-04-04,10000.0,0,0,0,0
2021-04-05,10000.0,0,0,0,0
2021-04-06,10000.0,0,0,0,0
2021-04-07,10000.0,0,0,0,0
2021-04-08,10000.0,0,0,0,0
2021-04-09,9941.684294780172,0,1,1,0
2021-04-10,10795.26613687039,0,1,1,0
2021-04-11,10848.436338688467,0,1,1,0
2021-04-12,11510.491109713568,0,1,1,0
2021-04-13,10995.369046938426,0,1,1,0
2021-04-14,11564.23303413184,0,1,1,0
2021-04-15,12014.750443085017,0,1,1,0
2021-04-17,11054.256474758446,0,1,1,0
2021-04-18,9759.304785318163,0,1,1,0
2021-04-19,8914.870504831055,0,1,1,0
2021-04-20,9096.106569092675,0,1,1,0
2021-04-21,8727.917214567491,0,1,1,0
2021-04-22,8064.14727574181,0,1,1,0
2021-04-16,11384.140415070608,0,1,1,0
2021-04-23,7994.96884111829,0,1,1,0
2021-04-24,7191.698587845176,0,1,1,0
2021-04-25,7203.704762449259,0,1,1,0
2021-04-26,8354.582356640558,0,1,1,0
2021-04-27,8918.872563032415,0,1,1,0
2021-04-28,8782.802584186153,0,1,1,0
2021-04-29,8562.11766051112,0,1,1,0
2021-04-30,8917.157395231834,0,1,1,0
2021-05-01,9592.933508661596,0,1,1,0
2021-05-02,9211.022811731747,0,1,1,0
2021-05-03,9094.963123892287,0,1,1,0
2021-05-04,8191.069692984964,0,1,1,0
2021-05-05,8791.37842318907,0,1,1,0
2021-05-06,9180.14979132125,0,1,1,0
2021-05-07,9160.139500314446,0,1,1,0
2021-05-08,9080.670058887428,0,1,1,0
2021-05-09,8776.513635584013,0,1,1,0
2021-05-10,7919.50145789263,0,1,1,0
2021-05-11,8360.871305242696,0,1,1,0
2021-05-12,7386.655994511462,0,1,1,0
2021-05-13,7517.008747355782,0,1,1,0
2021-05-14,7812.017609056085,0,1,1,0
2021-05-15,7530.158367160253,0,1,1,0
2021-05-16,7427.820021725458,0,1,1,0
2021-05-17,6834.94368532388,0,1,1,0
2021-05-18,7008.175633182779,0,1,1,0
2021-05-19,4289.634669258476,0,1,1,0
2021-05-20,5192.956377565605,0,1,1,0
2021-05-21,4877.937224858498,0,1,1,0
2021-05-22,4516.036818935453,0,1,1,0
2021-05-23,3727.0596306671996,0,1,1,0
2021-05-24,4725.859013206792,0,1,1,0
2021-05-25,4708.135612600766,0,1,1,0
2021-05-26,4816.191184037505,0,1,1,0
2021-05-27,4414.841918701047,0,1,1,0
2021-05-28,3724.201017666229,0,1,1,0
2021-05-29,3597.2786004230747,0,1,1,0
2021-05-30,4226.173460636898,0,1,1,0
2021-05-31,4536.618832542449,0,1,1,0
2021-06-01,4403.979189297353,0,1,1,0
2021-06-02,4379.3951174889935,0,1,1,0
2021-06-03,5436.510205248413,0,1,1,0
2021-06-04,4584.071808358584,0,1,1,0
2021-06-05,4299.925676061975,0,1,1,0
2021-06-06,4478.3031273226225,0,1,1,0
2021-06-07,3995.7692527585605,0,1,1,0
2021-06-08,3960.32245154651,0,1,1,0
2021-06-09,4055.2284031787776,0,1,1,0
2021-06-10,3789.9491166885828,0,1,1,0
2021-06-11,3512.663655594306,0,1,1,0
2021-06-12,3446.343833971757,0,1,1,0
2021-06-13,3916.871533931736,0,1,1,0
2021-06-14,3901.435023726487,0,1,1,0
2021-06-15,4092.390372191412,0,1,1,0
2021-06-16,3895.1460751243494,0,1,1,0
2021-06-17,3921.4453147332915,0,1,1,0
2021-06-18,3485.7926933851704,0,1,1,0
2021-06-19,3436.624549768452,0,1,1,0
2021-06-20,3671.6025384483446,0,1,1,0
