,value
initial_capital,10000.0
leverage,1.0
final_value,1587.3118886189084
total_return,-0.8412688111381093
annualized_return,-0.3221112797367879
annualized_volatility,0.3924195456789104
sharpe_ratio,-0.820833934710146
sortino_ratio,-1.1182025097050337
max_drawdown,-0.8883616933521746
calmar_ratio,-0.3625902401546853
win_rate,0.4010416666666667
trading_days,1728.0
avg_long_exposure,1763.342868150041
avg_short_exposure,-1763.342868150041
avg_net_exposure,0.0
avg_gross_exposure,3526.685736300082
avg_long_positions,1.3344907407407407
avg_short_positions,2.1846064814814814
avg_portfolio_dw,1.632292626818751
