date,symbol,signal,dw,dw_rank,percentile,weight,volatility,autocorr_30d,market_cap,volume_30d_avg
2021-01-31,GRT/USD,LONG,1.5810714851711778,1.0,14.285714285714285,0.5,2.29430031406778,0.11639051014635429,369564933.9037584,124869019.127
2021-01-31,LINK/USD,SHORT,2.1218667347312326,6.0,85.71428571428571,-0.25,1.8420729392668318,-0.12508830723075473,5453374284.889682,6711901.851333333
2021-01-31,XTZ/USD,SHORT,2.189600063345847,7.0,100.0,-0.25,1.4010228020639437,-0.1273963965273405,1611874059.9112284,7260543.412333334
2021-02-07,ZRX/USD,LONG,1.466263609779772,1.0,14.285714285714285,0.5,2.4213222247699195,0.16570873244870352,294490417.9531757,37665477.29922199
2021-02-07,XLM/USD,SHORT,2.457198820384449,6.0,85.71428571428571,-0.25,1.3710931005171494,-0.25523520934014354,2989656210.8862576,333458850.8333333
2021-02-07,XTZ/USD,SHORT,2.4625476792411116,7.0,100.0,-0.25,1.4537687589734323,-0.27323365084641565,1611874059.9112284,6950999.684666667
2021-02-14,GRT/USD,LONG,1.3389182169355507,1.0,14.285714285714285,0.5,2.660559070072017,0.12921299013018245,369564933.9037584,123028701.92300001
2021-02-14,EOS/USD,SHORT,2.1028724050901086,6.0,85.71428571428571,-0.25,1.1150461926698734,-0.2659365478737957,2625024378.6311483,5108553.0633333335
2021-02-14,XTZ/USD,SHORT,2.1328147421883625,7.0,100.0,-0.25,1.5105825283536058,-0.18222503102234663,1611874059.9112284,7561699.415
2021-02-21,ZRX/USD,LONG,1.2571760155919884,1.0,14.285714285714285,0.5,2.0868494850431,0.2712151400152028,294490417.9531757,40560497.91513367
2021-02-21,EOS/USD,SHORT,2.162156900638924,7.0,100.0,-0.25,1.1752785548294078,-0.23239396134546292,2625024378.6311483,5963267.443333333
2021-02-21,XLM/USD,SHORT,2.056112110417429,6.0,85.71428571428571,-0.25,1.2990311435539699,-0.12485434904689692,2989656210.8862576,329460133.3333333
2021-02-28,ZRX/USD,LONG,1.3265781081553054,1.0,12.5,0.5,2.2103438540300955,0.29282908045891487,294490417.9531757,43191994.10684066
2021-02-28,BNT/USD,SHORT,2.095942899048816,8.0,100.0,-0.25,2.134003204357929,-0.13986411732720033,133939953.40059274,5193392.846238334
2021-02-28,EOS/USD,SHORT,1.9562926969436072,7.0,87.5,-0.25,1.4489946391408917,-0.014153107533686614,2625024378.6311483,6748148.010000001
2021-03-07,XTZ/USD,LONG,1.3989583061229416,1.0,12.5,0.5,1.4223902056967122,0.2643477726271347,1611874059.9112284,6905376.972333333
2021-03-07,EOS/USD,SHORT,1.9849202001428092,7.0,87.5,-0.25,1.4141834370256907,-0.0026503242411071008,2625024378.6311483,6091427.296666667
2021-03-07,ZRX/USD,SHORT,2.1162885646810246,8.0,100.0,-0.25,1.2650155225926472,-0.10114123287965207,294490417.9531757,29120419.089336667
2021-03-14,BNT/USD,LONG,1.6527725864461955,1.0,14.285714285714285,0.5,1.917585725687969,0.10197674280405496,133939953.40059274,5691912.276291833
2021-03-14,GRT/USD,SHORT,2.429748736015654,7.0,100.0,-0.25,1.448346232313401,-0.2432694390909402,369564933.9037584,56816950.475666665
2021-03-14,ZRX/USD,SHORT,2.391048173580186,6.0,85.71428571428571,-0.25,1.0959759099842612,-0.2662822770286124,294490417.9531757,18915335.890158664
2021-03-21,OXT/USD,LONG,1.9029782207023913,1.0,20.0,0.5,1.3661519160002091,0.010777579564841093,84970405.6500807,39428704.96666667
2021-03-21,XLM/USD,SHORT,2.4029468857281993,4.0,80.0,-0.25,1.0322678699899608,-0.24905706471843564,2989656210.8862576,181769228.23333332
2021-03-21,ZRX/USD,SHORT,2.5013683460490803,5.0,100.0,-0.25,1.069849548531177,-0.25919494994799086,294490417.9531757,15465757.929076
2021-03-28,OXT/USD,LONG,2.057378533132085,1.0,20.0,0.5,1.4331445374022502,-0.06063649607833545,84970405.6500807,33773957.233333334
2021-03-28,XLM/USD,SHORT,2.5838513078835494,5.0,100.0,-0.25,0.8018303063556127,-0.43983496817002043,2989656210.8862576,143377223.96666667
2021-03-28,ZRX/USD,SHORT,2.4906506911058752,4.0,80.0,-0.25,0.9499932985156924,-0.2567597579614683,294490417.9531757,9178707.859969668
2021-04-04,ZRX/USD,LONG,1.7389943245897757,1.0,20.0,0.5,1.048561447821897,0.0839938659951647,294490417.9531757,9638506.742313
2021-04-04,GRT/USD,SHORT,2.4499165298574965,5.0,100.0,-0.25,1.3325834451421323,-0.23592640545555307,369564933.9037584,25193642.62866666
2021-04-04,XLM/USD,SHORT,2.4310930869650353,4.0,80.0,-0.25,0.7324402735679817,-0.25040487180530135,2989656210.8862576,128487158.03333333
2021-04-11,ZRX/USD,LONG,1.9102878801648053,1.0,16.666666666666664,0.5,1.2522997724744678,-0.017153460324972013,294490417.9531757,10893142.120910333
2021-04-11,ADA/USD,SHORT,2.4165168027321364,5.0,83.33333333333334,-0.25,0.8190489374105461,-0.2877971260215529,6377915101.911628,62455821.0924
2021-04-11,GRT/USD,SHORT,2.555409267005837,6.0,100.0,-0.25,1.2745606753148073,-0.2847351559188725,369564933.9037584,21426610.891
2021-04-18,ADA/USD,LONG,1.6736923810428121,1.0,10.0,0.25,0.8284101058008485,0.052612638469623274,6377915101.911628,69604422.16233332
2021-04-18,ZRX/USD,LONG,1.8233035636676,2.0,20.0,0.25,1.3842035773168218,0.008483631725338565,294490417.9531757,11353098.452764
2021-04-18,ALGO/USD,SHORT,2.355666773214198,10.0,100.0,-0.16666666666666666,1.2179161921705257,-0.34238251152294863,506613483.19005257,31981755.933333334
2021-04-18,GRT/USD,SHORT,2.350228478673102,9.0,90.0,-0.16666666666666666,1.3994051259944342,-0.23877996735961074,369564933.9037584,23633883.571666665
2021-04-18,STORJ/USD,SHORT,2.1932131576910927,8.0,80.0,-0.16666666666666666,3.154936493626577,-0.13275501973967427,67439688.15345588,22171044.091999996
2021-04-25,STORJ/USD,LONG,1.7894918946194684,1.0,11.11111111111111,0.5,3.033097836816613,-0.4780063201003875,67439688.15345588,19583100.231
2021-04-25,ALGO/USD,SHORT,2.2519391896652805,9.0,100.0,-0.25,1.263411815554322,-0.13211274762039762,506613483.19005257,35416246.2
2021-04-25,GRT/USD,SHORT,2.2035779335754926,8.0,88.88888888888889,-0.25,1.3377118529103933,-0.1237230707361444,369564933.9037584,23850715.553666662
2021-05-02,GRT/USD,LONG,1.6318932999321976,1.0,11.11111111111111,0.5,1.2490749272185555,0.1304335944411169,369564933.9037584,21755801.780000005
2021-05-02,ALGO/USD,SHORT,2.0642867572186874,8.0,88.88888888888889,-0.25,1.2387472708573546,-0.05579033562047327,506613483.19005257,32970938.933333334
2021-05-02,STORJ/USD,SHORT,2.4159751281781063,9.0,100.0,-0.25,1.6031680444818066,-0.24483690716200507,67439688.15345588,10558613.488000002
2021-05-09,GRT/USD,LONG,1.5937864761394196,1.0,11.11111111111111,0.5,1.218881530274417,0.17122533229049208,369564933.9037584,23790989.977666665
2021-05-09,ALGO/USD,SHORT,2.206395204342712,8.0,88.88888888888889,-0.25,1.330371728810177,-0.10530452073497319,506613483.19005257,34529355.333333336
2021-05-09,STORJ/USD,SHORT,2.5839791544024866,9.0,100.0,-0.25,1.713598741803336,-0.30098239793439774,67439688.15345588,11470868.168
2021-05-16,GRT/USD,LONG,1.8126439447590117,2.0,18.181818181818183,0.25,1.255941260064702,0.04885803892078025,369564933.9037584,24874432.817333333
2021-05-16,OXT/USD,LONG,1.7585988579672784,1.0,9.090909090909092,0.25,1.1973746786850656,0.025743716524983775,84970405.6500807,19590988.633333333
2021-05-16,BAT/USD,SHORT,2.6155249336518023,11.0,100.0,-0.16666666666666666,1.4754727596783208,-0.32186160456248475,323205023.9171975,6500592.055925925
2021-05-16,EOS/USD,SHORT,2.5123048950598164,9.0,81.81818181818183,-0.16666666666666666,2.7874473798916855,-0.2677747208365781,2625024378.6311483,9965595.903333334
2021-05-16,STORJ/USD,SHORT,2.5961477431478093,10.0,90.9090909090909,-0.16666666666666666,1.9071468285887896,-0.3213577248568649,67439688.15345588,11937292.076666666
