date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,daily_return,log_return
2022-01-31,10000.0,1,2,0.5,0.5,2.7755575615628914e-17,1.0,,
2022-02-01,9993.641779809772,1,2,0.5,0.5,2.7755575615628914e-17,1.0,-0.0006358220190227915,-0.0006360242395647874
2022-02-02,10107.895976249185,1,2,0.5,0.5,2.7755575615628914e-17,1.0,0.01143268879921644,0.011367829488712134
2022-02-03,10098.27462378854,1,2,0.5,0.5,2.7755575615628914e-17,1.0,-0.0009518650056601352,-0.0009523183168381629
2022-02-04,10057.921062470194,1,2,0.5,0.5,2.7755575615628914e-17,1.0,-0.00399608475920088,-0.004004090440607289
2022-02-05,9930.24611416909,1,2,0.5,0.5,2.7755575615628914e-17,1.0,-0.012693970007132682,-0.012775226824519268
2022-02-06,9918.067169985665,1,2,0.5,0.5,2.7755575615628914e-17,1.0,-0.0012264493793407993,-0.001227202083879793
2022-02-07,9929.519213929887,1,2,0.5,0.5,0.0,1.0,0.0011546648906430867,0.001153998777846976
2022-02-08,10153.26839466991,1,2,0.5,0.5,0.0,1.0,0.02253373762811517,0.022283603625809414
2022-02-09,10258.071961620873,1,2,0.5,0.5,0.0,1.0,0.010322150747633208,0.010269241132149404
2022-02-10,9953.506619391756,1,2,0.5,0.5,0.0,1.0,-0.02969031055432314,-0.030139990969951985
2022-02-11,9782.72434142793,1,2,0.5,0.5,0.0,1.0,-0.01715800114414978,-0.017306905369617702
2022-02-12,9591.537113727134,1,2,0.5,0.5,0.0,1.0,-0.01954335224301007,-0.019736848747506152
2022-02-13,10000.47571187725,1,2,0.5,0.5,0.0,1.0,0.042635355866460056,0.0417515040242192
2022-02-14,10071.366167114113,1,2,0.5,0.5,0.0,1.0,0.00708870830541275,0.007063701520348868
2022-02-15,9917.09041075259,1,2,0.5,0.5,0.0,1.0,-0.015318255120668534,-0.015436791663979639
2022-02-16,9683.224464589715,1,2,0.5,0.5,0.0,1.0,-0.023582112946081923,-0.023864621239571185
2022-02-17,9847.494001616209,1,2,0.5,0.5,0.0,1.0,0.016964342572787228,0.01682205506806818
2022-02-18,9968.563117328224,1,2,0.5,0.5,0.0,1.0,0.012294408678202196,0.012219446223142546
2022-02-19,9928.512533771656,1,2,0.5,0.5,0.0,1.0,-0.004017688716536072,-0.00402578131080345
2022-02-20,9968.782675049599,1,2,0.5,0.5,0.0,1.0,0.004056009512096059,0.004047806080165512
2022-02-21,9902.42373912755,1,2,0.5,0.5,0.0,1.0,-0.006656673947575964,-0.0066789284170764
2022-02-22,9744.119290516874,1,2,0.5,0.5,0.0,1.0,-0.015986434511498948,-0.01611559595936071
2022-02-23,9831.752285868479,1,2,0.5,0.5,0.0,1.0,0.008993423904086528,0.0089532239112705
2022-02-24,9649.198732978502,1,2,0.5,0.5,0.0,1.0,-0.018567753497244488,-0.01874229821099382
2022-02-25,9693.726788388753,1,2,0.5,0.5,0.0,1.0,0.004614689430954,0.004604074395881123
2022-02-26,9855.10780734595,1,2,0.5,0.5,0.0,1.0,0.016647985081496453,0.016510926452706506
2022-02-27,10215.679307420847,1,2,0.5,0.5,0.0,1.0,0.036587270999321575,0.03593384712960227
2022-02-28,9928.266126294593,1,2,0.5,0.5,2.7755575615628914e-17,1.0,-0.028134514844986636,-0.028537873856660827
2022-03-01,10188.732162381724,1,2,0.5,0.5,2.7755575615628914e-17,1.0,0.02623479596274092,0.025896566534917332
2022-03-02,10137.5542808338,1,2,0.5,0.5,2.7755575615628914e-17,1.0,-0.005022988212103674,-0.005035645821197042
2022-03-03,10120.279633909544,1,2,0.5,0.5,2.7755575615628914e-17,1.0,-0.0017040250977412574,-0.001705478599945635
2022-03-04,10225.840867950095,1,2,0.5,0.5,2.7755575615628914e-17,1.0,0.01043066376218027,0.010376639735157352
2022-03-05,10150.452079046261,1,2,0.5,0.5,2.7755575615628914e-17,1.0,-0.00737238041128907,-0.007399690718526966
2022-03-06,10219.998081818509,1,2,0.5,0.5,2.7755575615628914e-17,1.0,0.006851517767943793,0.006828152783107456
2022-03-07,10037.12885463896,1,2,0.5,0.5,0.0,1.0,-0.01789327411957875,-0.01805529437386072
2022-03-08,10068.519181109843,1,2,0.5,0.5,0.0,1.0,0.003127420891520627,0.003122540683134004
2022-03-09,10035.331303973506,1,2,0.5,0.5,0.0,1.0,-0.003296202404679649,-0.003301646847107539
2022-03-10,10081.309977101853,1,2,0.5,0.5,0.0,1.0,0.004581679641223468,0.004571215696510941
