date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,daily_return,log_return
2020-02-19,10000.0,1,0,0.5,0.0,0.5,0.5,,
2020-02-20,9939.730982421674,1,0,0.5,0.0,0.5,0.5,-0.006026901757832603,-0.00604513683449227
2020-02-21,10005.460999769924,1,0,0.5,0.0,0.5,0.5,0.006612856772934217,0.006591087753157053
2020-02-22,10010.919020541218,1,0,0.5,0.0,0.5,0.5,0.0005455041773105851,0.0005453554439941589
2020-02-23,10167.927239876673,1,0,0.5,0.0,0.5,0.5,0.015683696872714092,0.015561978709868507
2020-02-24,9928.733673892122,1,0,0.5,0.0,0.5,0.5,-0.023524319199146104,-0.02380543342933514
2020-02-25,9577.75706751234,1,0,0.5,0.0,0.5,0.5,-0.035349584137067125,-0.03598950663084531
2020-02-26,9132.033052755589,1,0,0.5,0.0,0.5,0.5,-0.04653741075440754,-0.04765508990216227
2020-02-27,9317.574182050763,1,0,0.5,0.0,0.5,0.5,0.020317614733028844,0.02011396581847736
2020-02-28,9288.215089479469,1,0,0.5,0.0,0.5,0.5,-0.0031509373574777344,-0.003155912013227402
2020-02-29,9128.044394319952,1,0,0.5,0.0,0.5,0.5,-0.017244507541706033,-0.017394925829548456
2020-03-01,9090.06484856966,1,0,0.5,0.0,0.5,0.5,-0.0041607538383494624,-0.004169433859923285
2020-03-02,9344.89278277881,1,0,0.5,0.0,0.5,0.5,0.028033676156804077,0.02764792540380904
2020-03-03,9235.133522975257,1,0,0.5,0.0,0.5,0.5,-0.011745373901541512,-0.011814895714898544
2020-03-04,9200.733239008974,2,1,0.5,0.5,0.0,1.0,-0.0037249362860538593,-0.003731891137512246
2020-03-05,8978.653675955022,2,1,0.5,0.5,0.0,1.0,-0.024137159211657933,-0.024433234423746095
2020-03-06,8907.155040649488,2,1,0.5,0.5,0.0,1.0,-0.007963179991785196,-0.00799505544231605
2020-03-07,8979.807975438382,2,1,0.5,0.5,0.0,1.0,0.00815669363083149,0.008123607598659655
2020-03-08,8991.0130144791,2,1,0.5,0.5,0.0,1.0,0.0012478038585419515,0.0012470259983180072
2020-03-09,9050.062889181094,2,1,0.5,0.5,0.0,1.0,0.006567655347278434,0.006546182266151544
2020-03-10,8809.443267741726,2,1,0.5,0.5,0.0,1.0,-0.02658761871445292,-0.026947462036034535
2020-03-11,8916.109766107518,2,1,0.5,0.5,0.0,1.0,0.012108199703876998,0.012035481853526197
2020-03-12,8385.157626892516,2,1,0.5,0.5,0.0,1.0,-0.059549753552080587,-0.06139653281217117
2020-03-13,8586.91046163479,2,1,0.5,0.5,0.0,1.0,0.02406070866160248,0.023775810662328492
2020-03-14,8554.654035920057,2,1,0.5,0.5,0.0,1.0,-0.003756464663146386,-0.003763537895650592
2020-03-15,8663.301183691921,2,1,0.5,0.5,0.0,1.0,0.012700355539296604,0.012620382436613958
2020-03-16,8821.255830652888,2,1,0.5,0.5,0.0,1.0,0.018232616367800603,0.01806839533367845
2020-03-17,8938.01578705751,2,1,0.5,0.5,0.0,1.0,0.013236205665739131,0.013149372484179318
2020-03-18,9047.327071558517,2,1,0.5,0.5,0.0,1.0,0.0122299274363884,0.012155746083129063
2020-03-19,9213.12315794623,2,1,0.5,0.5,0.0,1.0,0.018325421981141288,0.01815953500331454
2020-03-20,9644.42889395621,2,1,0.5,0.5,0.0,1.0,0.04681428095726514,0.04575153406958562
2020-03-21,9511.506150860147,2,1,0.5,0.5,0.0,1.0,-0.013782334294502485,-0.013878192448978722
2020-03-22,9413.680143454949,2,1,0.5,0.5,0.0,1.0,-0.010285017520211714,-0.010338273788712594
2020-03-23,9624.789298435673,2,1,0.5,0.5,0.0,1.0,0.022425783727897608,0.022178023149334987
2020-03-24,9823.994119933646,2,1,0.5,0.5,0.0,1.0,0.020697057911735373,0.020485784001034867
2020-03-25,9504.816957751242,2,1,0.5,0.5,0.0,1.0,-0.03248955142743515,-0.033029054578308424
2020-03-26,9559.557199778954,2,1,0.5,0.5,0.0,1.0,0.0057592105425103846,0.005742689690500886
2020-03-27,9420.681290794239,2,1,0.5,0.5,0.0,1.0,-0.014527441604505142,-0.014633998139309337
2020-03-28,9373.066490357729,2,1,0.5,0.5,0.0,1.0,-0.005054284182507862,-0.005067100279174341
2020-03-29,9254.663081364595,2,1,0.5,0.5,0.0,1.0,-0.012632302258277828,-0.012712768152984047
2020-03-30,9419.821450613495,2,1,0.5,0.5,0.0,1.0,0.0178459623864069,0.017688592716946255
2020-03-31,9500.619148495782,2,1,0.5,0.5,0.0,1.0,0.008577412884723357,0.008540835887342673
2020-04-01,9556.024271080018,2,1,0.5,0.5,0.0,1.0,0.005831738091828242,0.005814799330284784
2020-04-02,9563.590390887817,2,1,0.5,0.5,0.0,1.0,0.0007917643983699207,0.0007914511182904273
2020-04-03,9529.052365344045,2,1,0.5,0.5,0.0,1.0,-0.003611407863795546,-0.0036179447401382117
2020-04-04,9790.762436868188,2,1,0.5,0.5,0.0,1.0,0.027464438381716638,0.027094056941840305
2020-04-05,9725.477833367737,2,1,0.5,0.5,0.0,1.0,-0.006667979528807155,-0.006690309824965814
2020-04-06,9770.727701297163,2,1,0.5,0.5,0.0,1.0,0.004652714108727363,0.0046419236913118
2020-04-07,9901.012031111095,2,1,0.5,0.5,0.0,1.0,0.013334148059067852,0.01324603075535649
2020-04-08,10271.341567839369,2,1,0.5,0.5,0.0,1.0,0.037403200356147304,0.036720667908375415
2020-04-09,9974.3369439738,2,1,0.5,0.5,0.0,1.0,-0.028915855042297545,-0.029342156404515044
2020-04-10,10231.434430699723,2,1,0.5,0.5,0.0,1.0,0.02577589750276621,0.02544929940411126
2020-04-11,10257.35661122539,2,1,0.5,0.5,0.0,1.0,0.0025335822363175,0.0025303781276175786
2020-04-12,10456.512379145277,2,1,0.5,0.5,0.0,1.0,0.019415895875350087,0.019229812166315852
2020-04-13,10424.206397523385,2,1,0.5,0.5,0.0,1.0,-0.003089556101547153,-0.0030943386331395836
2020-04-14,10317.847249093827,2,1,0.5,0.5,0.0,1.0,-0.01020309310594869,-0.010255501449986493
2020-04-15,10117.190239525222,1,0,0.5,0.0,0.5,0.5,-0.019447565439217773,-0.0196391574061124
2020-04-16,10685.899982093399,1,0,0.5,0.0,0.5,0.5,0.05621222188215613,0.05468913278420411
2020-04-17,10632.705928163276,1,0,0.5,0.0,0.5,0.5,-0.004977966668157308,-0.004990398016616976
2020-04-18,11136.92377457034,1,0,0.5,0.0,0.5,0.5,0.047421404279744284,0.04633133828528795
2020-04-19,10859.220806163257,1,0,0.5,0.0,0.5,0.5,-0.024935338880668234,-0.025251491086553418
2020-04-20,10620.961931772978,1,0,0.5,0.0,0.5,0.5,-0.02194069709449631,-0.022184973867970362
2020-04-21,10658.414193097937,1,0,0.5,0.0,0.5,0.5,0.003526258879896771,0.0035200562062645932
2020-04-22,10979.215839011871,1,0,0.5,0.0,0.5,0.5,0.0300984405467819,0.029654371021093306
2020-04-23,11093.47050756081,1,0,0.5,0.0,0.5,0.5,0.010406450717815874,0.010352676354643346
2020-04-24,11128.876592220899,1,0,0.5,0.0,0.5,0.5,0.0031916148004320632,0.003186532409067265
2020-04-25,11128.876592220899,1,0,0.5,0.0,0.5,0.5,0.0,0.0
2020-04-26,11128.876592220899,1,0,0.5,0.0,0.5,0.5,0.0,0.0
2020-04-27,11128.876592220899,1,0,0.5,0.0,0.5,0.5,0.0,0.0
2020-04-28,11128.876592220899,1,0,0.5,0.0,0.5,0.5,0.0,0.0
2020-04-29,11415.219856589836,1,0,0.5,0.0,0.5,0.5,0.025729754660869464,0.025404315036794637
2020-04-30,11036.677064844516,1,0,0.5,0.0,0.5,0.5,-0.033161235306983006,-0.03372353508052362
2020-05-01,11465.628160106802,1,0,0.5,0.0,0.5,0.5,0.03886596416131782,0.038129699138216906
