ranking_metric,rebalance_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,final_value
OI/MCap,1,46.28793502572579,9.0721829390215,7.95976786444762,1.1397547131421373,-9.628368822775798,0.9422346719375096,48.5,1.462879350257258
OI/MCap,3,45.074138270449325,8.864922337176463,8.51041939596691,1.0416551670035852,-11.674676779297826,0.7593291450172074,48.4375,1.4507413827044933
OI/MCap,5,33.06990453057897,6.739484781242577,8.48309583526998,0.7944605262175597,-13.013637384653961,0.5178786362366269,48.25,1.3306990453057896
OI/MCap,7,53.91422950627327,10.3448915849083,8.72722587846372,1.1853585238851803,-12.09560064606729,0.8552606759774094,48.1875,1.5391422950627327
OI/MCap,30,36.22884918560154,7.3126983465959805,8.578325161093245,0.8524622474982086,-14.537289293399496,0.5030303930125567,47.1875,1.3622884918560154
OI/Volume,1,4.54621477574173,1.0200841370476388,24.53867945054728,0.04157045773809511,-52.06709368662186,0.019591724154746505,49.25,1.0454621477574173
OI/Volume,3,8.00601255589819,1.7736934971061435,24.7673454377943,0.07161419464839115,-52.06591757326324,0.03406630632429238,49.0625,1.080060125558982
OI/Volume,5,14.06577846831305,3.0498820502187662,24.92637499756492,0.1223556193195646,-52.305295299838974,0.058309240636830045,49.3125,1.1406577846831305
OI/Volume,7,25.253872470193926,5.27466998260544,25.07372591167785,0.21036642105706405,-51.29339705473692,0.10283331355450412,49.3125,1.2525387247019393
OI/Volume,30,6.633665341071993,1.477031475253443,24.68144397203347,0.0598438031797113,-52.23681236494401,0.028275681619590463,48.5,1.06633665341072
