date,equity,cash,mtm_value,num_positions,long_exposure,short_exposure,daily_return
2025-01-27,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-01-28,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-01-29,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-01-30,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-01-31,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-01,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-02,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-03,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-04,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-05,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-06,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-07,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-08,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-09,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-10,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-11,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-12,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-13,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-14,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-15,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-16,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-17,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-18,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-19,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-20,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-21,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-22,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-23,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-24,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-25,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-26,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-27,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-02-28,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-03-01,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-03-02,100000.0,100000.0,0.0,0,0.0,0.0,0.0
2025-03-03,89985.0,89985.0,0.0,1,0.0,10000.0,-0.10014999999999996
2025-03-04,91058.09486780716,89985.0,1073.094867807155,1,0.0,10000.0,0.011925263852943901
2025-03-05,80918.67807153966,79970.0,948.6780715396592,2,0.0,20000.0,-0.11135107549732193
2025-03-06,101333.34800304424,101333.34800304424,0.0,0,0.0,0.0,0.2522862510612953
2025-03-07,101333.34800304424,101333.34800304424,0.0,0,0.0,0.0,0.0
2025-03-08,101333.34800304424,101333.34800304424,0.0,0,0.0,0.0,0.0
2025-03-09,101333.34800304424,101333.34800304424,0.0,0,0.0,0.0,0.0
2025-03-10,101333.34800304424,101333.34800304424,0.0,0,0.0,0.0,0.0
2025-03-11,91318.34800304424,91318.34800304424,0.0,1,10000.0,0.0,-0.09883222253447232
2025-03-12,92032.63371732995,91318.34800304424,714.285714285714,1,10000.0,0.0,0.007821929873960354
2025-03-13,81541.44324113948,81303.34800304424,238.09523809523725,2,10000.0,10000.0,-0.11399424369852584
2025-03-14,101420.32028449414,101420.32028449414,0.0,0,0.0,0.0,0.2437886337695494
2025-03-15,101420.32028449414,101420.32028449414,0.0,0,0.0,0.0,0.0
2025-03-16,101420.32028449414,101420.32028449414,0.0,0,0.0,0.0,0.0
2025-03-17,101420.32028449414,101420.32028449414,0.0,0,0.0,0.0,0.0
2025-03-18,91405.32028449414,91405.32028449414,0.0,1,0.0,10000.0,-0.09874746965802239
2025-03-19,101142.12412537205,101142.12412537205,0.0,0,0.0,0.0,0.10652338190569899
2025-03-20,91127.12412537205,91127.12412537205,0.0,1,0.0,10000.0,-0.09901907920764819
2025-03-21,90918.89388482223,90918.89388482223,0.0,1,0.0,10000.0,-0.0022850522558282016
2025-03-22,81098.06864210378,80903.89388482223,194.1747572815522,2,0.0,20000.0,-0.10801742985522522
2025-03-23,89233.19271345683,89413.49784521827,-180.30513176144237,1,0.0,10000.0,0.1003121801488811
2025-03-24,78257.79742912951,78257.79742912951,0.0,2,10000.0,10000.0,-0.12299677900768613
2025-03-25,78534.86879964093,78257.79742912951,277.0713705114114,2,10000.0,10000.0,0.0035404953833813035
2025-03-26,88582.71734882705,88369.34024583157,213.37710299548672,1,10000.0,0.0,0.12794124065859602
2025-03-27,88463.856043944,88463.856043944,0.0,1,0.0,10000.0,-0.0013418114553314098
2025-03-28,99226.75545222803,99226.75545222803,0.0,0,0.0,0.0,0.12166437107305828
2025-03-29,99226.75545222803,99226.75545222803,0.0,0,0.0,0.0,0.0
2025-03-30,99226.75545222803,99226.75545222803,0.0,0,0.0,0.0,0.0
2025-03-31,99226.75545222803,99226.75545222803,0.0,0,0.0,0.0,0.0
2025-04-01,99226.75545222803,99226.75545222803,0.0,0,0.0,0.0,0.0
2025-04-02,79196.75545222803,79196.75545222803,0.0,2,0.0,20000.0,-0.20186087823503707
2025-04-03,89794.42408958073,89284.50907541643,509.91501416430606,1,0.0,10000.0,0.13381442935178423
2025-04-04,89029.55156833428,89284.50907541643,-254.95750708215192,1,0.0,10000.0,-0.008518040279242745
2025-04-05,89284.50907541643,89284.50907541643,0.0,1,0.0,10000.0,0.002863740214241739
2025-04-06,100288.50340969405,100288.50340969405,0.0,0,0.0,0.0,0.12324640016761279
2025-04-07,90273.50340969405,90273.50340969405,0.0,1,10000.0,0.0,-0.09986189502785958
2025-04-08,89685.2681155764,90273.50340969405,-588.235294117646,1,10000.0,0.0,-0.006516145623018832
2025-04-09,102302.32693910581,102302.32693910581,0.0,0,0.0,0.0,0.1406815086650568
2025-04-10,102302.32693910581,102302.32693910581,0.0,0,0.0,0.0,0.0
2025-04-11,102302.32693910581,102302.32693910581,0.0,0,0.0,0.0,0.0
2025-04-12,92287.32693910581,92287.32693910581,0.0,1,0.0,10000.0,-0.09789611145366517
2025-04-13,103214.16147147992,103214.16147147992,0.0,0,0.0,0.0,0.11840016278274046
2025-04-14,103214.16147147992,103214.16147147992,0.0,0,0.0,0.0,0.0
2025-04-15,103214.16147147992,103214.16147147992,0.0,0,0.0,0.0,0.0
2025-04-16,103214.16147147992,103214.16147147992,0.0,0,0.0,0.0,0.0
2025-04-17,103214.16147147992,103214.16147147992,0.0,0,0.0,0.0,0.0
2025-04-18,103214.16147147992,103214.16147147992,0.0,0,0.0,0.0,0.0
2025-04-19,93199.16147147992,93199.16147147992,0.0,1,0.0,10000.0,-0.09703125866858242
2025-04-20,92975.86050060614,93199.16147147992,-223.30097087378542,1,0.0,10000.0,-0.0023959547204951415
2025-04-21,102392.4624423537,102392.4624423537,0.0,0,0.0,0.0,0.1012800730323562
2025-04-22,92377.4624423537,92377.4624423537,0.0,1,0.0,10000.0,-0.09780993406265992
2025-04-23,87271.42655328356,92377.4624423537,-5106.035889070146,1,0.0,10000.0,-0.055273610619651525
2025-04-24,98344.19979961308,98344.19979961308,0.0,0,0.0,0.0,0.12687741777165806
2025-04-25,98344.19979961308,98344.19979961308,0.0,0,0.0,0.0,0.0
2025-04-26,88329.19979961308,88329.19979961308,0.0,1,0.0,10000.0,-0.1018362040710753
2025-04-27,88226.27455584277,88329.19979961308,-102.9252437703132,1,0.0,10000.0,-0.0011652459662694348
2025-04-28,87061.59416581027,88329.19979961308,-1267.6056338028175,1,0.0,10000.0,-0.013201060521889296
2025-04-29,97372.87260568026,97372.87260568026,0.0,0,0.0,0.0,0.1184365912279528
2025-04-30,97372.87260568026,97372.87260568026,0.0,0,0.0,0.0,0.0
2025-05-01,97372.87260568026,97372.87260568026,0.0,0,0.0,0.0,0.0
2025-05-02,97372.87260568026,97372.87260568026,0.0,0,0.0,0.0,0.0
2025-05-03,97372.87260568026,97372.87260568026,0.0,0,0.0,0.0,0.0
2025-05-04,97372.87260568026,97372.87260568026,0.0,0,0.0,0.0,0.0
2025-05-05,97372.87260568026,97372.87260568026,0.0,0,0.0,0.0,0.0
2025-05-06,97372.87260568026,97372.87260568026,0.0,0,0.0,0.0,0.0
2025-05-07,97372.87260568026,97372.87260568026,0.0,0,0.0,0.0,0.0
2025-05-08,97372.87260568026,97372.87260568026,0.0,0,0.0,0.0,0.0
2025-05-09,87357.87260568026,87357.87260568026,0.0,1,0.0,10000.0,-0.10285205449937374
2025-05-10,87984.00926455269,87357.87260568026,626.1366588724349,1,0.0,10000.0,0.007167489777351932
2025-05-11,76490.70321103229,77342.87260568026,-852.1693946479613,2,0.0,20000.0,-0.13062948767158378
2025-05-12,74190.54341928917,77342.87260568026,-3152.3291863910918,2,0.0,20000.0,-0.03007110269854818
2025-05-13,72913.85794008932,74399.95822587784,-1486.1002857885164,2,0.0,20000.0,-0.01720819689895836
2025-05-14,94519.57050428118,94519.57050428118,0.0,0,0.0,0.0,0.2963183292529177
2025-05-15,94519.57050428118,94519.57050428118,0.0,0,0.0,0.0,0.0
2025-05-16,94519.57050428118,94519.57050428118,0.0,0,0.0,0.0,0.0
2025-05-17,84504.57050428118,84504.57050428118,0.0,1,0.0,10000.0,-0.10595689280609222
2025-05-18,83013.1541952683,84504.57050428118,-1491.416309012874,1,0.0,10000.0,-0.017648942537815904
2025-05-19,93830.79368024685,93830.79368024685,0.0,0,0.0,0.0,0.1303123533835695
2025-05-20,93830.79368024685,93830.79368024685,0.0,0,0.0,0.0,0.0
2025-05-21,93830.79368024685,93830.79368024685,0.0,0,0.0,0.0,0.0
2025-05-22,93830.79368024685,93830.79368024685,0.0,0,0.0,0.0,0.0
2025-05-23,93830.79368024685,93830.79368024685,0.0,0,0.0,0.0,0.0
2025-05-24,93830.79368024685,93830.79368024685,0.0,0,0.0,0.0,0.0
2025-05-25,93830.79368024685,93830.79368024685,0.0,0,0.0,0.0,0.0
2025-05-26,93830.79368024685,93830.79368024685,0.0,0,0.0,0.0,0.0
2025-05-27,93830.79368024685,93830.79368024685,0.0,0,0.0,0.0,0.0
2025-05-28,93830.79368024685,93830.79368024685,0.0,0,0.0,0.0,0.0
2025-05-29,93830.79368024685,93830.79368024685,0.0,0,0.0,0.0,0.0
2025-05-30,83815.79368024685,83815.79368024685,0.0,1,0.0,10000.0,-0.10673468279644693
