Strategy,Weight,Expected_Return_3Mo,Weight_Pct,Full_Period_Sharpe
Beta Factor (BAB),0.28358549499802577,1.1142092387446232,28.358549499802578,0.1653745172911682
Volatility Factor,0.22972757468737895,0.5538734147021006,22.972757468737896,1.0804866855640245
Breakout Signal,0.08668693031459573,0.32147750922249757,8.668693031459574,0.3869010727740146
Dilution Factor,0.05000000000000329,8.539089421121732,5.0000000000003295,1.034394448565923
Mean Reversion,0.05,1.3451943478189055,5.0,-0.161001842354836
Size Factor,0.05,-0.5186370983521001,5.0,-0.4131904742832302
Carry Factor,0.05,2.536415872584106e-05,5.0,-0.0295314696407655
Kurtosis Factor,0.05,0.0,5.0,0.6172607975012078
Days from High,0.05,0.1339870204974431,5.0,-0.5048500120995021
ADF (Blended),0.05,-0.24671892233525003,5.0,-0.0337356475164904
Leverage Inverted,0.05,0.00662311218730219,5.0,0.7948159800416938
