symbol,category,signal,entry_date,exit_date,entry_price,exit_price,entry_z_score,exit_z_score,position_size,return_pct,pnl,hold_days,exit_reason,market_cap
XRP,Dino Coins,SHORT,2020-04-29,2020-04-30,0.2269,0.2115,2.626557417930641,0.3105250377956875,10000.0,0.06787130894667248,648.7130894667248,1,mean_revert,8474172239.531365
XLM,Dino Coins,SHORT,2020-05-02,2020-05-03,0.075695,0.07317,1.7429766667495674,0.2169100755428471,10000.0,0.0333575533390581,303.575533390581,1,mean_revert,909657060.2573128
XLM,Dino Coins,SHORT,2020-05-13,2020-05-16,0.069995,0.06808,3.232545821454453,-0.1542043014702979,10000.0,0.027359097078362704,243.59097078362703,3,mean_revert,909657060.2573128
ALGO,Dino Coins,SHORT,2020-06-10,2020-06-11,0.2474,0.2302,1.8758562917920083,0.3276967794721122,10000.0,0.06952303961196449,665.2303961196449,1,mean_revert,116782883.78614496
XLM,Dino Coins,SHORT,2020-07-08,2020-07-11,0.085567,0.094165,1.8597179468178584,-0.1604450509168901,10000.0,-0.1004826627087545,-1034.8266270875451,3,mean_revert,909657060.2573128
XLM,Dino Coins,SHORT,2020-07-12,2020-07-13,0.095395,0.090143,1.86071888423752,0.4032319095494772,10000.0,0.055055296399182274,520.5529639918227,1,mean_revert,909657060.2573128
XRP,Dino Coins,SHORT,2020-07-30,2020-08-02,0.2444,0.2881,2.126252291616039,1.5348540343345642,10000.0,-0.17880523731587572,-1818.0523731587573,3,stop_loss,8474172239.531365
XRP,Dino Coins,SHORT,2020-08-02,2020-08-06,0.2881,0.3034,1.5348540343345642,0.0708743913574761,10000.0,-0.053106560222144994,-561.0656022214499,4,mean_revert,8474172239.531365
ALGO,Dino Coins,SHORT,2020-08-13,2020-08-16,0.6707,0.6294,2.511044460155648,-0.3823441082863464,10000.0,0.061577456388847485,585.7745638884749,3,mean_revert,116782883.78614496
ALGO,Dino Coins,SHORT,2020-08-20,2020-08-21,0.627,0.5302,1.6259555724151196,0.0280580164522414,10000.0,0.15438596491228074,1513.8596491228075,1,mean_revert,116782883.78614496
XRP,Dino Coins,SHORT,2020-10-05,2020-10-06,0.2507,0.2454,1.546091921587115,-0.1275579765119969,10000.0,0.02114080574391697,181.40805743916968,1,mean_revert,8474172239.531365
XLM,Dino Coins,SHORT,2020-10-17,2020-10-18,0.081606,0.079468,4.492986594922771,0.2158182765168961,10000.0,0.026199053991128096,231.99053991128096,1,mean_revert,909657060.2573128
XLM,Dino Coins,SHORT,2020-10-20,2020-10-22,0.080918,0.085586,3.176032028910568,-0.3471018062484355,10000.0,-0.0576880298573863,-606.880298573863,2,mean_revert,909657060.2573128
XRP,Dino Coins,SHORT,2020-11-15,2020-11-18,0.2698,0.2936,1.712620011108344,0.6602375437210247,10000.0,-0.08821349147516688,-912.1349147516688,3,stop_loss,8474172239.531365
XRP,Dino Coins,SHORT,2020-11-22,2020-11-23,0.4466,0.6178,5.315637334284964,0.3363764345149405,10000.0,-0.3833407971339007,-3863.407971339007,1,mean_revert,8474172239.531365
XRP,Dino Coins,SHORT,2020-11-24,2020-12-28,0.6943,0.2471,3.779743164883427,,10000.0,0.6441019732104278,6411.019732104279,34,time_based,8474172239.531365
ALGO,Dino Coins,SHORT,2020-12-29,2020-12-30,0.3462,0.3355,2.491250462030167,0.4240293774230033,10000.0,0.030906990179087157,279.0699017908716,1,mean_revert,116782883.78614496
