symbol,original_weight_pct,final_weight_pct,weight_change_pct,target_notional,target_side,adf_weight_pct,breakout_weight_pct
PAXG/USDC:USDC,9.11,9.11,0.00,91.03,LONG,4.17,4.94
TRX/USDC:USDC,5.58,5.58,0.00,55.75,LONG,0.00,5.58
BTC/USDC:USDC,4.45,4.45,0.00,44.47,LONG,0.00,4.45
BNB/USDC:USDC,3.55,3.55,0.00,35.52,LONG,1.63,1.93
YZY/USDC:USDC,-3.02,-3.02,0.00,-30.22,SHORT,0.00,-3.02
AVAX/USDC:USDC,2.64,2.64,0.00,26.41,LONG,1.21,1.43
ETHFI/USDC:USDC,2.23,2.23,0.00,22.28,LONG,1.02,1.21
TAO/USDC:USDC,2.17,2.17,0.00,21.70,LONG,0.99,1.18
MERL/USDC:USDC,2.16,2.16,0.00,21.54,LONG,0.99,1.17
HEMI/USDC:USDC,2.14,2.14,0.00,21.39,LONG,0.98,1.16
UNI/USDC:USDC,-2.11,-2.11,0.00,-21.09,SHORT,-1.17,-0.94
ATOM/USDC:USDC,-2.11,-2.11,0.00,-21.07,SHORT,-1.17,-0.94
IMX/USDC:USDC,2.09,2.09,0.00,20.91,LONG,0.96,1.14
NEAR/USDC:USDC,2.08,2.08,0.00,20.79,LONG,0.00,2.08
BCH/USDC:USDC,-2.07,-2.07,0.00,-20.67,SHORT,-2.07,0.00
W/USDC:USDC,2.03,2.03,0.00,20.28,LONG,0.93,1.10
SOL/USDC:USDC,2.02,2.02,0.00,20.16,LONG,0.00,2.02
ENS/USDC:USDC,-2.00,-2.00,0.00,-19.94,SHORT,-1.11,-0.89
TRB/USDC:USDC,-1.89,-1.89,0.00,-18.92,SHORT,-1.05,-0.84
SUSHI/USDC:USDC,-1.81,-1.81,0.00,-18.09,SHORT,-1.01,-0.80
EIGEN/USDC:USDC,1.76,1.76,0.00,17.64,LONG,0.81,0.96
CAKE/USDC:USDC,1.75,1.75,0.00,17.46,LONG,0.80,0.95
KBONK/USDC:USDC,-1.66,-1.66,0.00,-16.61,SHORT,-0.92,-0.74
POPCAT/USDC:USDC,-1.66,-1.66,0.00,-16.54,SHORT,-0.92,-0.74
HYPE/USDC:USDC,1.65,1.65,0.00,16.54,LONG,0.00,1.65
APE/USDC:USDC,-1.65,-1.65,0.00,-16.53,SHORT,-0.92,-0.73
XPL/USDC:USDC,1.63,1.63,0.00,16.27,LONG,0.74,0.88
LINK/USDC:USDC,1.62,1.62,0.00,16.19,LONG,0.00,1.62
PUMP/USDC:USDC,-1.55,-1.55,0.00,-15.46,SHORT,-0.86,-0.69
ZEC/USDC:USDC,1.52,1.52,0.00,15.16,LONG,0.69,0.82
YGG/USDC:USDC,-1.49,-1.49,0.00,-14.86,SHORT,-0.83,-0.66
POL/USDC:USDC,-1.48,-1.48,0.00,-14.79,SHORT,-1.48,0.00
AAVE/USDC:USDC,-1.47,-1.47,0.00,-14.70,SHORT,-1.47,0.00
OM/USDC:USDC,-1.44,-1.44,0.00,-14.35,SHORT,-0.80,-0.64
KAITO/USDC:USDC,-1.40,-1.40,0.00,-14.01,SHORT,0.00,-1.40
FXS/USDC:USDC,-1.36,-1.36,0.00,-13.63,SHORT,-0.76,-0.61
KSHIB/USDC:USDC,-1.35,-1.35,0.00,-13.49,SHORT,0.00,-1.35
WLD/USDC:USDC,1.35,1.35,0.00,13.47,LONG,0.00,1.35
GRIFFAIN/USDC:USDC,-1.35,-1.35,0.00,-13.46,SHORT,-0.75,-0.60
ETC/USDC:USDC,-1.30,-1.30,0.00,-12.98,SHORT,-1.30,0.00
SNX/USDC:USDC,1.21,1.21,0.00,12.12,LONG,0.55,0.66
APT/USDC:USDC,1.19,1.19,0.00,11.92,LONG,1.19,0.00
ADA/USDC:USDC,-1.13,-1.13,0.00,-11.32,SHORT,0.00,-1.13
STRK/USDC:USDC,1.11,1.11,0.00,11.09,LONG,0.00,1.11
SYRUP/USDC:USDC,-1.11,-1.11,0.00,-11.04,SHORT,0.00,-1.11
BIO/USDC:USDC,1.10,1.10,0.00,11.00,LONG,0.00,1.10
ONDO/USDC:USDC,-1.08,-1.08,0.00,-10.80,SHORT,0.00,-1.08
TON/USDC:USDC,-1.08,-1.08,0.00,-10.77,SHORT,0.00,-1.08
