Strategy,Portfolio Size,Factor,Weighting,avg_return,avg_drawdown,stdev_return,stdev_downside_return,sharpe_ratio,sortino_ratio,information_coefficient,total_return,annualized_return,max_drawdown,win_rate,calmar_ratio,num_days,final_value
Volatility Factor - Top/Bottom 5,Top/Bottom 5,Volatility,Risk Parity,1.24252823157385,-0.1719399876092831,0.5425509326490938,0.35026602074430313,1.7041292976800224,2.6396421150023275,-0.00509885406578747,21.460514031498395,0.9245769398109414,-0.6312867626882719,0.5279538904899136,1.4645910455554658,1736,224605.14031498396
Volatility Factor - Top/Bottom 10,Top/Bottom 10,Volatility,Risk Parity,1.1435151747635173,-0.12266636453637551,0.5024903925701938,0.2759905034340502,1.745885413315084,3.178698671887115,0.007464669557058864,18.955857620595552,0.8772906467192716,-0.38409938663727605,0.5193083573487032,2.2840199105752292,1736,199558.57620595553
Volatility Factor - Top/Bottom Decile,Top/Bottom Decile,Volatility,Risk Parity,1.1435151747635173,-0.12266636453637551,0.5024903925701938,0.2759905034340502,1.745885413315084,3.178698671887115,0.007464669557058864,18.955857620595552,0.8772906467192716,-0.38409938663727605,0.5193083573487032,2.2840199105752292,1736,199558.57620595553
Volatility Factor - Top/Bottom Quintile,Top/Bottom Quintile,Volatility,Risk Parity,0.6777928925868959,-0.11746615217278655,0.43977863902500697,0.22309371104309153,1.183345513600112,2.3326972196311067,-0.012598393661901805,6.325593789998781,0.5204100794674051,-0.3519086394604155,0.4968299711815562,1.4788215494378152,1736,73255.93789998781
Beta Factor - Top/Bottom 5,Top/Bottom 5,Beta,Risk Parity,0.5311835654971921,-0.19955695016444677,0.5568156003813415,0.3462230008363627,0.5433054046079497,0.8737747761599043,-0.029056928424496378,2.431664670221868,0.3025209250572032,-0.4660239255461372,0.5055783910745743,0.6491532053910676,1704,34316.64670221868
Beta Factor - Top/Bottom 10,Top/Bottom 10,Beta,Risk Parity,0.5381601856765157,-0.1665004867381845,0.5355513226979968,0.28337218870103537,0.5919915424277266,1.118817817043024,-0.015282912050719698,2.6138292908008474,0.31704185357319625,-0.3927383512224087,0.4926600117439812,0.8072597254288891,1704,36138.29290800847
Beta Factor - Top/Bottom Decile,Top/Bottom Decile,Beta,Risk Parity,0.5381601856765157,-0.1665004867381845,0.5355513226979968,0.28337218870103537,0.5919915424277266,1.118817817043024,-0.015282912050719698,2.6138292908008474,0.31704185357319625,-0.3927383512224087,0.4926600117439812,0.8072597254288891,1704,36138.29290800847
Beta Factor - Top/Bottom Quintile,Top/Bottom Quintile,Beta,Risk Parity,0.40877241363029126,-0.16414045695974108,0.4536092059502479,0.23623701671302158,0.5788366851326072,1.1114500715052535,-0.012012020707581561,1.9674261113394251,0.2625656491178756,-0.3265065419144672,0.4938344098649442,0.804166579874097,1704,29674.261113394252
Carry Factor - Top/Bottom 5,Top/Bottom 5,Carry,Risk Parity,0.1310144495296106,-0.17234809306179813,0.29391857576352465,0.17052587805326314,0.2852255324069127,0.49161501593469503,-0.003209412964881719,0.47455809171490054,0.08383308225643282,-0.47257429089549063,0.49119818285065303,0.17739662074628693,1762,14745.580917149005
Carry Factor - Top/Bottom 10,Top/Bottom 10,Carry,Risk Parity,0.12218461270104863,-0.19098169523500969,0.2526871155234431,0.15055144726270056,0.35130828978198,0.5896394888159645,0.010348015889162112,0.5072506531333524,0.0887710784044824,-0.44600905760429516,0.4997160704145372,0.19903425029372657,1762,15072.506531333524
