,size_rebalance_1d,size_rebalance_10d,volatility_rebalance_10d,size_rebalance_2d,size_rebalance_5d,size_rebalance_3d,size_rebalance_7d,volatility_rebalance_30d,volatility_rebalance_5d,volatility_rebalance_3d
size_rebalance_1d,1.0,0.9900694851533011,-0.01615686912918797,0.9979556431814649,0.9959695404697129,0.9963980669629471,0.9919091217707028,-0.034537200139542215,-0.00951856247313627,-0.021179010300260592
size_rebalance_10d,0.9900694851533011,1.0,-0.013131749179265486,0.9926139902180325,0.9947362251859685,0.99247886872704,0.9953990330893788,-0.03202887910417975,-0.009450225350771847,-0.021066197486221273
volatility_rebalance_10d,-0.01615686912918797,-0.013131749179265486,1.0,-0.015902854391543417,-0.016251816284999294,-0.014060919113867122,-0.01243718617655046,0.7907856441377122,0.9006153199290463,0.8736811929861444
size_rebalance_2d,0.9979556431814649,0.9926139902180325,-0.015902854391543417,1.0,0.9973453859997287,0.9976025892312765,0.9934600472763141,-0.03495078858188248,-0.00933763648742086,-0.021650770117831345
size_rebalance_5d,0.9959695404697129,0.9947362251859685,-0.016251816284999294,0.9973453859997287,1.0,0.9967789045486465,0.9941352808059674,-0.03531634967911728,-0.009861038295173666,-0.020279280418450302
size_rebalance_3d,0.9963980669629471,0.99247886872704,-0.014060919113867122,0.9976025892312765,0.9967789045486465,1.0,0.9919949388092258,-0.033451151503628034,-0.0069258406584831395,-0.019650075300519463
size_rebalance_7d,0.9919091217707028,0.9953990330893788,-0.01243718617655046,0.9934600472763141,0.9941352808059674,0.9919949388092258,1.0,-0.031226006783651485,-0.008339017250391883,-0.020908743534121598
volatility_rebalance_30d,-0.034537200139542215,-0.03202887910417975,0.7907856441377122,-0.03495078858188248,-0.03531634967911728,-0.033451151503628034,-0.031226006783651485,1.0,0.7123372375391114,0.7165494995669146
volatility_rebalance_5d,-0.00951856247313627,-0.009450225350771847,0.9006153199290463,-0.00933763648742086,-0.009861038295173666,-0.0069258406584831395,-0.008339017250391883,0.7123372375391114,1.0,0.9414493054956707
volatility_rebalance_3d,-0.021179010300260592,-0.021066197486221273,0.8736811929861444,-0.021650770117831345,-0.020279280418450302,-0.019650075300519463,-0.020908743534121598,0.7165494995669146,0.9414493054956707,1.0
