,size_rebalance_1d,size_rebalance_10d,volatility_rebalance_10d,size_rebalance_2d,size_rebalance_5d,size_rebalance_3d,size_rebalance_7d,volatility_rebalance_30d,volatility_rebalance_5d,volatility_rebalance_3d
size_rebalance_1d,0.15627463604296085,0.15705371039955213,-0.0018799172757461026,0.15695211322440913,0.1565070332920441,0.15656825852706593,0.1571381103930542,-0.003813542204015207,-0.0011261049442587894,-0.002491501066341917
size_rebalance_10d,0.15705371039955213,0.1610187887236643,-0.0015509512254184231,0.1584639038153872,0.1586681528628202,0.1583019057015008,0.16006666128379266,-0.003589857417273029,-0.0011348636745921918,-0.002515565306941573
volatility_rebalance_10d,-0.0018799172757461026,-0.0015509512254184231,0.08663124728933941,-0.001862190244771222,-0.0019014405102519452,-0.001645044271692688,-0.0014669820955182503,0.06501195736724685,0.07933044062063978,0.07652466525176196
size_rebalance_2d,0.15695211322440913,0.1584639038153872,-0.001862190244771222,0.15827902347612333,0.15772510250275354,0.15775961778529318,0.1583898989040845,-0.003883880346217761,-0.001111762181204105,-0.0025632808776387644
size_rebalance_5d,0.1565070332920441,0.1586681528628202,-0.0019014405102519452,0.15772510250275354,0.1580109225736002,0.15749580450989023,0.15836326070674395,-0.003921177882678625,-0.0011730849209981684,-0.0023988730352951294
size_rebalance_3d,0.15656825852706593,0.1583019057015008,-0.001645044271692688,0.15775961778529318,0.15749580450989023,0.15799858346880238,0.15801613946906914,-0.0037139397206515045,-0.0008238769353212306,-0.0023243524554135003
size_rebalance_7d,0.1571381103930542,0.16006666128379266,-0.0014669820955182503,0.1583898989040845,0.15836326070674395,0.15801613946906914,0.16059454467434742,-0.0034952562873801513,-0.0010001002112327846,-0.002493472010406613
volatility_rebalance_30d,-0.003813542204015207,-0.003589857417273029,0.06501195736724685,-0.003883880346217761,-0.003921177882678625,-0.0037139397206515045,-0.0034952562873801513,0.07801791923960864,0.05954510727405368,0.05955998044168612
volatility_rebalance_5d,-0.0011261049442587894,-0.0011348636745921918,0.07933044062063978,-0.001111762181204105,-0.0011730849209981684,-0.0008238769353212306,-0.0010001002112327846,0.05954510727405368,0.08956256133079081,0.08384387845343945
volatility_rebalance_3d,-0.002491501066341917,-0.002515565306941573,0.07652466525176196,-0.0025632808776387644,-0.0023988730352951294,-0.0023243524554135003,-0.002493472010406613,0.05955998044168612,0.08384387845343945,0.08855688575969412
