date,portfolio_value,method
2020-01-02,9966.136150628472,Top/Bottom 5
2020-01-03,10161.751763260181,Top/Bottom 5
2020-01-04,10175.232815343572,Top/Bottom 5
2020-01-05,10332.34016884563,Top/Bottom 5
2020-01-06,10268.95787030643,Top/Bottom 5
2020-01-07,10368.654026806536,Top/Bottom 5
2020-01-08,10146.818383684113,Top/Bottom 5
2020-01-09,10117.518916609957,Top/Bottom 5
2020-01-10,10505.249576647231,Top/Bottom 5
2020-01-11,10515.668058341647,Top/Bottom 5
2020-01-12,10608.803894861789,Top/Bottom 5
2020-01-13,10682.84219121602,Top/Bottom 5
2020-01-14,11285.610428783237,Top/Bottom 5
2020-01-15,11630.867148950036,Top/Bottom 5
2020-01-16,11527.966897912243,Top/Bottom 5
2020-01-17,11262.074558274995,Top/Bottom 5
2020-01-18,11048.773731553061,Top/Bottom 5
2020-01-19,11229.006435302856,Top/Bottom 5
2020-01-20,11217.381961651865,Top/Bottom 5
2020-01-21,11151.47294944639,Top/Bottom 5
2020-01-22,11193.470466975205,Top/Bottom 5
2020-01-23,11216.692411846638,Top/Bottom 5
2020-01-24,11219.214197885567,Top/Bottom 5
2020-01-25,11217.718989657347,Top/Bottom 5
2020-01-26,11393.458730560209,Top/Bottom 5
2020-01-27,11513.855216318296,Top/Bottom 5
2020-01-28,11629.212406516908,Top/Bottom 5
2020-01-29,11652.833846421474,Top/Bottom 5
2020-01-30,11778.724167183385,Top/Bottom 5
2020-01-31,11723.749773156598,Top/Bottom 5
2020-02-01,11738.735444032713,Top/Bottom 5
2020-02-02,11594.795814018391,Top/Bottom 5
2020-02-03,11584.474164822319,Top/Bottom 5
2020-02-04,11236.623555927128,Top/Bottom 5
2020-02-05,11642.957518651468,Top/Bottom 5
2020-02-06,11462.29881937433,Top/Bottom 5
2020-02-07,11260.566219750039,Top/Bottom 5
2020-02-08,11415.798413859517,Top/Bottom 5
2020-02-09,11194.671305610776,Top/Bottom 5
2020-02-10,11205.44972911482,Top/Bottom 5
2020-02-11,10991.844822507486,Top/Bottom 5
2020-02-12,11001.856288397303,Top/Bottom 5
2020-02-13,10958.947324049414,Top/Bottom 5
2020-02-14,10753.210081113988,Top/Bottom 5
2020-02-15,10728.428736210742,Top/Bottom 5
2020-02-16,10625.570779019043,Top/Bottom 5
2020-02-17,10823.325520637822,Top/Bottom 5
2020-02-18,10735.709673456353,Top/Bottom 5
2020-02-19,10593.489669317762,Top/Bottom 5
2020-02-20,10331.713598850125,Top/Bottom 5
2020-02-21,10463.25356540145,Top/Bottom 5
2020-02-22,10415.695165093817,Top/Bottom 5
2020-02-23,10520.66480483375,Top/Bottom 5
2020-02-24,10465.97464459079,Top/Bottom 5
2020-02-25,10690.104799152667,Top/Bottom 5
2020-02-26,10456.520695333515,Top/Bottom 5
2020-02-27,10332.222329953702,Top/Bottom 5
2020-02-28,10316.189069395565,Top/Bottom 5
2020-02-29,10352.037618922792,Top/Bottom 5
2020-03-01,10445.580050738608,Top/Bottom 5
2020-03-02,10305.641139183448,Top/Bottom 5
2020-03-03,10143.797705113411,Top/Bottom 5
2020-03-04,9968.992560142564,Top/Bottom 5
2020-03-05,10072.095495503983,Top/Bottom 5
2020-03-06,10193.180798528063,Top/Bottom 5
2020-03-07,10303.850332386144,Top/Bottom 5
2020-03-08,10201.888528165387,Top/Bottom 5
2020-03-09,10118.747595103683,Top/Bottom 5
2020-03-10,10042.602064032915,Top/Bottom 5
2020-03-11,10134.986422740922,Top/Bottom 5
2020-03-12,10005.581665220425,Top/Bottom 5
2020-03-13,10340.975972748805,Top/Bottom 5
2020-03-14,10302.229903963858,Top/Bottom 5
2020-03-15,10486.392014607462,Top/Bottom 5
2020-03-16,10667.275826998688,Top/Bottom 5
2020-03-17,10622.495293615037,Top/Bottom 5
2020-03-18,11003.122160511695,Top/Bottom 5
2020-03-19,11048.021129608023,Top/Bottom 5
2020-03-20,11233.955685327308,Top/Bottom 5
2020-03-21,11262.899819933536,Top/Bottom 5
2020-03-22,11237.037161756953,Top/Bottom 5
2020-03-23,11367.438614203249,Top/Bottom 5
2020-03-24,11418.31809330448,Top/Bottom 5
2020-03-25,11286.932308205423,Top/Bottom 5
2020-03-26,11159.281449737508,Top/Bottom 5
2020-03-27,11165.852729042563,Top/Bottom 5
2020-03-28,11146.37437965305,Top/Bottom 5
2020-03-29,11138.192268204532,Top/Bottom 5
2020-03-30,11220.09365767041,Top/Bottom 5
2020-03-31,11100.133369582818,Top/Bottom 5
2020-04-01,11203.585995703737,Top/Bottom 5
2020-04-02,11269.25873734353,Top/Bottom 5
2020-04-03,11271.359270393788,Top/Bottom 5
2020-04-04,11164.833187203763,Top/Bottom 5
2020-04-05,11119.422532232747,Top/Bottom 5
2020-04-06,11155.03393438884,Top/Bottom 5
2020-04-07,11047.432472257271,Top/Bottom 5
2020-04-08,10831.846759075886,Top/Bottom 5
2020-04-09,10746.795158513336,Top/Bottom 5
2020-04-10,10720.800829243919,Top/Bottom 5
2020-04-11,10645.224248394285,Top/Bottom 5
2020-04-12,10638.477510227749,Top/Bottom 5
2020-04-13,10595.63395016455,Top/Bottom 5
2020-04-14,10612.444257703046,Top/Bottom 5
2020-04-15,10626.933613728877,Top/Bottom 5
2020-04-16,10704.677501112334,Top/Bottom 5
2020-04-17,10688.840269068776,Top/Bottom 5
2020-04-18,10693.388370352135,Top/Bottom 5
2020-04-19,10762.304551102668,Top/Bottom 5
2020-04-20,10631.395450072356,Top/Bottom 5
2020-04-21,10586.992290463826,Top/Bottom 5
2020-04-22,10647.831549394434,Top/Bottom 5
2020-04-23,10510.182675746688,Top/Bottom 5
2020-04-24,10437.192684366708,Top/Bottom 5
2020-04-25,10514.773991123093,Top/Bottom 5
2020-04-26,10416.753529360529,Top/Bottom 5
2020-04-27,10320.723945730453,Top/Bottom 5
2020-04-28,10239.440816767044,Top/Bottom 5
2020-04-29,10354.138727237867,Top/Bottom 5
2020-04-30,10500.713923279269,Top/Bottom 5
2020-05-01,10398.002832540706,Top/Bottom 5
2020-05-02,10385.58798458215,Top/Bottom 5
2020-05-03,10451.742851034183,Top/Bottom 5
2020-05-04,10367.357539289598,Top/Bottom 5
2020-05-05,10390.452505521955,Top/Bottom 5
2020-05-06,10411.974897672284,Top/Bottom 5
2020-05-07,10103.123081012052,Top/Bottom 5
2020-05-08,9758.730672121657,Top/Bottom 5
2020-05-09,9610.946395153753,Top/Bottom 5
2020-05-10,9522.844808877586,Top/Bottom 5
2020-05-11,9708.537701286137,Top/Bottom 5
2020-05-12,9570.758488497584,Top/Bottom 5
2020-05-13,9698.983450713584,Top/Bottom 5
2020-05-14,9805.753622211261,Top/Bottom 5
2020-05-15,9634.467846206271,Top/Bottom 5
2020-05-16,9627.518855666143,Top/Bottom 5
2020-05-17,9730.25233164364,Top/Bottom 5
2020-05-18,9778.510821064381,Top/Bottom 5
2020-05-19,9828.24349562895,Top/Bottom 5
2020-05-20,9654.581426879804,Top/Bottom 5
2020-05-21,9745.472451242338,Top/Bottom 5
2020-05-22,9677.635722825939,Top/Bottom 5
2020-05-23,9741.386112261784,Top/Bottom 5
2020-05-24,9751.535983561116,Top/Bottom 5
2020-05-25,9673.404016751841,Top/Bottom 5
2020-05-26,9533.37331208785,Top/Bottom 5
2020-05-27,9662.150641531987,Top/Bottom 5
2020-05-28,9697.678879954237,Top/Bottom 5
2020-05-29,9702.929212835106,Top/Bottom 5
2020-05-30,9785.115222238286,Top/Bottom 5
2020-05-31,9739.702064846413,Top/Bottom 5
2020-06-01,9752.672314647649,Top/Bottom 5
2020-06-02,9600.815091523787,Top/Bottom 5
2020-06-03,9611.398285995476,Top/Bottom 5
2020-06-04,9671.95022066672,Top/Bottom 5
2020-06-05,9734.971072652099,Top/Bottom 5
2020-06-06,9694.47757981701,Top/Bottom 5
2020-06-07,9750.062358166097,Top/Bottom 5
2020-06-08,9710.105355476006,Top/Bottom 5
2020-06-09,9602.785715891887,Top/Bottom 5
2020-06-10,9530.17093670647,Top/Bottom 5
2020-06-11,9623.332799068874,Top/Bottom 5
2020-06-12,9607.187390708514,Top/Bottom 5
2020-06-13,9579.301691695919,Top/Bottom 5
2020-06-14,9605.310133980907,Top/Bottom 5
2020-06-15,9624.620739859143,Top/Bottom 5
2020-06-16,9611.6852619469,Top/Bottom 5
2020-06-17,9540.631133049335,Top/Bottom 5
2020-06-18,9566.74248507438,Top/Bottom 5
2020-06-19,9578.805575275912,Top/Bottom 5
2020-06-20,9535.023762305365,Top/Bottom 5
2020-06-21,9518.000143276091,Top/Bottom 5
2020-06-22,9537.627122532913,Top/Bottom 5
2020-06-23,9434.367827401104,Top/Bottom 5
2020-06-24,9447.182747322462,Top/Bottom 5
2020-06-25,9457.53401044341,Top/Bottom 5
2020-06-26,9476.748545560948,Top/Bottom 5
2020-06-27,9544.656957437537,Top/Bottom 5
2020-06-28,9544.269666303939,Top/Bottom 5
2020-06-29,9514.049555728772,Top/Bottom 5
2020-06-30,9505.490628147601,Top/Bottom 5
2020-07-01,9475.99473894634,Top/Bottom 5
2020-07-02,9406.341807824825,Top/Bottom 5
2020-07-03,9324.103218913275,Top/Bottom 5
2020-07-04,9283.730835000551,Top/Bottom 5
2020-07-05,9198.78281713322,Top/Bottom 5
2020-07-06,9210.715211688144,Top/Bottom 5
2020-07-07,9055.72235640731,Top/Bottom 5
2020-07-08,8685.494624558316,Top/Bottom 5
2020-07-09,8677.320987146182,Top/Bottom 5
2020-07-10,8702.281393968897,Top/Bottom 5
2020-07-11,8495.910426963175,Top/Bottom 5
2020-07-12,8337.209000303063,Top/Bottom 5
2020-07-13,8455.604529124594,Top/Bottom 5
2020-07-14,8308.845208944147,Top/Bottom 5
2020-07-15,8166.1295266991765,Top/Bottom 5
2020-07-16,7854.5935195043685,Top/Bottom 5
2020-07-17,7862.546292465025,Top/Bottom 5
2020-07-18,7851.689794701191,Top/Bottom 5
2020-07-19,7818.217283910091,Top/Bottom 5
2020-07-20,8009.753761074268,Top/Bottom 5
2020-07-21,8119.854292179094,Top/Bottom 5
2020-07-22,8239.201651754382,Top/Bottom 5
2020-07-23,8249.85493645701,Top/Bottom 5
2020-07-24,8359.2861364453,Top/Bottom 5
2020-07-25,8484.405717479549,Top/Bottom 5
2020-07-26,8541.907730325167,Top/Bottom 5
2020-07-27,9033.579088911914,Top/Bottom 5
2020-07-28,8960.430617641327,Top/Bottom 5
2020-07-29,8984.164068163667,Top/Bottom 5
2020-07-30,8926.873064955007,Top/Bottom 5
2020-07-31,8965.21463759024,Top/Bottom 5
2020-08-01,9020.240159822984,Top/Bottom 5
2020-08-02,8855.36431976946,Top/Bottom 5
2020-08-03,8766.016676349724,Top/Bottom 5
2020-08-04,8569.274130072208,Top/Bottom 5
2020-08-05,8750.4646840643,Top/Bottom 5
2020-08-06,8696.33687721755,Top/Bottom 5
2020-08-07,8658.055313057066,Top/Bottom 5
2020-08-08,8275.226188206814,Top/Bottom 5
2020-08-09,8166.967759404166,Top/Bottom 5
2020-08-10,8026.210563654039,Top/Bottom 5
2020-08-11,8015.892764994498,Top/Bottom 5
2020-08-12,7666.397742185156,Top/Bottom 5
2020-08-13,7569.552852182473,Top/Bottom 5
2020-08-14,7435.779093888409,Top/Bottom 5
2020-08-15,7458.21190675829,Top/Bottom 5
2020-08-16,7320.575240579671,Top/Bottom 5
2020-08-17,7585.856683250429,Top/Bottom 5
2020-08-18,7586.7724009768435,Top/Bottom 5
2020-08-19,7533.125277912618,Top/Bottom 5
2020-08-20,7379.335830047265,Top/Bottom 5
2020-08-21,7401.446399315585,Top/Bottom 5
2020-08-22,7259.99259191092,Top/Bottom 5
2020-08-23,7222.238489419874,Top/Bottom 5
2020-08-24,7258.366286429711,Top/Bottom 5
2020-08-25,7330.7307982588345,Top/Bottom 5
