rank,symbol,name,price,market_cap,circulating_supply,total_supply,max_supply,effective_max_supply,circulating_pct,potential_dilution_pct,locked_tokens,volume_24h,market_cap_dominance,timestamp
1,BTC,Bitcoin,102980.54956059552,2054033564647.7085,19945840.0,19945840.0,21000000.0,21000000.0,94.98019047619047,5.285112083522178,1054160.0,91159703699.50255,59.1379,2025-11-08T01:49:16.629420
2,ETH,Ethereum,3435.7712519367774,414686652997.7142,120696816.69405416,120696816.69405416,,120696816.69405416,100.0,0.0,0.0,42406329345.7495,11.9393,2025-11-08T01:49:16.629431
3,USDT,Tether USDt,0.9991794362426105,183297436442.26016,183447967195.50757,185951181465.57034,,185951181465.57034,98.6538325541501,1.364536390525932,2503214270.0627747,169163288455.29944,5.2773,2025-11-08T01:49:16.629434
4,XRP,XRP,2.309090446130812,138792959501.83795,60107199237.0,99985774127.0,100000000000.0,100000000000.0,60.107199236999996,66.36942208154547,39892800763.0,5958025142.343988,3.996,2025-11-08T01:49:16.629436
5,BNB,BNB,990.4782246500625,136425914318.24004,137737419.07999998,137737419.07999998,137737419.07999998,137737419.07999998,100.0,0.0,0.0,3605476357.562552,3.9279,2025-11-08T01:49:16.629438
6,SOL,Solana,161.62743529947323,89455815704.62207,553469251.9179856,613544429.149852,,613544429.149852,90.20850416405725,10.854293535491392,60075177.23186648,6423634272.637411,2.5755,2025-11-08T01:49:16.629440
7,USDC,USDC,0.9997296358563258,75754087074.7634,75774573802.52179,75774573802.52179,,75774573802.52179,100.0,0.0,0.0,20956879166.200382,2.1808,2025-11-08T01:49:16.629442
8,TRX,TRON,0.29292833810498464,27730417875.088947,94666217869.13101,94666213647.14711,,94666213647.14711,100.0000044598635,-4.459863293381084e-06,-4221.983901977539,919377782.048586,0.7983,2025-11-08T01:49:16.629444
9,DOGE,Dogecoin,0.18037095924121926,27358866657.198338,151681106383.70523,151681106383.70523,,151681106383.70523,100.0,0.0,0.0,3015257742.1841598,0.7877,2025-11-08T01:49:16.629445
10,ADA,Cardano,0.5827782739035149,20902090977.939056,35866283823.40763,44994566647.19702,45000000000.0,45000000000.0,79.70285294090584,25.46602324780405,9133716176.59237,1289722164.440838,0.6017,2025-11-08T01:49:16.629448
11,HYPE,Hyperliquid,42.56123501425246,14329738731.684057,336685219.0,999533278.0,999533278.0,999533278.0,33.68424307729752,196.87471311296264,662848059.0,651280625.7533816,0.4126,2025-11-08T01:49:16.629449
12,LINK,Chainlink,15.791848525903374,11004549178.66749,696849970.4525867,1000000000.0,1000000000.0,1000000000.0,69.68499704525867,43.50291201856907,303150029.54741335,1058089965.1310418,0.3168,2025-11-08T01:49:16.629451
13,ZEC,Zcash,646.8811086825336,10535260285.956245,16286238.9155448,16286238.9155448,21000000.0,21000000.0,77.55351864545143,28.94321462984332,4713761.0844552,4317593259.04281,0.3033,2025-11-08T01:49:16.629453
14,BCH,Bitcoin Cash,511.9029161116727,10212456777.641418,19949987.5,19949987.5,21000000.0,21000000.0,94.99994047619047,5.26322384913775,1050012.5,801828560.441209,0.2943,2025-11-08T01:49:16.629454
