date,symbol,open,high,low,close,volume
2025-07-20,ADA/USD,0.8313,0.8789,0.8236,0.8584,69160873.25485794
2025-07-20,ADA/USDC,0.8313,0.8789,0.8236,0.8584,69160873.25485794
2025-07-20,AVAX/USD,24.52,25.56,24.31,25.05,613987.07880407
2025-07-20,AVAX/USDC,24.52,25.56,24.31,25.05,613987.07880407
2025-07-20,BONK/USD,3.311e-05,3.533e-05,3.237e-05,3.281e-05,1761097203318.0
2025-07-20,BTC/USD,117914.17,118921.76,116525.0,117312.7,2504.59032125
2025-07-20,BTC/USDC,117914.17,118921.76,116525.0,117312.7,2504.59032125
2025-07-20,BTC/USDT,117765.33,118854.97,116458.3,117277.04,88.39311161
2025-07-20,CLANKER/USD,38.75,43.2,37.7,40.41,6074.7147
2025-07-20,CLANKER/USDC,38.75,43.2,37.7,40.41,6074.7147
2025-07-20,DIA/USD,0.59968,0.93,0.4875,0.84042,35880438.29
2025-07-20,DIA/USDC,0.59968,0.93,0.4875,0.84042,35880438.29
2025-07-20,DOGE/USD,0.24155,0.27843,0.24008,0.27386,706835321.7
2025-07-20,DOGE/USDC,0.24155,0.27843,0.24008,0.27386,706835321.7
2025-07-20,ENA/USD,0.4345,0.5259,0.4281,0.4922,26553918.1
2025-07-20,ENA/USDC,0.4345,0.5259,0.4281,0.4922,26553918.1
2025-07-20,ETH/USD,3594.31,3825.36,3581.22,3758.6,146787.12978622
2025-07-20,ETH/USDC,3594.31,3825.36,3581.22,3758.6,146787.12978622
2025-07-20,ETH/USDT,3591.28,3824.51,3579.32,3755.29,7356.44295517
2025-07-20,HBAR/USD,0.26672,0.28375,0.26416,0.271,315341021.4
2025-07-20,HBAR/USDC,0.26672,0.28375,0.26416,0.271,315341021.4
2025-07-20,LINK/USD,18.399,19.95,18.33,19.288,2781111.21
2025-07-20,LINK/USDC,18.399,19.95,18.33,19.288,2781111.21
2025-07-20,LTC/USD,113.21,121.51,110.62,116.64,417699.01979394
2025-07-20,LTC/USDC,113.21,121.51,110.62,116.64,417699.01979394
2025-07-20,PENGU/USD,0.03094,0.03222,0.03012,0.031,993368480.0
2025-07-20,PENGU/USDC,0.03094,0.03222,0.03012,0.031,993368480.0
2025-07-20,PUMP/USD,0.004124,0.004692,0.004068,0.004233,6604444653.0
2025-07-20,PUMP/USDC,0.004124,0.004692,0.004068,0.004233,6604444653.0
2025-07-20,SOL/USD,177.05,183.72,176.4,181.52,1257378.40027461
2025-07-20,SOL/USDC,177.05,183.72,176.4,181.52,1257378.40027461
2025-07-20,SUI/USD,3.8367,4.0356,3.8106,3.8928,21279127.4
